鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
國姓鄉,土地,北港溪段21-26地號,1073.0,,山坡地保育區,農牧用地,1060217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1179722,1099.0,,0.0,0,土地及地上農作物,RPQNMLRJLHMFFCM88CA,0.0,0.0,0.0,,,106_02
國姓鄉,土地,北港溪段21-121地號,555.0,,山坡地保育區,丙種建築用地,1060217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,7568.0,,0.0,0,,RPRNMLRJLHMFFCM98CA,0.0,0.0,0.0,,,106_02
國姓鄉,土地,北港溪段21-122地號,1750.0,,山坡地保育區,農牧用地,1060217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1924056,1099.0,,0.0,0,土地及地上農作物,RPSNMLRJLHMFFCM09CA,0.0,0.0,0.0,,,106_02
國姓鄉,土地,北港溪段21-123地號,1750.0,,山坡地保育區,農牧用地,1060217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1924056,1099.0,,0.0,0,土地及地上農作物,RPTNMLRJLHMFFCM56CA,0.0,0.0,0.0,,,106_02
國姓鄉,土地,北港溪段21-124地號,5250.0,,山坡地保育區,農牧用地,1060217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5772166,1099.0,,0.0,0,土地及地上農作物,RPUNMLRJLHMFFCM66CA,0.0,0.0,0.0,,,106_02
埔里鎮,土地,水源段1129地號,315.02,,特定農業區,甲種建築用地,1060215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5642600,17912.0,,0.0,0,,RPRNMLOJLHMFFCM68CA,0.0,0.0,0.0,,,106_02
埔里鎮,土地,鯉魚潭段385地號,3477.25,,山坡地保育區,農牧用地,1051219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,2444.0,,0.0,0,,RPTNMLNJLHMFFCM78CA,0.0,0.0,0.0,,,106_02
埔里鎮,房地(土地+建物),南投縣埔里鎮隆生路１０８之１８號,129.71,,特定農業區,甲種建築用地,1060214,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830819,185.5,4,2,3,有,無,4000000,21563.0,,0.0,0,,RPTNMLQJLHMFFCM09CA,165.6,0.0,19.9,,,106_02
竹山鎮,土地,中州段1344-1地號,2500.0,,特定農業區,農牧用地,1060213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,920.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLNKLHMFFDM76CA,0.0,0.0,0.0,,,106_02
竹山鎮,土地,桂林段122-3地號,14.72,住,,,1060215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,328845,22340.0,,0.0,0,,RPTNMLNJLHMFFDM88CA,0.0,0.0,0.0,,,106_02
