鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_,信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷76弄,26.13,住,Unnamed: 5,Unnamed: 6,1040224,土地4建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,182.23,3,1,2,有,無,37090000,229487,坡道平面,32.81,2800000,Unnamed: 26,RPOOMLOLJIMFFDA57CB,東騰藍,Unnamed: 29,來源資料夾
信義區,房地(土地+建物),臺北市信義區?和段二小段301地號編號第A2棟第2樓,48.55,住,,,1051007.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.48,2.0,1.0,1.0,有,無,22800000.0,220332.0,,0.0,0.0,,RPQPMLRJKHMFFDA97CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第C1棟第1樓,49.56,住,,,1051130.0,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.31,2.0,1.0,1.0,有,無,30150000.0,271798.0,坡道平面,31.58,2500000.0,,RPRPMLRJKHMFFDA08CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第A2棟第4樓,48.55,住,,,1051001.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.68,2.0,1.0,1.0,有,無,24500000.0,211445.0,坡道平面,31.58,2700000.0,,RPSPMLRJKHMFFDA18CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第C1棟第5樓,43.35,住,,,1051016.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.64,2.0,1.0,1.0,有,無,24690000.0,230276.0,坡道平面,31.58,2800000.0,,RPTPMLRJKHMFFDA28CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物),臺北市信義區?和段二小段301地號編號第C2棟第5樓,47.11,住,,,1051016.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.27,2.0,1.0,1.0,有,無,23300000.0,232373.0,,0.0,0.0,,RPUPMLRJKHMFFDA38CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B1棟第4樓,48.7,住,,,1051119.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.04,2.0,1.0,1.0,有,無,25800000.0,219989.0,坡道平面,31.58,2600000.0,,RPVPMLRJKHMFFDA48CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第C1棟第3樓,43.35,住,,,1051017.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.64,2.0,1.0,1.0,有,無,23200000.0,215653.0,坡道平面,31.58,2700000.0,,RPWPMLRJKHMFFDA58CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第A2棟第3樓,48.55,住,,,1051103.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.68,2.0,1.0,1.0,有,無,25200000.0,218235.0,坡道平面,31.58,2700000.0,,RPXPMLRJKHMFFDA68CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B1棟第5樓,47.68,住,,,1050907.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.93,2.0,1.0,1.0,有,無,26800000.0,233188.0,坡道平面,31.58,2700000.0,,RPOQMLRJKHMFFDA87CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,臺北市信義區?和段二小段301地號編號第B2棟第5樓,48.41,住,,,1051022.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.52,2.0,1.0,1.0,有,無,26240000.0,224319.0,坡道平面,31.58,2700000.0,,RPPQMLRJKHMFFDA97CB,106_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
