鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新市區,房地(土地+建物)+車位,臺南市新市區大社段2094地號,25.48,Unnamed: 4,鄉村區,乙種建築用地,1120511,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,126.31,3,2,2.1,有,無,9900000,80257,坡道平面,20.4,1400000,Unnamed: 26,RPUNMLLKNHIGFHD38CB,高第璞璞2,B棟5F-B3號,Unnamed: 30,來源資料夾,安南區,房地(土地+建物),臺南市安南區樂活二街,93.61,住,Unnamed: 5,Unnamed: 6,1120811,土地5建物1車位0,全,4,透天厝,見其他登記事項,231.85,5,26500000,114298,Unnamed: 23,0.0,0,內含停車位1個,RPSNMLLKQHIGFBD87CB,邰欣地堡100期,A棟3號,東區,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,1121111,十二層,15,住宅大樓(11層含以上有電梯),112.24,2.2,11300000,116874,26.25,1250000,RPTNMLNKJIIGFCD67CB,松丹達麗,D棟3號
仁德區,房地(土地+建物)+車位,臺南市仁德區二仁路,39.68,住,,,1120318.0,土地1建物1車位2,九層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,251.36,3.0,2.0,2.0,有,無,18980000.0,81644.0,坡道平面,52.08,2710000.0,,RPPOMLQJMHIGFID48DB,川邊澄,B5棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁德區,房地(土地+建物)+車位,臺南市仁德區二仁路,39.68,住,,,1120318.0,土地1建物1車位2,六層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,251.36,3.0,2.0,2.0,有,無,18160000.0,78834.0,坡道平面,52.08,2450000.0,,RPQOMLQJMHIGFID58DB,川邊澄,B5棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仁德區,房地(土地+建物)+車位,臺南市仁德區二仁路,41.17,住,,,1120318.0,土地1建物1車位2,七層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.02,3.0,2.0,2.0,有,無,19220000.0,81038.0,坡道平面,52.08,2450000.0,,RPROMLQJMHIGFID68DB,川邊澄,A2棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,22.11,住,,,1120312.0,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.05,3.0,2.0,2.0,有,無,16080000.0,116906.0,坡道平面,21.67,1890000.0,,RPQNMLQJMHIGFCD77CB,研森,B8棟13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,22.11,住,,,1120312.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.05,3.0,2.0,2.0,有,無,16140000.0,116906.0,坡道平面,21.67,1950000.0,,RPRNMLQJMHIGFCD87CB,研森,B8棟14號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,18.17,住,,,1120313.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.48,3.0,2.0,2.0,有,無,13270000.0,110106.0,坡道平面,21.67,1950000.0,,RPSNMLQJMHIGFCD97CB,研森,A5棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,18.17,住,,,1120313.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.48,3.0,2.0,2.0,有,無,13280000.0,111176.0,坡道平面,21.67,1850000.0,,RPTNMLQJMHIGFCD08CB,研森,A5棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,15.8,住,,,1120313.0,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.91,2.0,2.0,2.0,有,無,11710000.0,111741.0,坡道平面,21.67,1850000.0,,RPUNMLQJMHIGFCD18CB,研森,A7棟07號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,20.77,住,,,1120321.0,土地1建物1車位2,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.73,3.0,2.0,2.0,有,無,16750000.0,122311.0,坡道平面,52.5,3390000.0,,RPVNMLQJMHIGFCD28CB,松丹達麗,F棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,13.5,住,,,1120312.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.11,2.0,2.0,1.0,有,無,8200000.0,104680.0,坡道機械,14.66,930000.0,,RPWNMLQJMHIGFCD38CB,松丹達麗,E棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,住,,,1120325.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.24,2.0,2.0,2.0,有,無,11680000.0,117572.0,坡道平面,26.25,1570000.0,,RPXNMLQJMHIGFCD48CB,松丹達麗,G棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,13.5,住,,,1120323.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.14,2.0,2.0,1.0,有,無,9050000.0,116868.0,坡道機械,14.66,930000.0,,RPOOMLQJMHIGFCD67CB,松丹達麗,G棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,12.46,住,,,1120326.0,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.05,2.0,2.0,1.0,有,無,8380000.0,107364.0,坡道機械,14.66,930000.0,,RPPOMLQJMHIGFCD77CB,松丹達麗,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,住,,,1120401.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.65,2.0,2.0,2.0,有,無,10850000.0,115362.0,坡道機械,14.66,930000.0,,RPQOMLQJMHIGFCD87CB,松丹達麗,E棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,13.5,住,,,1120329.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.11,2.0,2.0,1.0,有,無,8660000.0,111303.0,坡道機械,14.66,930000.0,,RPROMLQJMHIGFCD97CB,松丹達麗,E棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,20.77,住,,,1120326.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.25,3.0,2.0,2.0,有,無,14630000.0,117818.0,坡道平面,26.25,1670000.0,,RPSOMLQJMHIGFCD08CB,松丹達麗,E棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,13.5,住,,,1120326.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.14,2.0,2.0,1.0,有,無,8900000.0,114709.0,坡道機械,14.66,930000.0,,RPTOMLQJMHIGFCD18CB,松丹達麗,F棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,14.54,住,,,1120401.0,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.09,2.0,2.0,1.0,有,無,10450000.0,119469.0,坡道平面,26.25,1270000.0,,RPUOMLQJMHIGFCD28CB,松丹達麗,F棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段與崇賢三路交叉口,20.77,住,,,1120329.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.48,3.0,2.0,2.0,有,無,14790000.0,120114.0,坡道平面,26.25,1670000.0,,RPVOMLQJMHIGFCD38CB,松丹達麗,G棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,18.17,住,,,1120313.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.72,3.0,2.0,2.0,有,無,13270000.0,110884.0,坡道平面,23.91,1870000.0,,RPWOMLQJMHIGFCD48CB,研森,A5棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南區,房地(土地+建物)+車位,臺南市南區中華西路一段50巷口,29.21,住,,,1120315.0,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.27,3.0,2.0,2.0,有,無,18000000.0,108348.0,坡道平面,33.06,1400000.0,,RPXOMLQJMHIGFCD58CB,森安邦,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,22.11,住,,,1120313.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.05,3.0,2.0,2.0,有,無,16100000.0,116246.0,坡道平面,21.67,1990000.0,,RPOPMLQJMHIGFCD77CB,研森,B8棟15號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,22.11,住,,,1120313.0,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.05,3.0,2.0,2.0,有,無,14760000.0,108420.0,坡道平面,21.67,1600000.0,,RPQPMLQJMHIGFCD97CB,研森,A8棟04號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,22.11,住,,,1120310.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.05,3.0,2.0,2.0,有,無,15070000.0,108914.0,坡道平面,21.67,1850000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPRPMLQJMHIGFCD08CB,研森,B8棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,18.17,住,,,1120310.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.48,3.0,2.0,2.0,有,無,13120000.0,109620.0,坡道平面,21.67,1850000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPSPMLQJMHIGFCD18CB,研森,B5棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,18.17,住,,,1120310.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.48,3.0,2.0,2.0,有,無,13140000.0,109620.0,坡道平面,21.67,1870000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPTPMLQJMHIGFCD28CB,研森,B5棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,18.17,住,,,1120310.0,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.48,3.0,2.0,2.0,有,無,13180000.0,110203.0,坡道平面,21.67,1850000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPUPMLQJMHIGFCD38CB,研森,B5棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,22.11,住,,,1120310.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.05,3.0,2.0,2.0,有,無,15070000.0,108914.0,坡道平面,21.67,1850000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPVPMLQJMHIGFCD48CB,研森,A8棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,24.48,住,,,1120310.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.25,3.0,2.0,2.0,有,無,18430000.0,121404.0,坡道平面,21.67,1970000.0,,RPWPMLQJMHIGFCD58CB,研森,A2棟14號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,24.48,住,,,1120314.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.25,3.0,2.0,2.0,有,無,18100000.0,118380.0,坡道平面,21.67,2050000.0,,RPXPMLQJMHIGFCD68CB,研森,B2棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,13.43,住,,,1120317.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.01,2.0,2.0,1.0,有,無,10320000.0,112689.0,坡道平面,21.67,1830000.0,,RPOQMLQJMHIGFCD87CB,研森,F9棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,房地(土地+建物)+車位,臺南市東區平實路,30.46,住,,,1120331.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.8,4.0,2.0,2.0,有,無,26800000.0,153103.0,坡道平面,27.27,1610000.0,,RPPQMLQJMHIGFCD97CB,世界·巨星,C棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區潭頂里6鄰潭頂317之1號六樓之13,24.01,,鄉村區,乙種建築用地,1120328.0,土地1建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.18,2.0,2.0,2.0,有,無,7180000.0,85101.0,其他,11.21,800000.0,,RPPNMLQJMHIGFHD18CB,心程市,A棟13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安定區,房地(土地+建物)+車位,臺南市安定區港口1-25號旁,32.3,,特定農業區,甲種建築用地,1120330.0,土地2建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.41,3.0,2.0,2.0,有,無,10380000.0,85567.0,一樓平面,12.71,1250000.0,,RPQNMLQJMHIGFHD28CB,日初莊園-朝露,A1-2棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安定區,房地(土地+建物),臺南市安定區港口1-25號旁,25.97,,特定農業區,甲種建築用地,1120327.0,土地2建物1車位0,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.27,2.0,2.0,2.0,有,無,7660000.0,89832.0,,0.0,0.0,,RPRNMLQJMHIGFHD38CB,日初莊園-朝露,A5-2棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
善化區,房地(土地+建物)+車位,臺南市善化區陽光大道366號對面,38.77,住,,,1120322.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.99,2.0,2.0,2.0,有,無,12500000.0,119375.0,坡道平面,33.1,1650000.0,,RPSNMLQJMHIGFHD48CB,恆鵬陽光四季,B3棟B3-03F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
善化區,房地(土地+建物)+車位,臺南市善化區陽光大道366號對面,38.77,住,,,1120328.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.99,2.0,2.0,2.0,有,無,12470000.0,118495.0,坡道平面,33.1,1700000.0,,RPTNMLQJMHIGFHD58CB,恆鵬陽光四季,B3棟B3-02F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
善化區,房地(土地+建物)+車位,臺南市善化區陽光大道366號對面,38.77,住,,,1120322.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.99,2.0,2.0,2.0,有,無,12600000.0,119375.0,坡道平面,33.1,1750000.0,,RPUNMLQJMHIGFHD68CB,恆鵬陽光四季,B3棟B3-04F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,29.05,住,,,1120327.0,土地1建物1車位1,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.26,3.0,2.0,2.0,有,無,14160000.0,101620.0,坡道平面,34.71,1300000.0,,RPVNMLQJMHIGFHD78CB,澄田上品硯,E-05F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,21.52,住,,,1120327.0,土地1建物1車位1,四層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.49,2.0,2.0,2.0,有,無,10890000.0,103327.0,坡道平面,34.71,1200000.0,,RPWNMLQJMHIGFHD88CB,澄田上品硯,B-04F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,30.09,住,,,1120327.0,土地1建物1車位1,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.81,3.0,2.0,2.0,有,無,15170000.0,104272.0,坡道平面,34.71,1500000.0,,RPXNMLQJMHIGFHD98CB,澄田上品硯,A-08F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,29.05,住,,,1120327.0,土地1建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.26,3.0,2.0,2.0,有,無,15090000.0,108179.0,坡道平面,34.71,1400000.0,,RPOOMLQJMHIGFHD18CB,澄田上品硯,E-09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,21.52,住,,,1120327.0,土地1建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.49,2.0,2.0,2.0,有,無,11990000.0,112924.0,坡道平面,34.71,1400000.0,,RPPOMLQJMHIGFHD28CB,澄田上品硯,B-09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,21.52,住,,,1120327.0,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.49,2.0,2.0,2.0,有,無,11970000.0,113777.0,坡道平面,34.71,1300000.0,,RPQOMLQJMHIGFHD38CB,澄田上品硯,B-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,24.22,住,,,1120327.0,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.22,2.0,2.0,2.0,有,無,12780000.0,107857.0,坡道平面,34.71,1400000.0,,RPROMLQJMHIGFHD48CB,澄田上品硯,C-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,24.06,住,,,1120327.0,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.59,2.0,2.0,2.0,有,無,12920000.0,108886.0,坡道平面,34.71,1500000.0,,RPSOMLQJMHIGFHD58CB,澄田上品硯,D-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,30.09,住,,,1120327.0,土地1建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.81,3.0,2.0,2.0,有,無,15230000.0,104729.0,坡道平面,34.71,1500000.0,,RPTOMLQJMHIGFHD68CB,澄田上品硯,A-09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物)+車位,臺南市新市區南港街與南昌路口,30.09,住,,,1120327.0,土地1建物1車位1,六層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.81,3.0,2.0,2.0,有,無,15010000.0,103814.0,坡道平面,34.71,1400000.0,,RPUOMLQJMHIGFHD78CB,澄田上品硯,A-06F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物),臺南市新市區社內28之18號旁,81.16,住,,,1120330.0,土地4建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,191.89,3.0,2.0,3.0,有,無,18350000.0,95628.0,,0.0,0.0,,RPVOMLQJMHIGFHD88CB,煌聖．大鉅,D16棟D16號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新市區,房地(土地+建物),臺南市新市區社內28之18號旁,70.61,住,,,1120327.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,169.44,3.0,2.0,3.0,有,無,19050000.0,112429.0,,0.0,0.0,,RPWOMLQJMHIGFHD98CB,煌聖．大鉅,B19棟B19號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
