鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新市區,房地(土地+建物)+車位,臺南市新市區大社段2094地號,25.48,Unnamed: 4,鄉村區,乙種建築用地,1120511,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,126.31,3,2,2.1,有,無,9900000,80257,坡道平面,20.4,1400000,Unnamed: 26,RPUNMLLKNHIGFHD38CB,高第璞璞2,B棟5F-B3號,Unnamed: 30,來源資料夾,安南區,房地(土地+建物),臺南市安南區樂活二街,93.61,住,Unnamed: 5,Unnamed: 6,1120811,土地5建物1車位0,全,4,透天厝,見其他登記事項,231.85,5,26500000,114298,Unnamed: 23,0.0,0,內含停車位1個,RPSNMLLKQHIGFBD87CB,邰欣地堡100期,A棟3號,東區,臺南市東區崇慶街一段與崇賢三路交叉口,15.58,1121111,十二層,15,住宅大樓(11層含以上有電梯),112.24,2.2,11300000,116874,26.25,1250000,RPTNMLNKJIIGFCD67CB,松丹達麗,D棟3號
新市區,房地(土地+建物),臺南市新市區富林路,17.28,住,,,1120216.0,土地2建物1車位0,二層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,90.28,2.0,2.0,2.0,有,無,7920000.0,87727.0,,0.0,0.0,,RPQOMLSKKHIGFHD48CB,邰欣地堡65期,B棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康區,房地(土地+建物)+車位,臺南市永康區永安路與平道十二路交叉口,21.42,住,,,1120212.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.41,3.0,2.0,2.0,有,無,15230000.0,125180.0,坡道平面,24.53,1350000.0,,RPQNMLSKKHIGFKD68CB,遠雄綠禾,A棟A05F15號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康區,房地(土地+建物)+車位,臺南市永康區永安路與平道十二路交叉口,22.19,住,,,1120212.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.81,3.0,2.0,2.0,有,無,16050000.0,123409.0,坡道平面,24.53,1700000.0,,RPRNMLSKKHIGFKD78CB,遠雄綠禾,B棟B05F11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康區,房地(土地+建物)+車位,臺南市永康區永安路與平道十二路交叉口,24.9,住,,,1120214.0,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.05,3.0,2.0,2.0,有,無,17690000.0,125192.0,坡道平面,24.53,1350000.0,,RPSNMLSKKHIGFKD88CB,遠雄綠禾,B棟B02F15號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康區,房地(土地+建物)+車位,臺南市永康區永安路與平道十二路交叉口,16.34,住,,,1120215.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.26,2.0,2.0,1.0,有,無,12010000.0,121428.0,坡道平面,24.53,1600000.0,,RPTNMLSKKHIGFKD98CB,遠雄綠禾,B棟B07F10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安南區,房地(土地+建物)+車位,臺南市安南區安生街,49.14,住,,,1120212.0,土地2建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,157.66,4.0,2.0,2.0,有,無,13800000.0,87168.0,一樓平面,17.7,1600000.0,,RPPNMLTKKHIGFBD77CB,植建築2,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
官田區,房地(土地+建物),臺南市官田區信義街一段90號對面,76.33,住,,,1120211.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,177.45,5.0,2.0,3.0,有,無,12450000.0,70161.0,,0.0,0.0,,RPPNMLKLKHIGFFD37CB,澄田.富邑 II,D棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西港區,房地(土地+建物),臺南市西港區劉氏宗祠對面,67.73,,鄉村區,乙種建築用地,1120219.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,125.62,4.0,2.0,3.0,有,無,7980000.0,63525.0,,0.0,0.0,,RPPNMLLLKHIGFGD57CB,金艷富邸9,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
善化區,房地(土地+建物)+車位,臺南市善化區中華路152號及中興路158號交岔口,20.69,商,,,1120217.0,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.47,3.0,2.0,2.0,有,無,16450000.0,106315.0,坡道平面,29.32,1550000.0,,RPPNMLLLKHIGFHD67CB,常慶天目,B棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
將軍區,房地(土地+建物),臺南市將軍區忠嘉里,104.78,住,,,1120220.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,145.38,4.0,2.0,3.0,有,無,9050000.0,62251.0,,0.0,0.0,,RPPNMLLLKHIGFGD67DB,禎藏5,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
