鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.02,Unnamed: 4,一般農業區,甲種建築用地,1120513,土地2建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,94.59,2,1,1.1,有,無,7400000,95927,坡道平面,31.0,1300000,Unnamed: 26,RPPNMLOKNHIGFCN68CB,富旺艾美莊園,A棟7號,Unnamed: 30,來源資料夾,和美鎮,房地(土地+建物),彰化縣和美鎮北辰路,101.42,鄉村區,乙種建築用地,1120812,土地4建物1車位0,全,3,透天厝,162.06,4,3.1,13080000,80711,Unnamed: 23,0.0,0,RPQNMLQKQHIGFBN56CB,觀美墅NO.13,Ｃ棟10號,彰化市,彰化縣彰化市中正路二段190巷,10.76,商,Unnamed: 5,Unnamed: 6,1121111,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),117.87,2.1,2.2,10280000,104891,坡道機械,24.63,500000,RPPNMLNKJIIGFAN08CB,中正琢越,D-7F號
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路一段384號旁,21.04,商,,,1120214.0,土地13建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,198.13,3.0,2.0,2.0,有,無,19550000.0,104946.0,坡道平面,27.09,1600000.0,,RPQNMLMLKHIGFAN18CB,中正?華,A棟A-9F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路一段384號旁,36.87,商,,,1120216.0,土地13建物1車位2,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,354.56,4.0,2.0,3.0,有,無,35000000.0,105976.0,坡道平面,56.38,3400000.0,,RPRNMLMLKHIGFAN28CB,中正?華,F棟F-15F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市南平三街,41.08,住,,,1120218.0,土地11建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.53,3.0,2.0,2.0,有,無,9380000.0,83657.0,一樓平面,13.75,1200000.0,,RPQNMLNLKHIGFDN58CB,鎰興永恆,5B+R號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市南平三街,31.26,住,,,1120221.0,土地11建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.87,2.0,2.0,1.0,有,無,7380000.0,86957.0,,0.0,0.0,,RPRNMLNLKHIGFDN68CB,鎰興永恆,2A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物),彰化縣員林市山腳路三段,112.66,住,,,1120219.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,182.47,4.0,3.0,3.0,有,無,11880000.0,65107.0,,0.0,0.0,,RPSNMLNLKHIGFDN78CB,寬薪3,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社頭鄉,房地(土地+建物),彰化縣社頭鄉仁愛三路,87.96,住,,,1120218.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,166.24,5.0,1.0,4.0,有,無,11900000.0,71583.0,,0.0,0.0,,RPPNMLNLKHIGFEN68DB,安家居,B棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市新義街,30.44,住,,,1120212.0,土地6建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.68,2.0,2.0,2.0,有,無,8380000.0,80506.0,升降平面,31.01,1000000.0,,RPPNMLNLKHIGFDN58DB,員林A2(青石上),3B2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市新義街,30.44,住,,,1120211.0,土地6建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.68,2.0,2.0,2.0,有,無,8900000.0,82906.0,一樓平面,31.01,1300000.0,,RPRNMLNLKHIGFDN78DB,員林A2(青石上),5B2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市新義街,39.35,住,,,1120219.0,土地6建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.33,3.0,2.0,2.0,有,無,10960000.0,81643.0,一樓平面,31.01,1300000.0,,RPSNMLNLKHIGFDN88DB,員林A2(青石上),6B1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市新義街,30.44,住,,,1120222.0,土地6建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.68,2.0,2.0,2.0,有,無,8560000.0,82470.0,升降平面,31.01,1000000.0,,RPTNMLNLKHIGFDN98DB,員林A2(青石上),6B2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
