鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,18.02,Unnamed: 4,一般農業區,甲種建築用地,1120513,土地2建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,94.59,2,1,1.1,有,無,7400000,95927,坡道平面,31.0,1300000,Unnamed: 26,RPPNMLOKNHIGFCN68CB,富旺艾美莊園,A棟7號,Unnamed: 30,來源資料夾,和美鎮,房地(土地+建物),彰化縣和美鎮北辰路,101.42,鄉村區,乙種建築用地,1120812,土地4建物1車位0,全,3,透天厝,162.06,4,3.1,13080000,80711,Unnamed: 23,0.0,0,RPQNMLQKQHIGFBN56CB,觀美墅NO.13,Ｃ棟10號,彰化市,彰化縣彰化市中正路二段190巷,10.76,商,Unnamed: 5,Unnamed: 6,1121111,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),117.87,2.1,2.2,10280000,104891,坡道機械,24.63,500000,RPPNMLNKJIIGFAN08CB,中正琢越,D-7F號
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路二段190巷,13.48,商,,,1120415.0,土地14建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.5,3.0,2.0,2.0,有,無,12290000.0,98742.0,坡道機械,24.63,750000.0,,RPTNMLQLMHIGFAN09CB,中正琢越,F-07F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中正路一段384號旁,21.15,商,,,1120416.0,土地13建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.35,3.0,2.0,2.0,有,無,19900000.0,104263.0,坡道平面,28.19,1950000.0,,RPUNMLQLMHIGFAN56CB,中正?華,A棟A-6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉中華路,93.0,,鄉村區,乙種建築用地,1120411.0,土地2建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,109.93,3.0,2.0,3.0,有,無,7050000.0,64132.0,,0.0,0.0,,RPPNMLQLMHIGFFN56CB,埤頭好鄉居７,A8棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市泰祥街、泰瑞街口,25.19,住,,,1120331.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.83,3.0,2.0,2.0,有,無,11980000.0,88272.0,坡道平面,19.84,1300000.0,1、原土地標示彰化市古夷段918、919、920、947、948、949等6筆土地於民國111年4月6日合併為同段918地號2、土地及建物實際面積以登記面積為主,RPPNMLRLMHIGFAN88DB,維瓦第泰極,B棟13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市泰祥街、泰瑞街口,27.48,住,,,1120421.0,土地1建物1車位2,十四層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,153.59,2.0,2.0,1.0,有,無,13000000.0,87727.0,坡道平面,39.6,3000000.0,1、原土地標示彰化市古夷段918、919、920、947、948、949等6筆土地於民國111年4月6日合併為同段918地號2、土地及建物實際面積以登記面積為主,RPQNMLRLMHIGFAN98DB,維瓦第泰極,A棟14號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物),彰化縣彰化市安溪東路51巷41弄13號旁,110.8,,鄉村區,乙種建築用地,1120421.0,土地6建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,168.57,4.0,3.0,4.0,有,無,15500000.0,91950.0,,0.0,0.0,共有土地的移轉面積以實際登記面積為主,RPPNMLSLMHIGFAN98DB,福竹御所,A棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線西鄉,房地(土地+建物),彰化縣線西鄉重振段163.163-2.163-6.163-11地號,56.0,住,,,1120412.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.76,4.0,3.0,2.0,有,無,10200000.0,74583.0,,0.0,0.0,,RPPNMLSLMHIGFBN09DB,富麗家園12,C棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線西鄉,房地(土地+建物),彰化縣線西鄉重振段163.163-2.163-6.163-11地號,118.0,住,,,1120413.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,233.22,4.0,3.0,4.0,有,無,19900000.0,85327.0,,0.0,0.0,,RPQNMLSLMHIGFBN56DB,富麗家園12,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線西鄉,房地(土地+建物),彰化縣線西鄉重振段163.163-2.163-6.163-11地號,55.0,住,,,1120416.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.89,4.0,3.0,2.0,有,無,10300000.0,75243.0,,0.0,0.0,,RPRNMLSLMHIGFBN66DB,富麗家園12,E棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線西鄉,房地(土地+建物),彰化縣線西鄉重振段163.163-2.163-6.163-11地號,55.0,住,,,1120419.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.89,4.0,3.0,2.0,有,無,13700000.0,100080.0,,0.0,0.0,,RPTNMLSLMHIGFBN86DB,富麗家園12,E棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線西鄉,房地(土地+建物),彰化縣線西鄉重振段163.163-2.163-6.163-11地號,69.0,住,,,1120425.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,142.76,4.0,3.0,2.0,有,無,10550000.0,73900.0,,0.0,0.0,,RPUNMLSLMHIGFBN96DB,富麗家園12,G棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,21.77,,特定農業區,甲種建築用地,1120330.0,土地1建物1車位0,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.19,2.0,2.0,1.0,有,無,5150000.0,75524.0,,0.0,0.0,,RPPNMLSLMHIGFAN88CB,廣宣薪世代,A3-3棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,21.77,,特定農業區,甲種建築用地,1120331.0,土地1建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.19,2.0,2.0,1.0,有,無,5350000.0,78457.0,,0.0,0.0,,RPQNMLSLMHIGFAN98CB,廣宣薪世代,B3-2F棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,30.91,,特定農業區,甲種建築用地,1120406.0,土地1建物1車位0,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.8,3.0,2.0,2.0,有,無,7620000.0,78719.0,,0.0,0.0,,RPRNMLSLMHIGFAN09CB,廣宣薪世代,A5-5F棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芬園鄉,房地(土地+建物),彰化縣芬園鄉嘉東街,21.77,,特定農業區,甲種建築用地,1120330.0,土地1建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.19,2.0,2.0,1.0,有,無,5100000.0,74791.0,,0.0,0.0,,RPSNMLSLMHIGFAN56CB,廣宣薪世代,A3-2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物),彰化縣員林市員鹿路103巷,75.91,住,,,1120403.0,土地4建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,161.87,4.0,2.0,4.0,有,無,14400000.0,88960.0,,0.0,0.0,,RPPNMLKMMHIGFDN48CB,豐意品森,A棟15號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,住,,,1120427.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,100.74,2.0,2.0,1.0,有,無,7380000.0,77425.0,坡道機械,16.4,850000.0,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPQNMLKMMHIGFDN58CB,昌祐時代,C棟03F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,住,,,1120428.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,111.22,2.0,2.0,1.0,有,無,8720000.0,87312.0,坡道平面,26.81,1350000.0,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPRNMLKMMHIGFDN68CB,昌祐時代,D棟09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,29.74,,特定農業區,甲種建築用地,1120409.0,土地1建物1車位1,十二層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.11,3.0,2.0,2.0,有,無,10100000.0,69461.0,坡道平面,22.14,1350000.0,,RPPNMLLJNHIGFAN08CB,盛好大苑,A3棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,20.36,,特定農業區,甲種建築用地,1120407.0,土地1建物1車位1,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.14,2.0,2.0,1.0,有,無,8090000.0,79535.0,坡道平面,22.14,1250000.0,,RPQNMLLJNHIGFAN18CB,盛好大苑,B5棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,28.7,,特定農業區,甲種建築用地,1120415.0,土地1建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.47,3.0,2.0,2.0,有,無,10220000.0,73106.0,坡道平面,22.14,1350000.0,,RPRNMLLJNHIGFAN28CB,盛好大苑,C3棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路三段阿夷段柴坑子小段573地號,35.99,,特定農業區,甲種建築用地,1120408.0,土地1建物1車位2,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.49,4.0,2.0,2.0,有,無,12780000.0,66224.0,坡道平面,44.28,2700000.0,,RPSNMLLJNHIGFAN38CB,盛好大苑,C5棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
線西鄉,房地(土地+建物),彰化縣線西鄉重振段163.163-2.163-6.163-11地號,117.0,住,,,1120416.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,233.22,4.0,3.0,4.0,有,無,16800000.0,72035.0,,0.0,0.0,,RPPNMLLJNHIGFBN28DB,富麗家園12,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉竹圍段,85.77,,鄉村區,乙種建築用地,1120416.0,土地3建物1車位0,全,2.0,透天厝,見其他登記事項,鋼筋混凝土造,,89.18,3.0,2.0,3.0,有,無,6200000.0,69522.0,,0.0,0.0,,RPPNMLMJNHIGFFN68CB,文匯20,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二林鎮,房地(土地+建物),彰化縣二林鎮新生段362地號,106.5,住,,,1120420.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,157.51,5.0,2.0,3.0,有,無,8400000.0,53330.0,,0.0,0.0,,RPPNMLMJNHIGFGN78CB,文化傳家八期-天下一品(2),B棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二林鎮,房地(土地+建物),彰化縣二林鎮新生段362地號,106.53,住,,,1120429.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,156.71,5.0,2.0,3.0,有,無,9000000.0,57431.0,,0.0,0.0,,RPQNMLMJNHIGFGN88CB,文化傳家八期-天下一品(2),B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物),彰化縣員林市溝皂北三街,83.15,住,,,1120407.0,土地2建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,179.59,4.0,2.0,3.0,有,無,17300000.0,96331.0,,0.0,0.0,,RPPNMLMJNHIGFDN48CB,寶爵莊園,B棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福興鄉,房地(土地+建物)+車位,彰化縣福興鄉番婆街,32.86,,鄉村區,乙種建築用地,1120408.0,土地3建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.9,2.0,2.0,2.0,有,無,7130000.0,81672.0,一樓平面,11.68,1150000.0,,RPPNMLMJNHIGFCN38CB,晶盛首耀II,A棟5B號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福興鄉,房地(土地+建物)+車位,彰化縣福興鄉番婆街,32.84,,鄉村區,乙種建築用地,1120413.0,土地3建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.84,2.0,2.0,2.0,有,無,7230000.0,82422.0,一樓平面,11.68,1200000.0,,RPQNMLMJNHIGFCN48CB,晶盛首耀II,A棟4D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福興鄉,房地(土地+建物)+車位,彰化縣福興鄉番婆街,32.83,,鄉村區,乙種建築用地,1120413.0,土地3建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.84,2.0,2.0,2.0,有,無,7300000.0,83379.0,一樓平面,11.68,1200000.0,,RPRNMLMJNHIGFCN58CB,晶盛首耀II,A棟5D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物),彰化縣員林市三多三街,120.91,住,,,1120414.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,226.76,4.0,3.0,4.0,有,無,26800000.0,118187.0,,0.0,0.0,,RPPNMLNJNHIGFDN58CB,寬築,B5棟B3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮大溪路619巷,112.93,,鄉村區,乙種建築用地,1120415.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,183.5,4.0,3.0,5.0,有,無,13600000.0,74114.0,,0.0,0.0,,RPPNMLNJNHIGFHN98CB,陶璽湖東特區,C棟16號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪州鄉,房地(土地+建物),彰化縣溪州鄉俊仁路,110.1,住,,,1120418.0,土地1建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,226.8,4.0,3.0,5.0,有,無,15240000.0,67196.0,,0.0,0.0,,RPPNMLNJNHIGFFN78CB,溪州方庭,A棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同十二街,22.43,住,,,1120430.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,124.08,2.0,1.0,2.0,有,無,8530000.0,74400.0,坡道平面,26.23,1250000.0,,RPPNMLNJNHIGFBN38CB,道恩起家451,9E號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同十二街,20.63,住,,,1120429.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,116.25,3.0,1.0,2.0,有,無,6900000.0,66430.0,坡道平面,26.23,920000.0,,RPQNMLNJNHIGFBN48CB,道恩起家451,4C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市新義街,39.22,住,,,1120422.0,土地6建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.77,3.0,2.0,2.0,有,無,10920000.0,81692.0,一樓平面,31.01,1300000.0,,RPPNMLNJNHIGFDN68DB,員林A2(青石上),6B3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社頭鄉,房地(土地+建物),彰化縣社頭鄉高鐵北二路,100.65,住,,,1120502.0,土地3建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,171.17,4.0,3.0,3.0,有,無,13210000.0,77175.0,,0.0,0.0,,RPPNMLOJNHIGFEN78CB,榮彰高鐵升之泰,C棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和美鎮,房地(土地+建物),彰化縣和美鎮十茂路60巷,33.4,,鄉村區,乙種建築用地,1120425.0,土地5建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.6,2.0,2.0,2.0,有,無,6780000.0,88512.0,,0.0,0.0,,RPPNMLOJNHIGFBN48CB,理想家,A棟A1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同十二街,20.63,住,,,1120304.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,116.25,3.0,1.0,2.0,有,無,6860000.0,65763.0,坡道平面,26.23,940000.0,原申報書序號B1NB11203110001撤銷，重新申報，更正共有部分面積 原申報書共有面積未含車位面積,RPQNMLOJNHIGFBN58CB,道恩起家451,3C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同十二街,22.43,住,,,1120225.0,土地1建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,124.08,2.0,1.0,2.0,有,無,8120000.0,72969.0,坡道平面,26.23,980000.0,原申報書序號B1NB11203110002撤銷，重新申報，更正建物共有部分面積，原申報書共有面積未含車位面積,RPRNMLOJNHIGFBN68CB,道恩起家451,7E號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物)+車位,彰化縣埤頭鄉華泰三街、華泰五街,33.13,住,,,1120414.0,土地1建物1車位1,四層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,116.34,3.0,2.0,2.0,有,無,7200000.0,65285.0,一樓平面,19.84,900000.0,,RPPNMLOJNHIGFFN88CB,青硯雲丘,B棟4B1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物)+車位,彰化縣埤頭鄉華泰三街、華泰五街,29.75,住,,,1120409.0,土地1建物1車位1,七層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,112.38,3.0,2.0,2.0,有,無,7300000.0,70431.0,一樓平面,25.77,1200000.0,,RPQNMLOJNHIGFFN98CB,青硯雲丘,A棟7A1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物)+車位,彰化縣埤頭鄉華泰三街、華泰五街,33.13,住,,,1120411.0,土地1建物1車位1,六層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,116.34,3.0,2.0,2.0,有,無,7470000.0,68705.0,一樓平面,19.84,840000.0,,RPRNMLOJNHIGFFN09CB,青硯雲丘,B棟6B1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉華泰三街、華泰五街,33.13,住,,,1120418.0,土地1建物1車位0,六層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,96.5,3.0,2.0,2.0,有,無,6700000.0,69430.0,,0.0,0.0,,RPSNMLOJNHIGFFN56CB,青硯雲丘,A棟6A1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物)+車位,彰化縣埤頭鄉華泰三街、華泰五街,27.04,住,,,1120411.0,土地1建物1車位1,六層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,98.5,2.0,2.0,1.0,有,無,6130000.0,67251.0,一樓平面,19.84,840000.0,,RPTNMLOJNHIGFFN66CB,青硯雲丘,B棟6B2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉嘉興路,129.82,,鄉村區,乙種建築用地,1120408.0,土地4建物1車位0,全,3.0,透天厝,見其他登記事項,鋼筋混凝土造,,152.95,3.0,2.0,4.0,有,無,8800000.0,57535.0,,0.0,0.0,,RPUNMLOJNHIGFFN76CB,百居比佛利,C棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,住,,,1120502.0,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.61,3.0,2.0,2.0,有,無,12180000.0,91010.0,坡道平面,26.81,1550000.0,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPPNMLOJNHIGFDN68CB,昌祐時代,H棟12F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
芬園鄉,房地(土地+建物),彰化縣芬園鄉成功路,50.59,其他,,,1120501.0,土地8建物1車位0,七層,7.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,89.25,2.0,2.0,2.0,有,無,7100000.0,79552.0,,0.0,0.0,,RPRNMLOJNHIGFAN58CB,百居薰園,C3棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
