鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華路607巷,45.82,住,Unnamed: 5,Unnamed: 6,1120511,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,Unnamed: 14,135.71,3,2,2.1,有,無,8004750,63475,一樓平面,20.63,700000,車位:汽車、機車各1,RPPNMLMKNHIGFBK18DB,賞美,G棟5號,Unnamed: 30,來源資料夾,苗栗縣苗栗市中正路1218巷,30.22,1120811,土地1建物1車位1,七層,10,鋼筋混凝土造,174.2,9600000,61484,坡道平面,34.0,980000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOKQHIGFBK56CB,勝觀苑,A棟7號,頭份市,苗栗縣頭份市中正路463巷,48.03,1121111,四層,鋼骨混凝土造,147.26,11280000,76599,12.41,0,Unnamed: 26,RPPNMLNKJIIGFFK28CB,星苑,E棟4F號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1271地號,12.39,商,,,1120213.0,土地1建物1車位1,十層,18.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,137.53,2.0,2.0,2.0,有,無,13880000.0,119411.0,坡道平面,32.18,1300000.0,,RPRNMLSKKHIGFFK98CB,TWIN PARK,B棟2-10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1271地號,17.99,商,,,1120213.0,土地1建物1車位1,十七層,18.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,185.0,3.0,2.0,2.0,有,無,18900000.0,113859.0,坡道平面,32.18,1500000.0,,RPTNMLSKKHIGFFK56CB,TWIN PARK,A棟1-17F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華段1271地號,17.22,商,,,1120214.0,土地1建物1車位1,七層,18.0,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,178.61,3.0,2.0,2.0,有,無,17080000.0,107765.0,坡道平面,32.18,1300000.0,,RPUNMLSKKHIGFFK66CB,TWIN PARK,B棟1-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物),苗栗縣頭份市自立街,179.69,住,,,1120218.0,土地5建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,268.18,5.0,2.0,5.0,有,無,26500000.0,98814.0,,0.0,0.0,,RPPNMLKLKHIGFFK08CB,維若逸居,1棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路,76.64,住,,,1120218.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,197.26,3.0,2.0,4.0,有,無,12000000.0,60833.0,,0.0,0.0,,RPPNMLKLKHIGFDK87CB,高鐵澄峰,B棟B號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路,76.64,住,,,1120218.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,197.26,3.0,2.0,4.0,有,無,12080000.0,61239.0,,0.0,0.0,,RPQNMLKLKHIGFDK97CB,高鐵澄峰,C棟C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮科專六路,120.0,住,,,1120213.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,320.61,7.0,2.0,8.0,有,無,31040000.0,96815.0,,0.0,0.0,本案基地尚未辦理合併分割。買受人持有本案買受總面積依合約所載。,RPPNMLLLKHIGFDK97CB,一日拾樂,A棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮崁頂街95巷,108.56,住,,,1120212.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,182.28,3.0,2.0,4.0,有,無,14020000.0,76915.0,,0.0,0.0,,RPPNMLMLKHIGFDK08CB,宜宏家園,A1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
造橋鄉,房地(土地+建物),苗栗縣造橋鄉仁愛路,75.76,,特定農業區,甲種建築用地,1120223.0,土地9建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,120.26,4.0,2.0,3.0,有,無,9050000.0,75254.0,,0.0,0.0,,RPPNMLNLKHIGFDK18CB,協奏曲,G棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭份市,房地(土地+建物),苗栗縣頭份市尖下段928、928-4、928-5地號,89.98,,山坡地保育區,丙種建築用地,1120211.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,147.45,4.0,2.0,3.0,有,無,9580000.0,64971.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNLKHIGFFK58CB,吾居吾墅,A10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
