鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市中華路607巷,45.82,住,Unnamed: 5,Unnamed: 6,1120511,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,Unnamed: 14,135.71,3,2,2.1,有,無,8004750,63475,一樓平面,20.63,700000,車位:汽車、機車各1,RPPNMLMKNHIGFBK18DB,賞美,G棟5號,Unnamed: 30,來源資料夾,苗栗縣苗栗市中正路1218巷,30.22,1120811,土地1建物1車位1,七層,10,鋼筋混凝土造,174.2,9600000,61484,坡道平面,34.0,980000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOKQHIGFBK56CB,勝觀苑,A棟7號,頭份市,苗栗縣頭份市中正路463巷,48.03,1121111,四層,鋼骨混凝土造,147.26,11280000,76599,12.41,0,Unnamed: 26,RPPNMLNKJIIGFFK28CB,星苑,E棟4F號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,19.15,住,,,1120626.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.11,2.0,2.0,1.0,有,無,10200000.0,101958.0,坡道平面,28.29,1450000.0,,RPTNMLMKPHIGFFK09CB,昌隆廣場-上禾旺,B5棟05F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,26.33,住,,,1120626.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.58,3.0,2.0,2.0,有,無,13500000.0,101014.0,坡道平面,28.29,1450000.0,,RPUNMLMKPHIGFFK56CB,昌隆廣場-上禾旺,B2棟14F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,28.73,住,,,1120626.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.52,3.0,2.0,2.0,有,無,15550000.0,105044.0,坡道平面,28.29,1450000.0,,RPVNMLMKPHIGFFK66CB,昌隆廣場-上禾旺,A2棟08F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,27.53,住,,,1120626.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.05,3.0,2.0,2.0,有,無,14150000.0,101781.0,坡道平面,28.29,1350000.0,,RPWNMLMKPHIGFFK76CB,昌隆廣場-上禾旺,A1棟05F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,27.53,住,,,1120703.0,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.41,3.0,2.0,2.0,有,無,13780000.0,96995.0,坡道平面,28.29,1450000.0,,RPXNMLMKPHIGFFK86CB,昌隆廣場-上禾旺,A1棟02F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,28.73,住,,,1120630.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.52,3.0,2.0,2.0,有,無,15320000.0,103330.0,坡道平面,28.29,1450000.0,,RPOOMLMKPHIGFFK68CB,昌隆廣場-上禾旺,A2棟14F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,26.33,住,,,1120703.0,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.58,3.0,2.0,2.0,有,無,13500000.0,101014.0,坡道平面,28.29,1450000.0,,RPPOMLMKPHIGFFK78CB,昌隆廣場-上禾旺,B2棟13F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,26.33,住,,,1120703.0,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.96,3.0,2.0,2.0,有,無,13760000.0,102842.0,坡道平面,28.29,1350000.0,,RPQOMLMKPHIGFFK88CB,昌隆廣場-上禾旺,B7棟07F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,19.15,住,,,1120630.0,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.09,2.0,2.0,2.0,有,無,10580000.0,106410.0,坡道平面,28.29,1450000.0,,RPROMLMKPHIGFFK98CB,昌隆廣場-上禾旺,E6棟07F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,19.15,住,,,1120630.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.09,2.0,2.0,2.0,有,無,10500000.0,106643.0,坡道平面,28.29,1350000.0,,RPSOMLMKPHIGFFK09CB,昌隆廣場-上禾旺,E6棟10F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,27.53,住,,,1120703.0,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.05,3.0,2.0,2.0,有,無,13930000.0,100032.0,坡道平面,28.29,1350000.0,,RPTOMLMKPHIGFFK56CB,昌隆廣場-上禾旺,F1棟12F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,17.95,住,,,1120703.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.78,2.0,2.0,2.0,有,無,10600000.0,108200.0,坡道平面,28.29,1350000.0,,RPUOMLMKPHIGFFK66CB,昌隆廣場-上禾旺,F3棟08F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北二路,10.99,商,,,1120708.0,土地1建物1車位1,三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.36,2.0,2.0,2.0,有,無,11530000.0,108410.0,坡道機械,18.0,650000.0,,RPPNMLMKPHIGFDK48CB,日比谷,A2棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅二路510號對面,112.54,住,,,1120621.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,236.73,4.0,4.0,6.0,有,無,17680000.0,74684.0,,0.0,0.0,,RPQNMLMKPHIGFDK58CB,鴻璞馨家,B1棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅二路510號對面,110.89,住,,,1120618.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,232.94,4.0,4.0,6.0,有,無,17380000.0,74611.0,,0.0,0.0,,RPRNMLMKPHIGFDK68CB,鴻璞馨家,B2棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮校椅二路510號對面,114.57,住,,,1120630.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,236.58,4.0,4.0,6.0,有,無,17680000.0,74732.0,,0.0,0.0,,RPSNMLMKPHIGFDK78CB,鴻璞馨家,B3棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物),苗栗縣後龍鎮造豐路,92.2,農,,,1120713.0,土地2建物1車位0,全,3.0,透天厝,住商用,鋼筋混凝土造,,202.34,3.0,2.0,3.0,有,無,16000000.0,79075.0,,0.0,0.0,,RPPNMLNKPHIGFDK58CB,富學市,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物),苗栗縣後龍鎮造豐路,102.0,農,,,1120708.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,177.26,5.0,2.0,3.0,有,無,12560000.0,70856.0,,0.0,0.0,,RPQNMLNKPHIGFDK68CB,富學市,D棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,造橋鄉,房地(土地+建物),苗栗縣造橋鄉仁愛路,90.76,,特定農業區,甲種建築用地,1120711.0,土地9建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,113.18,4.0,2.0,3.0,有,無,9450000.0,83495.0,,0.0,0.0,,RPRNMLNKPHIGFDK78CB,協奏曲,D棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍昇街107巷,108.61,農,,,1120607.0,土地2建物1車位0,全,4.0,透天厝,住家用,混凝土造,,216.56,4.0,2.0,4.0,有,無,16200000.0,74806.0,,0.0,0.0,,RPPNMLOKPHIGFDK68CB,龍山綠漾,K棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北二路,18.04,商,,,1120630.0,土地1建物1車位1,十八層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.8,4.0,2.0,2.0,有,無,20480000.0,115275.0,坡道平面,30.15,1500000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOKPHIGFDK78CB,日比谷,A3棟18號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市雙十街,31.28,其他,,,1120622.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.93,2.0,2.0,2.0,有,無,8680000.0,92677.0,一樓平面,13.22,1200000.0,,RPPNMLOKPHIGFFK88CB,竹楓No.3,2F-B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市雙十街,31.28,住,,,1120624.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.93,2.0,2.0,2.0,有,無,9180000.0,95155.0,一樓平面,13.22,1500000.0,,RPRNMLOKPHIGFFK09CB,竹楓No.3,3F-B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市嘉福街,41.45,住,,,1120622.0,土地1建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,152.77,3.0,2.0,2.0,有,無,9460000.0,61923.0,一樓平面,21.82,0.0,,RPQNMLOKPHIGFBK58CB,天湖峰景,B-6F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市豐年段1611地號,36.66,住,,,1120705.0,土地1建物1車位1,七層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,176.19,3.0,2.0,2.0,有,無,13200000.0,74919.0,坡道平面,19.47,0.0,,RPPNMLPKPHIGFBK58CB,輕井澤NO.12星居,C棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市豐年段1611地號,35.97,住,,,1120713.0,土地1建物1車位1,六層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.31,3.0,2.0,2.0,有,無,12700000.0,73279.0,坡道平面,19.47,0.0,,RPQNMLPKPHIGFBK68CB,輕井澤NO.12星居,A棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市豐年段1611地號,36.66,住,,,1120710.0,土地1建物1車位1,六層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,176.18,3.0,2.0,2.0,有,無,12800000.0,72653.0,坡道平面,19.47,0.0,,RPRNMLPKPHIGFBK78CB,輕井澤NO.12星居,D棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉玉泉村玉泉29-1附近,41.14,住,,,1120709.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.56,3.0,2.0,2.0,有,無,7450000.0,62312.0,一樓平面,20.85,0.0,,RPSNMLPKPHIGFBK88CB,幸福里二期,3D棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉玉泉29-1附近,41.14,住,,,1120712.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.56,3.0,2.0,2.0,有,無,7750000.0,64821.0,一樓平面,20.85,0.0,,RPTNMLPKPHIGFBK98CB,幸福里二期,5D棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市東興路37巷,39.88,住,,,1120524.0,土地2建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.47,3.0,2.0,2.0,有,無,10150000.0,91133.0,一樓平面,17.97,900000.0,,RPPNMLPKPHIGFFK98CB,築道之心NO.2,4F-A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北三街及公園一街交叉路口,14.28,商,,,1120626.0,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.54,3.0,2.0,2.0,有,無,15250000.0,101120.0,坡道平面,24.08,1350000.0,其他買受人姓名及統編:趙欣儀L221073489其他:1.本筆交易含頭份市公園段25地號1筆土地持分0.49平方公尺，共計14.77平方公尺。2.另含一個機車位不計價。,RPPNMLQKPHIGFDK88CB,捷笙ART+,A5棟2F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里五谷街70巷,20.07,住,,,1120629.0,土地1建物1車位1,四層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.6,2.0,2.0,1.0,有,無,9210000.0,98499.0,一樓平面,19.34,1600000.0,,RPRNMLRKPHIGFDK56CB,沅程旭,E4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里五谷街70巷,27.6,住,,,1120622.0,土地1建物1車位1,四層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.66,2.0,2.0,1.0,有,無,9500000.0,98416.0,一樓平面,19.34,1300000.0,,RPSNMLRKPHIGFDK66CB,沅程旭,D4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里五谷街70巷,29.39,住,,,1120629.0,土地1建物1車位1,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.81,3.0,2.0,2.0,有,無,12410000.0,95267.0,坡道平面,19.34,1600000.0,,RPTNMLRKPHIGFDK76CB,沅程旭,A3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里五谷街70巷,21.76,住,,,1120713.0,土地1建物1車位1,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.92,3.0,2.0,2.0,有,無,12970000.0,106680.0,坡道平面,19.34,1600000.0,,RPUNMLRKPHIGFDK86CB,沅程旭,F8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港三路,23.01,住,,,1120623.0,土地2建物1車位2,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,108.04,2.0,2.0,2.0,有,無,6900000.0,63865.0,一樓平面,22.27,0.0,,RPVNMLRKPHIGFDK96CB,後龍新世代,D-6F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港三路,23.01,住,,,1120624.0,土地2建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.21,2.0,2.0,2.0,有,無,6310000.0,67697.0,其他,7.44,0.0,,RPXNMLRKPHIGFDK17CB,後龍新世代,D-7F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北二路,14.06,商,,,1120712.0,土地1建物1車位1,二十四層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.2,3.0,2.0,2.0,有,無,17200000.0,122284.0,坡道平面,33.81,1500000.0,,RPOOMLRKPHIGFDK98CB,日比谷,A5棟24號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北二路,10.51,商,,,1120715.0,土地1建物1車位1,一層,24.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,126.07,0.0,0.0,0.0,無,無,17140000.0,160967.0,坡道平面,30.15,1700000.0,,RPPOMLRKPHIGFDK09CB,日比谷,店B棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮公北二路,14.06,商,,,1120630.0,土地1建物1車位1,十六層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.8,3.0,2.0,2.0,有,無,16290000.0,115975.0,坡道平面,27.41,1400000.0,,RPQOMLRKPHIGFDK56CB,日比谷,A5棟16號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物),苗栗縣頭份市中山路256號旁,17.17,住,,,1120629.0,土地1建物1車位0,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,63.38,2.0,1.0,1.0,有,無,6450000.0,101767.0,,0.0,0.0,,RPPNMLRKPHIGFFK56CB,商喬吉品3,A5-9F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市雙十街,43.18,住,,,1120622.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.48,3.0,2.0,2.0,有,無,11680000.0,87562.0,一樓平面,13.22,1500000.0,,RPQNMLRKPHIGFFK66CB,竹楓No.3,2F-C號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市國華路1138巷5號附近,29.74,住,,,1120705.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.2,2.0,2.0,1.0,有,無,6700000.0,78638.0,一樓平面,11.5,0.0,停車位位於室外,RPPNMLRKPHIGFBK78CB,昊翰2,F2-4F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮房裡三路,79.36,農,,,1120707.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,148.41,3.0,3.0,4.0,有,無,10547000.0,71067.0,,0.0,0.0,,RPPNMLSKPHIGFCK98CB,贊騰有願,I棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮佳北二街,42.52,住,,,1120630.0,土地2建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.81,3.0,2.0,2.0,有,無,8800000.0,65765.0,一樓平面,13.75,0.0,,RPPNMLSKPHIGFDK09CB,御國佳緣,B棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮佳北二街,42.52,住,,,1120630.0,土地2建物1車位1,全,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.81,3.0,2.0,2.0,有,無,9080000.0,67857.0,一樓平面,13.75,0.0,,RPSNMLSKPHIGFDK76CB,御國佳緣,B棟4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍山路3段112巷,73.89,住,,,1120707.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,165.68,4.0,2.0,4.0,有,無,13180000.0,79551.0,,0.0,0.0,,RPTNMLSKPHIGFDK86CB,景綻,C棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍山路3段112巷,73.43,住,,,1120716.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,171.23,4.0,2.0,3.0,有,無,13080000.0,76388.0,,0.0,0.0,,RPPNMLTKPHIGFDK56CB,景綻,B棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物),苗栗縣後龍鎮造豐路,106.14,農,,,1120716.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,178.44,4.0,2.0,3.0,有,無,13780000.0,77225.0,,0.0,0.0,,RPQNMLTKPHIGFDK66CB,富學市,C棟13號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路高鐵三路旁,84.5,住,,,1120708.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,208.59,3.0,2.0,4.0,有,無,15200000.0,72870.0,,0.0,0.0,,RPRNMLTKPHIGFDK76CB,高鐵富域二,L棟L號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路高鐵三路旁,85.27,住,,,1120709.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,208.59,3.0,2.0,4.0,有,無,15200000.0,72870.0,,0.0,0.0,,RPSNMLTKPHIGFDK86CB,高鐵富域二,N棟N號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,28.73,住,,,1120710.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.52,3.0,2.0,2.0,有,無,15650000.0,105044.0,坡道平面,28.29,1550000.0,,RPPNMLTKPHIGFFK76CB,昌隆廣場-上禾旺,A2棟09F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
