鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,三民區,房地(土地+建物)+車位,高雄市三民區灣中段63地號,8.41,商,Unnamed: 5,Unnamed: 6,1120512,土地1建物1車位1,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,136.12,3,1,2,有,無,13000000,101345,坡道平面,27.58,2000000,Unnamed: 26,RPPNMLMKNHIGFDE67CB,鑫天地二期,A棟5號,Unnamed: 30,來源資料夾,小港區,房地(土地+建物),高雄市小港區達德街115號3樓,26.2,住,1120812,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),84.39,2.1,2.2,7930000,93968,Unnamed: 23,0.0,0,RPPNMLMKQHIGFCE87CB,綠舟,A2棟115號
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.7,商,,,1120322.0,土地34建物1車位0,二十四層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,65.07,2.0,1.0,1.0,有,無,9720000.0,149378.0,,0.0,0.0,,RPROMLKMLHIGFAE47CB,港灣1號院,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.04,商,,,1120319.0,土地34建物1車位0,八層,37.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,48.95,1.0,1.0,1.0,有,無,6850000.0,139939.0,,0.0,0.0,,RPSOMLKMLHIGFAE57CB,港灣1號院,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.74,商,,,1120314.0,土地34建物1車位0,四層,37.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,65.43,2.0,1.0,1.0,有,無,7820000.0,119517.0,,0.0,0.0,,RPTOMLKMLHIGFAE67CB,港灣1號院,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.74,商,,,1120319.0,土地34建物1車位0,十六層,37.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,65.43,2.0,1.0,1.0,有,無,8830000.0,134953.0,,0.0,0.0,,RPUOMLKMLHIGFAE77CB,港灣1號院,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.74,商,,,1120319.0,土地34建物1車位0,十七層,37.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,65.43,2.0,1.0,1.0,有,無,8870000.0,135565.0,,0.0,0.0,,RPVOMLKMLHIGFAE87CB,港灣1號院,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.74,商,,,1120321.0,土地34建物1車位0,十八層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,65.43,2.0,1.0,1.0,有,無,8910000.0,136176.0,,0.0,0.0,,RPWOMLKMLHIGFAE97CB,港灣1號院,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120324.0,土地34建物1車位0,十六層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,72.64,1.0,1.0,1.0,有,無,9620000.0,132434.0,,0.0,0.0,,RPRNMLLMLHIGFAE47CB,港灣1號院,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120324.0,土地34建物1車位0,十五層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,72.64,1.0,1.0,1.0,有,無,9570000.0,131746.0,,0.0,0.0,,RPSNMLLMLHIGFAE57CB,港灣1號院,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路及大成街交叉路口,4.18,商,,,1120326.0,土地34建物1車位1,六層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,115.35,2.0,1.0,1.0,有,無,14660000.0,127142.0,坡道平面,14.99,1900000.0,,RPTNMLLMLHIGFAE67CB,港灣1號院,A棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區中正路88巷128弄,22.79,其他,,,1120309.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.24,3.0,2.0,2.0,有,無,11440000.0,83440.0,坡道平面,21.51,1700000.0,,RPPNMLLMLHIGFLE38CB,上揚湛,A1-9F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區保生街,24.43,住,,,1120325.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),見其它登記事項,鋼筋混凝土造,,85.13,2.0,1.0,2.0,有,無,5850000.0,62342.0,一樓平面,13.75,1400000.0,,RPQNMLLMLHIGFLE48CB,時尚知音,D棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林園區,房地(土地+建物)+車位,高雄市林園區中門路32巷,31.44,住,,,1120314.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.74,2.0,2.0,2.0,有,無,6250000.0,62086.0,一樓平面,13.79,1100000.0,,RPPNMLLJMHIGFLE18CB,捷園,A棟13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小港區,房地(土地+建物)+車位,高雄市小港區港信路,12.44,住,,,1120330.0,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.23,2.0,1.0,2.0,有,無,7930000.0,84932.0,坡道平面,24.7,1600000.0,,RPPNMLLJMHIGFCE27CB,橘時光,A棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小港區,房地(土地+建物)+車位,高雄市小港區港信路,12.51,住,,,1120330.0,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.64,2.0,1.0,2.0,有,無,7590000.0,81265.0,坡道平面,24.7,1500000.0,,RPQNMLLJMHIGFCE37CB,橘時光,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小港區,房地(土地+建物)+車位,高雄市小港區港信路,19.43,住,,,1120329.0,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.26,3.0,2.0,2.0,有,無,11360000.0,83734.0,坡道平面,24.7,1600000.0,,RPRNMLLJMHIGFCE47CB,橘時光,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小港區,房地(土地+建物)+車位,高雄市小港區港信路,22.22,住,,,1120329.0,土地1建物1車位1,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.76,3.0,2.0,2.0,有,無,12800000.0,83421.0,坡道平面,24.7,1700000.0,,RPSNMLLJMHIGFCE57CB,橘時光,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120325.0,土地34建物1車位1,二十七層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,78.26,1.0,1.0,1.0,有,無,12680000.0,160793.0,坡道機械,5.62,1000000.0,,RPQNMLLJMHIGFAE17CB,港灣1號院,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.74,商,,,1120325.0,土地34建物1車位0,十九層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,65.43,2.0,1.0,1.0,有,無,8950000.0,136787.0,,0.0,0.0,,RPRNMLLJMHIGFAE27CB,港灣1號院,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區左屏段2地號,7.74,住,,,1120401.0,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.92,2.0,1.0,1.0,有,無,8600000.0,97860.0,坡道機械,12.9,1650000.0,,RPPNMLLJMHIGFEE47CB,諾金,B9棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物),高雄市左營區左屏段2地號,5.63,住,,,1120401.0,土地1建物1車位0,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,51.63,0.0,0.0,0.0,無,無,5500000.0,106527.0,,0.0,0.0,,RPQNMLLJMHIGFEE57CB,諾金,B3棟4號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.11,商,,,1120315.0,土地34建物1車位0,十一層,37.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,74.56,1.0,1.0,1.0,有,無,9160000.0,122854.0,,0.0,0.0,,RPPNMLMJMHIGFAE17CB,港灣1號院,B棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.11,商,,,1120321.0,土地34建物1車位0,六層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,74.56,1.0,1.0,1.0,有,無,8920000.0,119635.0,,0.0,0.0,,RPQNMLMJMHIGFAE27CB,港灣1號院,B棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.11,商,,,1120324.0,土地34建物1車位0,七層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,74.56,1.0,1.0,1.0,有,無,8980000.0,120440.0,,0.0,0.0,,RPRNMLMJMHIGFAE37CB,港灣1號院,B棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.11,商,,,1120321.0,土地34建物1車位0,五層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,74.56,1.0,1.0,1.0,有,無,8890000.0,119233.0,,0.0,0.0,,RPSNMLMJMHIGFAE47CB,港灣1號院,B棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.11,商,,,1120317.0,土地34建物1車位0,十層,37.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,74.56,1.0,1.0,1.0,有,無,9100000.0,122049.0,,0.0,0.0,,RPTNMLMJMHIGFAE57CB,港灣1號院,B棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120324.0,土地34建物1車位0,十四層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,72.64,1.0,1.0,1.0,有,無,9250000.0,127340.0,,0.0,0.0,,RPUNMLMJMHIGFAE67CB,港灣1號院,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120324.0,土地34建物1車位0,六層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,72.64,1.0,1.0,1.0,有,無,8670000.0,119356.0,,0.0,0.0,,RPVNMLMJMHIGFAE77CB,港灣1號院,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120311.0,土地34建物1車位0,九層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,72.64,1.0,1.0,1.0,有,無,8790000.0,121008.0,,0.0,0.0,,RPWNMLMJMHIGFAE87CB,港灣1號院,B棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120321.0,土地34建物1車位0,四層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,72.64,1.0,1.0,1.0,有,無,8530000.0,117428.0,,0.0,0.0,,RPXNMLMJMHIGFAE97CB,港灣1號院,B棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.11,商,,,1120314.0,土地34建物1車位0,九層,37.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,74.56,1.0,1.0,1.0,有,無,9070000.0,121647.0,,0.0,0.0,,RPOOMLMJMHIGFAE17CB,港灣1號院,B棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.11,商,,,1120325.0,土地34建物1車位0,四層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,74.56,1.0,1.0,1.0,有,無,8780000.0,117758.0,,0.0,0.0,,RPPOMLMJMHIGFAE27CB,港灣1號院,B棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,2.74,商,,,1120327.0,土地34建物1車位0,十五層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,65.43,2.0,1.0,1.0,有,無,8780000.0,134189.0,,0.0,0.0,,RPPNMLNJMHIGFAE27CB,港灣1號院,B棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區果貿段177-9地號,13.74,住,,,1120320.0,土地1建物1車位1,五層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.43,3.0,2.0,2.0,有,無,13890000.0,100573.0,坡道平面,24.71,1950000.0,,RPPNMLNJMHIGFEE67CB,華友聯NeXT21,A5棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區果貿段177-9地號,9.16,住,,,1120322.0,土地1建物1車位1,十七層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.82,2.0,2.0,1.0,有,無,9750000.0,105620.0,坡道平面,24.71,1500000.0,,RPQNMLNJMHIGFEE77CB,華友聯NeXT21,D2棟17號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區果貿段177-9地號,9.16,住,,,1120324.0,土地1建物1車位1,十二層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.82,2.0,2.0,1.0,有,無,9880000.0,100883.0,坡道平面,24.71,2000000.0,,RPRNMLNJMHIGFEE87CB,華友聯NeXT21,E2棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區果貿段177-9地號,9.16,住,,,1120324.0,土地1建物1車位1,十八層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.82,2.0,2.0,1.0,有,無,9850000.0,103060.0,坡道平面,24.71,1800000.0,,RPSNMLNJMHIGFEE97CB,華友聯NeXT21,E2棟18號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山區,房地(土地+建物)+車位,高雄市岡山區灣裡路18巷42弄,39.55,住,,,1120330.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),見其它登記事項,鋼筋混凝土造,,114.74,3.0,2.0,2.0,有,無,9000000.0,76275.0,一樓平面,13.79,1300000.0,,RPPNMLNJMHIGFFE77CB,皇家晶典22期,E棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山區,房地(土地+建物)+車位,高雄市岡山區灣裡路18巷42弄,38.01,住,,,1120331.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),見其它登記事項,鋼筋混凝土造,,110.76,3.0,2.0,2.0,有,無,9380000.0,83325.0,一樓平面,13.79,1300000.0,,RPQNMLNJMHIGFFE87CB,皇家晶典22期,E棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區濃二街,27.77,其他,,,1120314.0,土地2建物0車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.01,3.0,1.0,2.0,有,無,6800000.0,70694.0,一樓平面,15.21,1300000.0,,RPPNMLNJMHIGFLE38CB,山緯ING2,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿蓮區,房地(土地+建物),高雄市阿蓮區忠孝路275巷,120.86,農,,,1120325.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,174.85,5.0,2.0,3.0,有,無,13900000.0,79497.0,,0.0,0.0,,RPPNMLNJMHIGFJE18CB,皇家晶典23期,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區果貿段177-9地號,13.74,住,,,1120330.0,土地1建物1車位1,十七層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.6,3.0,2.0,2.0,有,無,13570000.0,102384.0,坡道平面,24.71,1500000.0,,RPPNMLOJMHIGFEE77CB,華友聯NeXT21,D1棟17號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左營區,房地(土地+建物)+車位,高雄市左營區果貿段177-9地號,9.16,住,,,1120330.0,土地1建物1車位1,十六層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.82,2.0,2.0,1.0,有,無,9810000.0,99987.0,坡道平面,24.71,2000000.0,,RPQNMLOJMHIGFEE87CB,華友聯NeXT21,E2棟16號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路及大成街交叉路口,3.04,商,,,1120321.0,土地34建物1車位0,五層,37.0,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,,72.64,1.0,1.0,1.0,有,無,8620000.0,118667.0,,0.0,0.0,,RPPNMLPJMHIGFAE47CB,港灣1號院,B棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大樹區,房地(土地+建物),高雄市大樹區久堂路,105.33,住,,,1120401.0,土地2建物1車位0,全,3.0,透天厝,見其它登記事項,鋼筋混凝土造,,159.43,4.0,2.0,4.0,有,無,12400000.0,77777.0,,0.0,0.0,,RPPNMLPJMHIGFGE08CB,旺萊市三期,B棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區八德路與勝利街口,33.71,住,,,1120312.0,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.38,3.0,2.0,2.0,有,無,13560000.0,69876.0,坡道平面,14.65,1700000.0,,RPPNMLPJMHIGFLE58CB,福懋沐氧森,A1棟8F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區八德路與勝利街口,17.66,住,,,1120314.0,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.48,2.0,1.0,1.0,有,無,8480000.0,76326.0,坡道平面,14.65,1700000.0,,RPQNMLPJMHIGFLE68CB,福懋沐氧森,B8棟13F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區八德路與勝利街口,27.82,住,,,1120326.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.63,2.0,2.0,2.0,有,無,11830000.0,72662.0,坡道平面,13.53,1650000.0,,RPRNMLPJMHIGFLE78CB,福懋沐氧森,A3棟10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區八德路與勝利街口,17.66,住,,,1120328.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.48,2.0,1.0,1.0,有,無,8450000.0,75988.0,坡道平面,14.65,1700000.0,,RPSNMLPJMHIGFLE88CB,福懋沐氧森,B8棟9F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區八德路與勝利街口,17.66,住,,,1120328.0,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.48,2.0,1.0,1.0,有,無,8480000.0,76326.0,坡道平面,14.65,1700000.0,,RPTNMLPJMHIGFLE98CB,福懋沐氧森,B8棟10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區八德路與勝利街口,23.01,住,,,1120330.0,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.81,3.0,2.0,2.0,有,無,10450000.0,76336.0,坡道平面,13.53,1650000.0,,RPUNMLPJMHIGFLE09CB,福懋沐氧森,A6棟9F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林園區,房地(土地+建物),高雄市林園區溪州二路,24.58,住,,,1120312.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.4,2.0,2.0,2.0,有,無,4150000.0,55040.0,,0.0,0.0,,RPPNMLQJMHIGFLE68CB,幸福滿堂第一期,A5-2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物),高雄市大寮區翁園段1125-12地號,93.32,住,,,1120329.0,土地1建物1車位0,全,3.0,透天厝,見其它登記事項,鋼筋混凝土造,,189.55,5.0,2.0,3.0,有,無,13380000.0,70588.0,,0.0,0.0,,RPQNMLQJMHIGFLE78CB,旺春豐,E棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物),高雄市大寮區翁園段1121地號,33.65,住,,,1120331.0,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),見其它登記事項,鋼筋混凝土造,,93.06,2.0,2.0,2.0,有,無,6500000.0,69847.0,,0.0,0.0,,RPRNMLQJMHIGFLE88CB,旺春豐,A1棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物),高雄市大寮區翁園段1122-8地號，翁園段1122-27地號,98.31,住,,,1120403.0,土地2建物1車位0,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,,178.8,4.0,2.0,4.0,有,無,15000000.0,83893.0,,0.0,0.0,,RPSNMLQJMHIGFLE98CB,旺春豐,D棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物),高雄市大寮區翁園段1122-25號、1122-34號,109.64,住,,,1120326.0,土地2建物1車位0,全,4.0,透天厝,見其它登記事項,鋼筋混凝土造,,195.95,5.0,2.0,5.0,有,無,14550000.0,74254.0,,0.0,0.0,,RPUNMLQJMHIGFLE56CB,旺春豐,D棟25號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大寮區,房地(土地+建物)+車位,高雄市大寮區翁園段1121地號,41.88,住,,,1120401.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),見其它登記事項,鋼筋混凝土造,,129.73,3.0,2.0,2.0,有,無,9030000.0,65776.0,一樓平面,13.73,1400000.0,,RPVNMLQJMHIGFLE66CB,旺春豐,A3棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
