鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,Unnamed: 5,Unnamed: 6,1120531,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,90.2,3,2,2.1,有,無,6160000,68293,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLLMNHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C32F棟14號,Unnamed: 30,來源資料夾,38.43,1120820,94.46,6600000,69871,RPPNMLLLQHIGFAW86CB,C12F棟16號,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,36.04,1121201,86.38,6400000,74091,RPPNMLPJKIIGFAW56CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C22F棟222號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,39.05,1121220.0,93.58,7100000.0,75871.0,RPPNMLRLKIIGFAW96CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B1C15F棟115號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,37.96,1121220.0,90.99,6900000.0,75833.0,RPQNMLRLKIIGFAW07CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B1C25F棟125號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號1號,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,36.04,1121225.0,86.38,7000000.0,81037.0,RPRNMLRLKIIGFAW17CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C25F棟225號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,住,,,,土地2建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,2.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段837及838-1地號,33.61,1121207.0,80.87,5820000.0,71967.0,RPPNMLPJJHJGFAW09CB,酒鄉,A1B1棟C3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,其他,,,,土地2建物0車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,4.0,2.0,3.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段837及838-1號,55.86,1121207.0,134.27,8160000.0,60773.0,RPQNMLPJJHJGFAW56CB,酒鄉,A1B1棟C1號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,住,,,,土地1建物1車位0,七層,7.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,,2.0,2.0,2.0,有,無,,,,0.0,0.0,親友、員工、共有人或其他特殊關係間之交易；,,,,,112_05,,,,,,,,金門縣金城鎮祥豐段0020-0000地號,39.39,1121220.0,153.91,15600000.0,101358.0,RPPNMLTJJHJGFAW86CB,擎美御邸,A棟7號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,住,,,,土地2建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,4.0,2.0,3.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段837及838-1地號,55.86,1121214.0,134.27,8530000.0,63529.0,RPQNMLTJJHJGFAW96CB,酒鄉,A1B1棟C1號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,住,,,,土地2建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段837及838-1地號,45.17,1121215.0,108.64,8320000.0,76583.0,RPRNMLTJJHJGFAW07CB,酒鄉,A1B1棟C2號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,35.77,1130110.0,85.72,6400000.0,74662.0,RPPNMLMKJHJGFAW88CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C14F棟214號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,37.96,1130111.0,90.99,6800000.0,74733.0,RPQNMLMKJHJGFAW98CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B1C24F棟124號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,住,,,,土地2建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段837及838-1號,45.17,1121225.0,108.64,7820000.0,71981.0,RPPNMLPKJHJGFAW56CB,酒鄉,A1B1棟C2號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,住,,,,土地2建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段837及838-1號,45.17,1121225.0,108.64,6730000.0,61948.0,RPQNMLPKJHJGFAW66CB,酒鄉,A1B1棟C2號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村頂堡99之5號後方,39.64,1130112.0,93.08,7000000.0,75204.0,RPPNMLPKJHJGFAW66DB,晴山馥居,C4號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金湖鎮,房地(土地+建物),,,住,,,,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,,4.0,1.0,5.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金湖鎮羅劃測段200，201地號,103.68,1121218.0,203.57,11084400.0,54450.0,RPPNMLQKJHJGFAW66CB,陽光寬庭,C棟07號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金湖鎮,房地(土地+建物),,,住,,,,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,,4.0,1.0,5.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金湖鎮羅劃測段200，201地號,106.38,1121218.0,208.86,10990000.0,52619.0,RPQNMLQKJHJGFAW76CB,陽光寬庭,B棟07號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,30.67,1130110.0,73.5,5580000.0,75918.0,RPPNMLTKJHJGFAW96CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C33F棟233號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號9號,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,35.77,1130110.0,85.72,6980000.0,81428.0,RPQNMLTKJHJGFAW07CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C15F棟215號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金城鎮,房地(土地+建物),,,其他,,,,土地1建物0車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金城鎮金門城測段670地號,32.29,1130121.0,80.43,5150000.0,64031.0,RPPNMLNLJHJGFAW09CB,金門縣金城鎮金門城測段670地號集合住宅新建工程,C23F棟23號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,含法定車位約定車位編號2號,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,30.67,1130110.0,73.5,6120000.0,83265.0,RPQNMLNLJHJGFAW56CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C35F棟235號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,35.77,1130120.0,85.72,6400000.0,74662.0,RPQNMLQLJHJGFAW86CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C13F棟213號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,30.67,1130120.0,73.5,5530000.0,75238.0,RPRNMLQLJHJGFAW96CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C32F棟232號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,35.77,1130120.0,85.72,6350000.0,74078.0,RPSNMLQLJHJGFAW07CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C12F棟212號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,37.96,1130121.0,90.99,6750000.0,74184.0,RPTNMLQLJHJGFAW17CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B1C22F棟122號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地3建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號,33.02,1130125.0,79.13,6120000.0,77341.0,RPUNMLQLJHJGFAW27CB,金門縣金寧鄉盤山村測段188-3、188-4、190-3地號集合住宅新建工程,B2C11F棟211號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村頂堡99之5號後方,39.64,1130118.0,93.08,6980000.0,74989.0,RPQNMLKMJHJGFAW09DB,晴山馥居,C4號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉盤山村頂堡99之5號後方,40.52,1130122.0,95.13,7130000.0,74950.0,RPRNMLKMJHJGFAW56DB,晴山馥居,C3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),,,其他,,,,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,2.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金寧鄉寧湖二劃測段1217地號,50.0,1130118.0,105.67,8880000.0,84035.0,RPPNMLPKKHJGFAW76DB,湖峰華居集合住宅新建工程,A1幢B1棟5B號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金湖鎮,房地(土地+建物),,,其他,,,,土地1建物0車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,1.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金湖鎮新頭段776地號,56.35,1130125.0,123.13,8650000.0,70251.0,RPRNMLRKKHJGFAW17DB,天圓湖中居,A1B1棟C2-2F號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金湖鎮,房地(土地+建物),,,其他,,,,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,,3.0,1.0,2.0,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,金門縣金湖鎮新頭段776號,57.42,1130203.0,125.47,8700000.0,69339.0,RPPNMLTKKHJGFAW07CB,天圓湖中居,A1B1棟C1-2F號
