鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.74,住,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,177.45,3,1,2,有,無,12200000,76985,坡道平面,53.4,2650000,Unnamed: 26,RPPNMLQKNHIGFAI18CB,未來樹,L5棟5F號,Unnamed: 30,來源資料夾,嘉義市嘉義市日新街與立學街口,31.16,商,1120813,土地1建物1車位1,六層,13,204.63,2.1,19380000,104299,33.2,1500000,RPPNMLOKQHIGFAI28CB,仰?日新,1棟6B1號
嘉義市,房地(土地+建物),嘉義市嘉義市荖藤宅,28.2,住,,,1111116.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.25,1.0,1.0,1.0,有,無,5300000.0,75445.0,,0.0,0.0,,RPPNMLPJKIHGFAI67CB,寓上愛,壹棟2FA7號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市忠孝路798巷,29.4,住,,,1111130.0,土地1建物1車位2,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.95,3.0,1.0,2.0,有,無,10650000.0,65687.0,坡道平面,53.4,2600000.0,,RPQNMLPJKIHGFAI77CB,未來樹,L3棟7F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市順興六街,105.11,住,,,1111128.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,165.29,3.0,3.0,4.0,有,無,17880000.0,108174.0,,0.0,0.0,,RPPNMLQJKIHGFAI77CB,松町六,F棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新生路,27.37,住,,,1111123.0,土地3建物1車位1,七層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,190.91,3.0,2.0,2.0,有,無,17090000.0,88282.0,坡道平面,13.75,1450000.0,勃朗峰/7FA1,RPQNMLTJKIHGFAI18CB,勃朗峰、THEONE,A棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新生路,27.37,住,,,1111117.0,土地3建物1車位2,五層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,205.66,3.0,2.0,2.0,有,無,16970000.0,80549.0,坡道平面,28.5,2700000.0,,RPSNMLTJKIHGFAI38CB,勃朗峰、THEONE,A棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,23.91,商,,,1111128.0,土地1建物1車位2,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.48,2.0,2.0,2.0,有,無,12610000.0,78068.0,坡道平面,58.54,2700000.0,,RPTNMLTJKIHGFAI48CB,佳昂?家易,A3棟12號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市彌陀路238巷98弄,37.02,住,,,1111123.0,土地1建物1車位1,三層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.0,4.0,2.0,2.0,有,無,9150000.0,79410.0,坡道機械,13.22,750000.0,,RPUNMLTJKIHGFAI58CB,拉斐特三期,3樓A號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,40.59,商,,,1111128.0,土地1建物1車位1,一層,12.0,店面(店鋪),商業用,鋼筋混凝土造,,239.03,0.0,0.0,0.0,無,無,21780000.0,97397.0,坡道平面,29.27,1350000.0,,RPPNMLLKKIHGFAI37CB,佳昂?家易,S2棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,28.36,商,,,1111128.0,土地1建物1車位1,一層,14.0,店面(店鋪),商業用,鋼筋混凝土造,,174.41,0.0,0.0,0.0,無,無,14610000.0,91360.0,坡道平面,29.27,1350000.0,,RPQNMLLKKIHGFAI47CB,佳昂?家易,S6棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市健康九路與湖美十路交叉口,21.13,商,,,1111128.0,土地1建物1車位0,一層,14.0,店面(店鋪),商業用,鋼筋混凝土造,,104.7,0.0,0.0,0.0,無,無,9250000.0,88348.0,,0.0,0.0,,RPRNMLLKKIHGFAI57CB,佳昂?家易,S12棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,23.91,商,,,1111128.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.21,2.0,2.0,2.0,有,無,11230000.0,77832.0,坡道平面,29.27,1350000.0,,RPSNMLLKKIHGFAI67CB,佳昂?家易,A2棟9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,18.35,商,,,1111128.0,土地1建物1車位2,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.21,2.0,2.0,1.0,有,無,10460000.0,78646.0,坡道平面,58.54,2700000.0,,RPTNMLLKKIHGFAI77CB,佳昂?家易,A5棟10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111128.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7320000.0,69259.0,坡道平面,29.27,1300000.0,,RPUNMLLKKIHGFAI87CB,佳昂?家易,D1棟3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111128.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7270000.0,68684.0,坡道平面,29.27,1300000.0,,RPVNMLLKKIHGFAI97CB,佳昂?家易,D1棟4號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111128.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7640000.0,72941.0,坡道平面,29.27,1300000.0,,RPWNMLLKKIHGFAI08CB,佳昂?家易,D1棟5號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111128.0,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7640000.0,73516.0,坡道平面,29.27,1250000.0,,RPXNMLLKKIHGFAI18CB,佳昂?家易,D1棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111128.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.11,2.0,2.0,1.0,有,無,7880000.0,76277.0,坡道平面,28.19,1250000.0,,RPOOMLLKKIHGFAI37CB,佳昂?家易,D1棟13號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111128.0,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7310000.0,69144.0,坡道平面,29.27,1300000.0,,RPPOMLLKKIHGFAI47CB,佳昂?家易,E6棟2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康九路與湖美十路交叉口,16.13,商,,,1111128.0,土地1建物1車位1,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,2.0,1.0,有,無,7320000.0,69259.0,坡道平面,29.27,1300000.0,,RPQOMLLKKIHGFAI57CB,佳昂?家易,E6棟3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
