鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,東石鄉,房地(土地+建物),嘉義縣東石鄉蔦松村湖底17-1號旁,91.67,Unnamed: 4,鄉村區,乙種建築用地,1120517,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,149.35,4,2,4.1,有,無,8580000,57449,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMLNHIGFBQ78CB,上荷院8期,8C區棟13號,Unnamed: 30,來源資料夾,民雄鄉,嘉義縣民雄鄉正義二街,169.25,住,Unnamed: 5,Unnamed: 6,1120813,土地4建物1車位0,242.18,5,25800000,106532,RPPNMLOKQHIGFCQ66CB,中正-森學院,A棟10號,大林鎮,嘉義縣大林鎮林頭,118.37,1121111,173.42,3.1,10580000,61008,RPQNMLPKJIIGFCQ88CB,新社團三期,A棟2號
朴子市,房地(土地+建物)+車位,嘉義縣朴子市八德路,23.61,住,,,1120226.0,土地4建物1車位1,二層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.41,2.0,1.0,2.0,有,無,6000000.0,66658.0,一樓平面,22.15,850000.0,,RPQNMLMJLHIGFBQ48CB,大人物,2B1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市嘉47-1鄉道,91.55,,鄉村區,乙種建築用地,1120224.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,198.7,4.0,3.0,4.0,有,無,12780000.0,64318.0,,0.0,0.0,,RPSNMLMJLHIGFBQ68CB,寶格好囍市,A7棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市嘉47-1鄉道,91.53,,鄉村區,乙種建築用地,1120220.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,197.95,4.0,3.0,4.0,有,無,12780000.0,64562.0,,0.0,0.0,,RPTNMLMJLHIGFBQ78CB,寶格好囍市,A8棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市嘉47-1鄉道,124.25,,鄉村區,乙種建築用地,1120217.0,土地2建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,219.4,4.0,3.0,4.0,有,無,14280000.0,65087.0,,0.0,0.0,,RPPOMLMJLHIGFBQ48CB,寶格好囍市,B12棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉港尾寮新段118-1地號至118-25地號,108.51,,鄉村區,乙種建築用地,1120301.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,149.92,4.0,2.0,5.0,有,無,7580000.0,50560.0,,0.0,0.0,,RPPNMLOJLHIGFBQ68DB,白居易NO.2,C棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉港尾寮新段118-1地號至118-25地號,179.91,,鄉村區,乙種建築用地,1120302.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,179.8,5.0,2.0,4.0,有,無,8680000.0,48276.0,,0.0,0.0,,RPQNMLOJLHIGFBQ78DB,白居易NO.2,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉港尾寮新段118-1地號至118-25地號,111.38,,鄉村區,乙種建築用地,1120211.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.95,4.0,2.0,4.0,有,無,7600000.0,55495.0,,0.0,0.0,,RPSNMLOJLHIGFBQ98DB,白居易NO.2,B棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六腳鄉,房地(土地+建物),嘉義縣六腳鄉港尾寮新段118-1地號至118-25地號,107.52,,鄉村區,乙種建築用地,1120216.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,150.38,5.0,2.0,4.0,有,無,7880000.0,52401.0,,0.0,0.0,,RPTNMLOJLHIGFBQ09DB,白居易NO.2,B棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大林鎮,房地(土地+建物)+車位,嘉義縣大林鎮大智三街,55.56,,工業區,丁種建築用地,1120218.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.79,2.0,2.0,2.0,有,無,5620000.0,63295.0,其他,0.0,400000.0,,RPPNMLPJLHIGFCQ88DB,想寓,2棟C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉北興段491-29地號,122.25,住,,,1120211.0,土地8建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,241.3,4.0,3.0,5.0,有,無,15800000.0,65479.0,,0.0,0.0,,RPQNMLQJLHIGFDQ09CB,元森極,B棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
