鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
金湖鎮,土地,北五劃段445地號,672.78,都市：其他:國家公園區,,,1121123,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5150000,7655.0,,0.0,0,包含公共設施保留地用地；,RPTNMLTLJIIGFAW47DA,0.0,0.0,0.0,無,,112_04
金湖鎮,房地(土地+建物),金門縣金湖鎮林兜３６３號,100.55,都市：其他:自然村專用區,,,1121109,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070327.0,185.26,5,2,4,有,無,14000000,75569.0,,0.0,0,,RPPNMLLJKIIGFAW78DA,173.45,0.0,11.81,無,14.0,112_04
金寧鄉,房地(土地+建物),金門縣金寧鄉中堡３之５號三樓,36.67,都市：其他:自然村專用區,,,1121117,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1120724.0,72.69,3,2,2,有,無,4800000,66034.0,,0.0,0,,RPPNMLOJKIIGFAW09DA,58.95,0.0,3.46,無,,112_04
金沙鎮,房地(土地+建物),金門縣金沙鎮博愛街２２號,61.84,商,,,1121107,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,660615.0,178.8,5,2,3,有,無,1700000,9508.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLOJKIIGFAW56EA,178.8,0.0,0.0,無,,112_04
金沙鎮,土地,山柄段858地號,468.37,都市：其他:國家公園區,,,1121107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,2562.0,,0.0,0,,RPTNMLSJJIIGFAW17DA,0.0,0.0,0.0,無,15.0,112_04
金寧鄉,土地,寧古劃段741地號,556.0,都市：其他:國家公園區,,,1121109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,2158.0,,0.0,0,,RPPNMLMLJIIGFAW98DA,0.0,0.0,0.0,無,,112_04
烈嶼鄉,土地,烈濱劃測段1326地號,585.03,農,,,1121123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,4444.0,,0.0,0,,RPUNMLTLJIIGFAW57DA,0.0,0.0,0.0,無,,112_04
金寧鄉,房地(土地+建物),金門縣金寧鄉頂埔下９６之３號２樓,52.68,都市：其他:自然村專用區,,,1121124,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120630.0,112.63,3,1,2,有,有,8600000,76356.0,,0.0,0,,RPQNMLKMJIIGFAW98DA,89.27,0.0,8.82,有,,112_04
金湖鎮,房地(土地+建物),金門縣金湖鎮市港一路２６０號二樓,27.0,都市：其他:自然村專用區,,,1121109,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040429.0,64.3,1,1,1,有,有,3950000,61431.0,,0.0,0,,RPRNMLQJKIIGFAW86DA,42.03,0.7,5.68,有,16.0,112_04
烈嶼鄉,土地,烈新段11地號,152.33,住,,,1121013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5488880,36033.0,,0.0,0,政府機關標讓售；,RPPNMLNKIIIGFAW98EA,0.0,0.0,0.0,無,,112_04
金寧鄉,房地(土地+建物),金門縣金寧鄉頂埔下９６號２樓,52.68,都市：其他:自然村專用區,,,1121002,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120630.0,111.88,3,1,3,有,有,8800000,78656.0,,0.0,0,,RPSNMLNJIIIGFAW09DA,89.37,0.0,7.97,有,,112_04
金寧鄉,房地(土地+建物),金門縣金寧鄉頂埔下９６號３樓,52.68,都市：其他:自然村專用區,,,1121002,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120630.0,111.88,3,1,3,有,有,8800000,78656.0,,0.0,0,,RPTNMLNJIIIGFAW56DA,89.37,0.0,7.97,有,,112_04
烈嶼鄉,土地,烈新段29地號,497.24,住,,,1121013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17888000,35975.0,,0.0,0,政府機關標讓售；,RPQNMLNKIIIGFAW09EA,0.0,0.0,0.0,無,,112_04
