鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,馬公市,房地(土地+建物),澎湖縣馬公市成功街,20.67,住,Unnamed: 5,Unnamed: 6,1120515,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,Unnamed: 14,69.91,2,2.1,2.2,有,無,7200000,102990,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLLMNHIGFAX76CB,昌錦豐碩,A2-1棟0號,Unnamed: 30,來源資料夾,澎湖縣馬公市中衛段900地號,27.44,農,1120818,4,住家用,68.47,1,4800000,70104,RPPNMLMKRHIGFAX17DB,九如天下,1棟A號,澎湖縣馬公市馬公段293，297地號等2筆,14.01,商,1121112,土地2建物1車位0,六層,9,見其他登記事項,88.79,7580000,85370,RPQNMLKMJIIGFAX56DB,新澄大樓,6樓棟C號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),澎湖縣馬公市馬公段293，297地號等2筆,14.01,商,,,1120802.0,土地2建物1車位0,三層,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,88.77,2.0,1.0,2.0,有,無,7500000.0,84488.0,,0.0,0.0,,RPPNMLLMQHIGFAX17DB,新澄大樓,3樓棟C號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物)+車位,,,,,,,土地1建物1車位1,四層,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,3.0,3.0,,有,無,,,一樓平面,15.0,1000000.0,,,,,,112_04,澎湖縣馬公市光榮街,50.78,住,1120915.0,5.0,住家用,160.86,2.0,14800000.0,94611.0,RPQNMLQJIIIGFAX76DB,家益光榮大樓,B、C棟4號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,土地1建物1車位0,全,,透天厝,,鋼筋混凝土造,,,4.0,5.0,,有,無,,,,0.0,0.0,,,,,,112_04,澎湖縣馬公市北極段618地號共1筆,105.57,住,1121003.0,3.0,住家用,233.33,2.0,12380000.0,53058.0,RPPNMLKMIIIGFAX98DB,崧庭御苑,A17棟0號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,土地1建物1車位0,全,,透天厝,,鋼筋混凝土造,,,6.0,7.0,,有,無,,,,0.0,0.0,,,,,,112_04,澎湖縣馬公市北極段661地號共1筆,140.62,住,1121006.0,4.0,住家用,293.56,2.0,15500000.0,52800.0,RPQNMLKMIIIGFAX09DB,崧庭御苑,A1棟0號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,土地1建物1車位0,全,,透天厝,,鋼筋混凝土造,,,9.0,10.0,,有,無,,,,0.0,0.0,透天厝一樓含二車位，車位已含總價,,,,,112_04,澎湖縣馬公市北極段618-4地號共1筆,178.36,住,1121017.0,4.0,住商用,479.75,1.0,27000000.0,56279.0,RPRNMLKMIIIGFAX56DB,崧庭御苑,A19棟0號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,土地2建物1車位0,五層,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,2.0,2.0,,有,無,,,,0.0,0.0,,,,,,112_04,澎湖縣馬公市馬公段293，297地號等2筆,22.85,商,1121011.0,9.0,見其他登記事項,144.74,1.0,12800000.0,88434.0,RPPNMLTJJIIGFAX07DB,新澄大樓,5樓棟B號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,土地1建物1車位0,全,,透天厝,,鋼筋混凝土造,,,4.0,5.0,,有,無,,,,0.0,0.0,,,,,,112_04,澎湖縣馬公市北極段618-3地號共1筆,105.05,住,1121025.0,3.0,住家用,233.33,2.0,12380000.0,53058.0,RPPNMLLLJIIGFAX09DB,崧庭御苑,A18棟0號,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,2.0,2.0,,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,1.0,,,,,,澎湖縣馬公市馬公段293，297地號等2筆,14.01,商,1121112.0,土地2建物1車位0,七層,9.0,見其他登記事項,88.79,7580000.0,85370.0,RPRNMLKMJIIGFAX66DB,新澄大樓,7樓棟D號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,3.0,2.0,,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,1.0,,,,,,澎湖縣馬公市馬公段293，297地號等2筆,22.85,商,1130112.0,土地2建物1車位0,七層,9.0,見其他登記事項,144.74,12800000.0,88434.0,RPQNMLPKJHJGFAX86DB,新澄大樓,7樓棟B號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,2.0,2.0,,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,1.0,,,,,,澎湖縣馬公市光榮街,26.21,住,1121227.0,土地1建物1車位0,三層,5.0,住家用,83.1,7300000.0,87846.0,RPPNMLTKJHJGFAX17DB,家益光榮大樓,E棟3號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,,,,透天厝,,鋼筋混凝土造,,,5.0,6.0,,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,2.0,,,,,,澎湖縣馬公市北極段661-2地號共1筆,114.73,住,1130202.0,土地1建物1車位0,全,3.0,住家用,251.1,14420000.0,57427.0,RPPNMLPKKHJGFAX86DB,崧庭御苑,A2棟0號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬公市,房地(土地+建物),,,,,,,,,,華廈(10層含以下有電梯),,鋼筋混凝土造,,,2.0,2.0,,有,無,,,,0.0,0.0,,,,,,112_05,,,,,,,,1.0,,,,,,澎湖縣馬公市光榮街,26.26,住,1130130.0,土地1建物1車位0,五層,5.0,住家用,82.3,7400000.0,89915.0,RPPNMLLLKHJGFAX56DB,家益光榮大樓,D棟5號
