鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,6.03,住,Unnamed: 5,Unnamed: 6,1120512,土地4建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,30.07,1,1.1,1.2,有,無,11080000,368474,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCA17CB,松江ONE,D-13F號,Unnamed: 30,來源資料夾,南港區,房地(土地+建物)+車位,臺北市南港區福山街44巷5號,18.53,1120813,土地3建物1車位1,十二層,15,134.11,3,2,2.1,29180000,269508,坡道平面,36.97,3000000,RPPNMLNKQHIGFDA67CB,中研首席,A2-12F號,中正區,臺北市中正區臨沂街33巷,24.77,1121111,土地1建物1車位1,六層,12,157.79,60080000,461488,35.62,3700000,RPPNMLLKJIIGFBA66CB,日健邸,6F-A3號
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段23巷及23巷7弄、9弄口,18.91,住,,,1120417.0,土地24建物1車位1,五層,22.0,住宅大樓(11層含以上有電梯),住商用,見其他登記事項,,102.79,2.0,1.0,1.0,有,無,28000000.0,345703.0,坡道平面,31.92,3500000.0,,RPPNMLSJNHIGFDA87DB,揚昇君隆,A2-1-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,29.73,住,,,1120428.0,土地2建物1車位1,十六層,26.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,184.94,3.0,2.0,2.0,有,無,60900000.0,371919.0,坡道平面,29.53,3100000.0,,RPPNMLSJNHIGFEA87CB,國泰雍萃,A6-16F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,29.73,住,,,1120424.0,土地2建物1車位1,十七層,26.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,184.94,3.0,2.0,2.0,有,無,61100000.0,373206.0,坡道平面,29.53,3100000.0,,RPQNMLSJNHIGFEA97CB,國泰雍萃,A6-17F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,29.73,住,,,1120504.0,土地2建物1車位2,十八層,26.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,214.47,3.0,2.0,2.0,有,無,64400000.0,374493.0,坡道平面,59.06,6200000.0,,RPRNMLSJNHIGFEA08CB,國泰雍萃,A6-18F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,36.22,住,,,1120424.0,土地35建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,250.94,4.0,2.0,2.0,有,無,47600000.0,207469.0,坡道平面,34.04,2600000.0,雨遮面積登記不計價,RPPNMLSJNHIGFBA57CB,萬錦,C棟C3-8F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,33.61,住,,,1120422.0,土地35建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,234.51,4.0,2.0,2.0,有,無,45800000.0,214771.0,坡道平面,32.9,2500000.0,雨遮面積登記不計價,RPQNMLSJNHIGFBA67CB,萬錦,C棟C1-13F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,17.15,住,,,1120422.0,土地35建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.69,2.0,2.0,1.0,有,無,23000000.0,198734.0,坡道平面,34.04,2600000.0,雨遮面積登記不計價,RPRNMLSJNHIGFBA77CB,萬錦,B棟B5-4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萬華區,房地(土地+建物)+車位,臺北市萬華區青山里環河南路二段5巷1號,5.89,商,,,1120412.0,土地12建物1車位1,十二層,23.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,104.29,3.0,2.0,2.0,有,無,21680000.0,211242.0,其他,10.18,1800000.0,雨遮計坪不計價,RPSNMLSJNHIGFBA87CB,安家秀,A5棟12F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,10.64,商,,,1120415.0,土地25建物1車位1,二十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.42,3.0,2.0,2.0,有,無,40990000.0,275754.0,坡道平面,26.74,3300000.0,,RPPNMLSJNHIGFAA47CB,岳泰峰華,A2-20樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,10.38,商,,,1120426.0,土地25建物1車位1,十四層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.63,3.0,2.0,2.0,有,無,37800000.0,271649.0,其他,13.37,1600000.0,,RPQNMLSJNHIGFAA57CB,岳泰峰華,A3-14樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.41,商,,,1120427.0,土地25建物1車位1,十五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.34,3.0,2.0,2.0,有,無,32730000.0,257337.0,其他,13.37,1600000.0,,RPRNMLSJNHIGFAA67CB,岳泰峰華,A7-15樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.6,商,,,1120427.0,土地25建物1車位1,十六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.64,3.0,2.0,2.0,有,無,33450000.0,258376.0,其他,13.37,1600000.0,,RPSNMLSJNHIGFAA77CB,岳泰峰華,A4-16樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.39,商,,,1120424.0,土地25建物1車位1,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.01,3.0,2.0,2.0,有,無,31520000.0,248011.0,其他,13.37,1600000.0,,RPUNMLSJNHIGFAA97CB,岳泰峰華,A1-8樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.83,商,,,1120426.0,土地25建物1車位1,十一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.2,2.0,2.0,1.0,有,無,25030000.0,266765.0,其他,13.37,1600000.0,,RPVNMLSJNHIGFAA08CB,岳泰峰華,A4-11樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.41,商,,,1120423.0,土地25建物1車位1,七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.34,3.0,2.0,2.0,有,無,31500000.0,247169.0,其他,13.37,1600000.0,,RPWNMLSJNHIGFAA18CB,岳泰峰華,A7-7樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120423.0,土地25建物1車位1,十二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2.0,2.0,1.0,有,無,23960000.0,285714.0,其他,13.37,1600000.0,,RPXNMLSJNHIGFAA28CB,岳泰峰華,A6-12樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120422.0,土地25建物1車位1,十五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2.0,2.0,1.0,有,無,24120000.0,287759.0,其他,13.37,1600000.0,,RPOOMLSJNHIGFAA47CB,岳泰峰華,A6-15樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.6,商,,,1120422.0,土地25建物1車位1,二十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.64,3.0,2.0,2.0,有,無,33520000.0,258944.0,其他,13.37,1600000.0,,RPPOMLSJNHIGFAA57CB,岳泰峰華,A4-20樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.57,商,,,1120422.0,土地25建物1車位1,二十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.32,3.0,2.0,2.0,有,無,33430000.0,258886.0,其他,13.37,1600000.0,,RPQOMLSJNHIGFAA67CB,岳泰峰華,A1-20樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.57,商,,,1120422.0,土地25建物1車位1,二十一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.32,3.0,2.0,2.0,有,無,33550000.0,259862.0,其他,13.37,1600000.0,,RPROMLSJNHIGFAA77CB,岳泰峰華,A1-21樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120422.0,土地25建物1車位1,十三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.65,2.0,2.0,1.0,有,無,23920000.0,285130.0,其他,13.37,1600000.0,,RPSOMLSJNHIGFAA87CB,岳泰峰華,A2-13樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120421.0,土地25建物1車位1,十五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.65,2.0,2.0,1.0,有,無,24010000.0,286280.0,其他,13.37,1600000.0,,RPTOMLSJNHIGFAA97CB,岳泰峰華,A2-15樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120421.0,土地25建物1車位1,十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2.0,2.0,1.0,有,無,23820000.0,283925.0,其他,13.37,1600000.0,,RPUOMLSJNHIGFAA08CB,岳泰峰華,A6-10樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120421.0,土地25建物1車位1,九層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2.0,2.0,1.0,有,無,23740000.0,282903.0,其他,13.37,1600000.0,,RPVOMLSJNHIGFAA18CB,岳泰峰華,A6-9樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120421.0,土地25建物1車位1,十四層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.63,2.0,2.0,1.0,有,無,24100000.0,287503.0,其他,13.37,1600000.0,,RPWOMLSJNHIGFAA28CB,岳泰峰華,A6-14樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,6.09,商,,,1120421.0,土地25建物1車位1,十二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.65,2.0,2.0,1.0,有,無,23850000.0,284236.0,其他,13.37,1600000.0,,RPXOMLSJNHIGFAA38CB,岳泰峰華,A2-12樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,1120421.0,土地11建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3.0,2.0,3.0,有,無,39300000.0,261025.0,坡道平面,31.25,2900000.0,,RPOPMLSJNHIGFAA57CB,綠意久康,A5-14F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,1120502.0,土地11建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3.0,2.0,3.0,有,無,37320000.0,246827.0,坡道平面,31.25,2900000.0,,RPPPMLSJNHIGFAA67CB,綠意久康,A2-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,9.39,商,,,1120425.0,土地25建物1車位1,十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.01,3.0,2.0,2.0,有,無,31740000.0,249834.0,其他,13.37,1600000.0,,RPQPMLSJNHIGFAA77CB,岳泰峰華,A1-10樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,1120418.0,土地11建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3.0,2.0,3.0,有,無,38360000.0,252850.0,坡道平面,31.25,3100000.0,,RPRPMLSJNHIGFAA87CB,綠意久康,A2-8F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,1120420.0,土地11建物1車位1,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3.0,22.0,3.0,有,無,38660000.0,257153.0,坡道平面,31.25,2800000.0,,RPSPMLSJNHIGFAA97CB,綠意久康,A2-11F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,19.59,住,,,1120418.0,土地11建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,131.11,2.0,2.0,2.0,有,無,26300000.0,249349.0,坡道平面,31.25,1400000.0,,RPUPMLSJNHIGFAA18CB,綠意久康,A2-2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,18.74,住,,,1120424.0,土地11建物1車位1,七層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,126.52,2.0,2.0,2.0,有,無,26160000.0,248347.0,坡道平面,31.25,2500000.0,,RPVPMLSJNHIGFAA28CB,綠意久康,A1-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,1120427.0,土地11建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3.0,2.0,3.0,有,無,37950000.0,251345.0,坡道平面,31.25,2900000.0,,RPWPMLSJNHIGFAA38CB,綠意久康,A5-8F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,1120428.0,土地11建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3.0,2.0,3.0,有,無,38390000.0,254500.0,坡道平面,31.25,2900000.0,,RPXPMLSJNHIGFAA48CB,綠意久康,A2-9F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區久康街110巷,27.37,住,,,1120425.0,土地11建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,170.7,3.0,2.0,3.0,有,無,37050000.0,245608.0,坡道平面,31.25,2800000.0,,RPOQMLSJNHIGFAA67CB,綠意久康,A5-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段304巷,28.52,住,,,1120407.0,土地23建物1車位1,一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.12,3.0,1.0,2.0,有,無,36000000.0,233867.0,坡道平面,34.6,1500000.0,,RPRNMLTJNHIGFAA77CB,沐極,A1-1F棟-號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段304巷,28.53,住,,,1120324.0,土地23建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.31,4.0,1.0,2.0,有,無,34300000.0,192635.0,坡道機械,17.04,1500000.0,,RPSNMLTJNHIGFAA87CB,沐極,A1-8F棟-號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區景文街４８號,10.64,商,,,1120412.0,土地25建物1車位1,十六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.42,3.0,2.0,2.0,有,無,44680000.0,299093.0,坡道平面,26.74,3800000.0,本戶有露台約定使用面積，撤銷原序號B1AA11205030013,RPTNMLTJNHIGFAA97CB,岳泰峰華,A2-16樓號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區光輝路134巷3弄1號,24.44,住,,,1120424.0,土地1建物1車位1,三層,11.0,住宅大樓(11層含以上有電梯),住家用,混凝土造,,167.03,3.0,2.0,2.0,有,無,30600000.0,225211.0,坡道機械,41.37,2300000.0,,RPUNMLTJNHIGFAA08CB,文山萃,A棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區光輝路134巷3弄1號,19.27,住,,,1120427.0,土地1建物1車位1,三層,11.0,住宅大樓(11層含以上有電梯),住家用,混凝土造,,140.13,3.0,2.0,2.0,有,無,24000000.0,222762.0,坡道機械,41.37,2000000.0,,RPVNMLTJNHIGFAA18CB,文山萃,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),臺北市中山區新生里松江路330巷23號,6.03,住,,,1120509.0,土地4建物1車位0,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,30.06,1.0,1.0,1.0,有,無,10500000.0,349301.0,,0.0,0.0,,RPQNMLTJNHIGFCA87CB,松江ONE,D-5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萬華區,房地(土地+建物)+車位,臺北市萬華區昆明街289巷旁,6.75,商,,,1120505.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.17,2.0,2.0,1.0,有,無,19050000.0,236236.0,升降機械,5.88,1500000.0,,RPPNMLTJNHIGFBA67CB,曉南門,D棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南港區,房地(土地+建物)+車位,臺北市南港區重陽里重陽路39巷,29.19,住,,,1120505.0,土地1建物1車位1,七層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.31,2.0,2.0,2.0,有,無,40080000.0,312648.0,坡道平面,32.71,3000000.0,,RPPNMLTJNHIGFDA97DB,中瑋吾年,A棟A3-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大安區,房地(土地+建物),臺北市大安區安東街35巷,11.1,住,,,1120411.0,土地12建物1車位0,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.56,2.0,1.0,1.0,有,無,32200000.0,449972.0,,0.0,0.0,,RPPNMLKKNHIGFFA27CB,親家JIA,J號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區清江里中央南路一段81號,19.8,商,,,1120430.0,土地36建物1車位2,四層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,275.57,4.0,2.0,3.0,有,無,48000000.0,201693.0,坡道平面,58.16,4150000.0,交易總價含下列非屬預售屋價格之費用:毛胚屋；,RPPNMLKKNHIGFEA17CB,富域,B棟B3-4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區清江里中央南路一段81號,19.92,商,,,1120429.0,土地36建物1車位2,七層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,281.83,4.0,2.0,3.0,有,無,54000000.0,219730.0,坡道平面,63.38,6000000.0,,RPQNMLKKNHIGFEA27CB,富域,B棟B2-7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路23巷,36.0,住,,,1120502.0,土地1建物1車位1,二十層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,227.03,3.0,2.0,3.0,有,無,67700000.0,342386.0,坡道平面,37.77,2900000.0,,RPRNMLKKNHIGFEA37CB,柏鴻君臨,A5-20F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士林區,房地(土地+建物)+車位,臺北市士林區福港街208號,20.13,住,,,1120505.0,土地4建物1車位1,十二層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,181.3,3.0,2.0,2.0,有,無,47000000.0,280650.0,坡道平面,25.59,3300000.0,,RPSNMLKKNHIGFEA47CB,圓山富璟,C-12F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物),臺北市大同區重慶北路三段,7.19,住,,,1120428.0,土地9建物1車位0,七層,16.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,75.07,2.0,1.0,1.0,有,無,21420000.0,285334.0,,0.0,0.0,,RPPNMLKKNHIGFBA86CB,當代一號院,A棟07號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街136巷18弄12號,14.87,住,,,1120507.0,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.07,2.0,1.0,2.0,有,無,28900000.0,228935.0,坡道平面,34.19,2600000.0,雨遮計坪不計價,RPPNMLKKNHIGFCA07DB,家騰真,A2-12F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大同區,房地(土地+建物),臺北市大同區南京西路２６７號旁,8.37,商,,,1120423.0,土地6建物1車位0,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.41,2.0,2.0,1.0,有,無,24680000.0,269992.0,,0.0,0.0,,RPPNMLLKNHIGFBA96CB,合砌埕家,A3-14F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
