鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,新竹市,房地(土地+建物)+車位,新竹市新竹市南大路,25.78,商,Unnamed: 5,Unnamed: 6,1120513,土地2建物1車位2,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,218.0,3,2,2.1,有,無,25450000,158048,升降平面,77.22,3200000,Unnamed: 26,RPQNMLPKNHIGFAO78CB,福砌3,B棟6號,Unnamed: 30,來源資料夾,新竹市新竹市北區西門街,28.99,住,1120812,土地1建物1車位1,二層,14,159.46,26200000,189142,坡道平面,33.1,2300000,RPPNMLMKQHIGFAO78DB,鴻碩,B-2號,新竹市新竹市北區鐵道路二段,32.61,1121112,22,182.16,27050000,166264,33.0,2250000,RPPNMLMKJIIGFAO18DB,鴻萃,A棟2號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區北大路262號旁,13.57,商,,,1120224.0,土地8建物1車位1,八層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.21,3.0,2.0,2.0,有,無,27740000.0,182622.0,坡道平面,43.18,2350000.0,,RPSNMLNJLHIGFAO48CB,春福大雋,A3-8F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路三段439巷旁,41.67,住,,,1120302.0,土地1建物1車位1,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,170.21,3.0,2.0,2.0,有,無,12890000.0,84229.0,坡道平面,34.39,1450000.0,,RPTNMLOJLHIGFAO68CB,廿景,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市占梅路,15.12,商,,,1120223.0,土地1建物1車位1,十七層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.65,4.0,2.0,2.0,有,無,39700000.0,237042.0,坡道平面,26.45,2200000.0,,RPQNMLQJLHIGFAO58CB,富宇-天雋,A6棟17號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市占梅路,14.04,商,,,1120225.0,土地1建物1車位1,十六層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.43,3.0,2.0,2.0,有,無,37420000.0,236223.0,坡道平面,26.45,2700000.0,,RPRNMLQJLHIGFAO68CB,富宇-天雋,B1棟16號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市占梅路,13.03,商,,,1120304.0,土地1建物1車位1,十五層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.54,3.0,2.0,2.0,有,無,35360000.0,237784.0,坡道平面,26.45,3000000.0,,RPSNMLQJLHIGFAO78CB,富宇-天雋,A5棟15號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市占梅路,9.86,商,,,1120303.0,土地1建物1車位1,一層,24.0,店面(店鋪),商業用,鋼筋混凝土造,,129.66,1.0,1.0,1.0,有,無,41990000.0,377773.0,坡道平面,26.45,3000000.0,,RPVNMLQJLHIGFAO09CB,富宇-天雋,S棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物),新竹市新竹市占梅路,9.65,商,,,1120217.0,土地1建物1車位0,一層,24.0,店面(店鋪),商業用,鋼筋混凝土造,,100.94,1.0,1.0,1.0,有,無,38170000.0,378145.0,,0.0,0.0,,RPOOMLQJLHIGFAO48CB,富宇-天雋,S棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.89,住,,,1120224.0,土地6建物1車位1,三層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.7,3.0,2.0,2.0,有,無,21650000.0,151071.0,坡道平面,24.04,1760000.0,,RPPNMLRJLHIGFAO58CB,自有美,A棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.89,住,,,1120301.0,土地6建物1車位1,六層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.79,3.0,2.0,2.0,有,無,22310000.0,155021.0,坡道平面,26.13,1900000.0,,RPQNMLRJLHIGFAO68CB,自有美,A棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.89,住,,,1120223.0,土地6建物1車位1,七層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.79,3.0,2.0,2.0,有,無,22530000.0,156691.0,坡道平面,26.13,1900000.0,,RPRNMLRJLHIGFAO78CB,自有美,A棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.89,住,,,1120302.0,土地6建物1車位1,八層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.79,3.0,2.0,2.0,有,無,22540000.0,157527.0,坡道平面,26.13,1800000.0,,RPSNMLRJLHIGFAO88CB,自有美,A棟8F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市警光路,24.89,住,,,1120302.0,土地6建物1車位1,九層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.79,3.0,2.0,2.0,有,無,22690000.0,158666.0,坡道平面,26.13,1800000.0,,RPPOMLRJLHIGFAO68CB,自有美,A棟9F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
