鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,24.05,其他,Unnamed: 5,Unnamed: 6,1120511,土地2建物1車位1,十一層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,Unnamed: 14,153.94,3,1,2,有,無,15190000,115127,坡道平面,34.42,1430000,Unnamed: 26,RPPNMLPKNHIGFCJ38CB,星都?C區,3D棟11F號,Unnamed: 30,來源資料夾,新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,312.86,Unnamed: 4,鄉村區,國土保安用地,1120813,土地2建物1車位0,全,4,透天厝,住家用,278.29,4.1,4.2,39890000,143340,Unnamed: 23,0.0,0,RPVNMLNKQHIGFBJ98CB,壹山2K,K棟5號,187.52,乙種建築用地,1121112,287.1,39970000,139220,RPUNMLNKJIIGFBJ28CB,壹山2D,D棟1號
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘興段628-3地號,23.91,住,,,1120219.0,土地1建物1車位1,十一層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.53,2.0,2.0,1.0,有,無,19080000.0,187081.0,坡道平面,33.5,2050000.0,,RPSNMLLLKHIGFBJ97CB,一森峰,C5棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘興段628-3地號,22.86,住,,,1120212.0,土地1建物1車位1,九層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.68,2.0,2.0,1.0,有,無,18000000.0,182955.0,坡道平面,33.5,2050000.0,,RPTNMLLLKHIGFBJ08CB,一森峰,B2棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路,39.0,住,,,1120218.0,土地1建物1車位2,十層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,290.4,4.0,2.0,2.0,有,無,46600000.0,183805.0,坡道平面,57.0,3700000.0,,RPSNMLMLKHIGFBJ08CB,青靚,A棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市世興段0025-0000地號,31.36,商,,,1120211.0,土地1建物1車位2,二十層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,241.32,4.0,2.0,2.0,有,無,45700000.0,231528.0,坡道平面,62.94,4400000.0,,RPTOMLMLKHIGFBJ28CB,惠宇謙恆,B棟20號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市聯興三街236巷137號,42.69,,特定農業區,甲種建築用地,1120216.0,土地4建物1車位1,三層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,169.21,3.0,1.0,2.0,有,無,16800000.0,101492.0,坡道平面,20.43,1700000.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPXOMLMLKHIGFBJ68CB,植光,B3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市聯興三街236巷137號,31.5,,特定農業區,甲種建築用地,1120216.0,土地4建物1車位1,六層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.22,3.0,1.0,2.0,有,無,13460000.0,107114.0,坡道平面,20.43,1700000.0,,RPOPMLMLKHIGFBJ87CB,植光,D6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市聯興三街236巷137號,31.5,,特定農業區,甲種建築用地,1120217.0,土地4建物1車位1,五層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.22,3.0,1.0,2.0,有,無,12900000.0,102924.0,坡道平面,20.43,1600000.0,,RPPPMLMLKHIGFBJ97CB,植光,D5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,76.69,,山坡地保育區,丙種建築用地,1120212.0,土地7建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,218.32,4.0,2.0,2.0,有,無,26260000.0,123639.0,坡道平面,18.06,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之30.84,RPPNMLMLKHIGFCJ87CB,宏道新竹帝寶8區1號,E1棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.91,,山坡地保育區,丙種建築用地,1120218.0,土地7建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.66,3.0,2.0,2.0,有,無,17630000.0,129326.0,坡道平面,17.55,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.26,RPQNMLMLKHIGFCJ97CB,宏道新竹帝寶8區1號,K3棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,30.68,住,,,1120214.0,土地1建物1車位1,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.86,3.0,2.0,2.0,有,無,13560000.0,98240.0,坡道平面,27.1,1500000.0,,RPPNMLMLKHIGFDJ97CB,昕承,A棟A3-6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
