鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,24.05,其他,Unnamed: 5,Unnamed: 6,1120511,土地2建物1車位1,十一層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,Unnamed: 14,153.94,3,1,2,有,無,15190000,115127,坡道平面,34.42,1430000,Unnamed: 26,RPPNMLPKNHIGFCJ38CB,星都?C區,3D棟11F號,Unnamed: 30,來源資料夾,新埔鎮,房地(土地+建物),新竹縣新埔鎮壹山街50號,312.86,Unnamed: 4,鄉村區,國土保安用地,1120813,土地2建物1車位0,全,4,透天厝,住家用,278.29,4.1,4.2,39890000,143340,Unnamed: 23,0.0,0,RPVNMLNKQHIGFBJ98CB,壹山2K,K棟5號,187.52,乙種建築用地,1121112,287.1,39970000,139220,RPUNMLNKJIIGFBJ28CB,壹山2D,D棟1號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山路一段與達生路交叉路口,14.17,商,,,1120404.0,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.31,2.0,2.0,1.0,有,無,10100000.0,99124.0,坡道平面,40.01,1050000.0,,RPSOMLOKMHIGFDJ68CB,明玥,B3棟04F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山路一段與達生路交叉路口,14.17,商,,,1120403.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.31,2.0,2.0,1.0,有,無,10310000.0,100329.0,坡道平面,40.01,1150000.0,,RPTOMLOKMHIGFDJ78CB,明玥,B3棟05F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山路一段與達生路交叉路口,19.72,商,,,1120330.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.02,3.0,2.0,2.0,有,無,12820000.0,91883.0,坡道平面,40.01,1150000.0,,RPPNMLPKMHIGFDJ38CB,明玥,B1棟05F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山路一段與達生路交叉路口,14.17,商,,,1120329.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.31,2.0,2.0,1.0,有,無,10200000.0,104600.0,坡道平面,40.01,650000.0,,RPQNMLPKMHIGFDJ48CB,明玥,B3棟14F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山路一段與達生路交叉路口,19.72,商,,,1120329.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.02,3.0,2.0,2.0,有,無,13230000.0,97079.0,坡道平面,40.01,900000.0,,RPRNMLPKMHIGFDJ58CB,明玥,B1棟13F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山路一段與達生路交叉路口,21.92,商,,,1120405.0,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.28,3.0,2.0,2.0,有,無,15830000.0,102853.0,坡道平面,40.01,1300000.0,,RPSNMLPKMHIGFDJ68CB,明玥,B2棟09F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104-2地號,21.04,,一般農業區,甲種建築用地,1120320.0,土地1建物1車位1,十層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.57,2.0,2.0,1.0,有,無,8000000.0,82900.0,坡道平面,24.82,1140000.0,,RPTNMLPKMHIGFDJ78CB,富來新苑,E3棟10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104-2地號,21.04,,一般農業區,甲種建築用地,1120408.0,土地1建物1車位1,五層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.57,2.0,2.0,1.0,有,無,7850000.0,81088.0,坡道平面,24.82,1140000.0,,RPUNMLPKMHIGFDJ88CB,富來新苑,D3棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104-2地號,36.16,,一般農業區,甲種建築用地,1120402.0,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.34,4.0,2.0,2.0,有,無,12630000.0,80739.0,坡道平面,26.03,1140000.0,,RPVNMLPKMHIGFDJ98CB,富來新苑,F3棟10F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.91,,山坡地保育區,丙種建築用地,1120331.0,土地7建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.66,3.0,2.0,2.0,有,無,17630000.0,129326.0,坡道平面,17.55,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.26。,RPPNMLPKMHIGFCJ28CB,宏道新竹帝寶8區1號,L3棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.11,,山坡地保育區,丙種建築用地,1120408.0,土地7建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.18,2.0,2.0,2.0,有,無,16290000.0,145036.0,坡道平面,17.55,1550000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.52。,RPQNMLPKMHIGFCJ38CB,宏道新竹帝寶8區1號,L5棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,45.76,,山坡地保育區,丙種建築用地,1120331.0,土地7建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.21,3.0,2.0,2.0,有,無,17860000.0,129954.0,坡道平面,17.55,1400000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之18.39。,RPRNMLPKMHIGFCJ48CB,宏道新竹帝寶8區1號,G2棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.8,,山坡地保育區,丙種建築用地,1120403.0,土地7建物1車位2,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.91,3.0,2.0,2.0,有,無,18600000.0,124589.0,坡道平面,35.1,3050000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.21。,RPSNMLPKMHIGFCJ58CB,宏道新竹帝寶8區1號,L2棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.8,,山坡地保育區,丙種建築用地,1120331.0,土地7建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.36,3.0,2.0,2.0,有,無,17290000.0,126112.0,坡道平面,17.55,1550000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.21。,RPTNMLPKMHIGFCJ68CB,宏道新竹帝寶8區1號,M2棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.11,,山坡地保育區,丙種建築用地,1120330.0,土地7建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.87,2.0,2.0,2.0,有,無,14800000.0,141009.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.52。,RPUNMLPKMHIGFCJ78CB,宏道新竹帝寶8區1號,M5棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,72.92,,山坡地保育區,丙種建築用地,1120325.0,土地7建物1車位2,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,235.4,4.0,2.0,2.0,有,無,27800000.0,123814.0,坡道平面,35.1,3000000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之29.32。,RPVNMLPKMHIGFCJ88CB,宏道新竹帝寶8區1號,F1棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.11,,山坡地保育區,丙種建築用地,1120325.0,土地7建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.87,2.0,2.0,2.0,有,無,14850000.0,141009.0,坡道平面,17.55,1550000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.52。,RPWNMLPKMHIGFCJ98CB,宏道新竹帝寶8區1號,L5棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,39.34,,山坡地保育區,丙種建築用地,1120407.0,土地7建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.16,3.0,2.0,2.0,有,無,16960000.0,141046.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之15.81。,RPXNMLPKMHIGFCJ09CB,宏道新竹帝寶8區1號,L1棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.8,,山坡地保育區,丙種建築用地,1120330.0,土地7建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.36,3.0,2.0,2.0,有,無,17820000.0,130759.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.21。,RPOOMLPKMHIGFCJ28CB,宏道新竹帝寶8區1號,M2棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,39.34,,山坡地保育區,丙種建築用地,1120328.0,土地7建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.29,3.0,2.0,2.0,有,無,15690000.0,138602.0,坡道平面,17.55,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之15.81。,RPPOMLPKMHIGFCJ38CB,宏道新竹帝寶8區1號,L1棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,46.29,,山坡地保育區,丙種建築用地,1120327.0,土地7建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,146.31,3.0,2.0,2.0,有,無,18030000.0,128378.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之18.61。,RPQOMLPKMHIGFCJ48CB,宏道新竹帝寶8區1號,F3棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.11,,山坡地保育區,丙種建築用地,1120326.0,土地7建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.87,2.0,2.0,2.0,有,無,14930000.0,141858.0,坡道平面,17.55,1550000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.52。,RPROMLPKMHIGFCJ58CB,宏道新竹帝寶8區1號,L5棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.11,,山坡地保育區,丙種建築用地,1120325.0,土地7建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.87,2.0,2.0,2.0,有,無,14670000.0,140161.0,坡道平面,17.55,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.52。,RPSOMLPKMHIGFCJ68CB,宏道新竹帝寶8區1號,M5棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.8,,山坡地保育區,丙種建築用地,1120330.0,土地7建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.36,3.0,2.0,2.0,有,無,17580000.0,129236.0,坡道平面,17.55,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.21。,RPTOMLPKMHIGFCJ78CB,宏道新竹帝寶8區1號,L2棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.8,,山坡地保育區,丙種建築用地,1120328.0,土地7建物1車位2,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.91,3.0,2.0,2.0,有,無,18480000.0,124830.0,坡道平面,35.1,2900000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.21。,RPUOMLPKMHIGFCJ88CB,宏道新竹帝寶8區1號,M2棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,46.29,,山坡地保育區,丙種建築用地,1120325.0,土地7建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,146.31,3.0,2.0,2.0,有,無,17470000.0,123641.0,坡道平面,17.55,1550000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之18.61。,RPVOMLPKMHIGFCJ98CB,宏道新竹帝寶8區1號,G3棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,45.76,,山坡地保育區,丙種建築用地,1120325.0,土地7建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.21,3.0,2.0,2.0,有,無,17320000.0,125296.0,坡道平面,17.55,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之18.39。,RPWOMLPKMHIGFCJ09CB,宏道新竹帝寶8區1號,G2棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.91,,山坡地保育區,丙種建築用地,1120327.0,土地7建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.66,3.0,2.0,2.0,有,無,16930000.0,123331.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.26。,RPXOMLPKMHIGFCJ56CB,宏道新竹帝寶8區1號,M3棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.91,,山坡地保育區,丙種建築用地,1120325.0,土地7建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.66,3.0,2.0,2.0,有,無,16930000.0,123331.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.26。,RPPPMLPKMHIGFCJ48CB,宏道新竹帝寶8區1號,L3棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,45.76,,山坡地保育區,丙種建築用地,1120331.0,土地7建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.21,3.0,2.0,2.0,有,無,17030000.0,123006.0,坡道平面,17.55,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之18.39。,RPQPMLPKMHIGFCJ58CB,宏道新竹帝寶8區1號,F2棟4F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,39.34,,山坡地保育區,丙種建築用地,1120330.0,土地7建物1車位2,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.71,3.0,2.0,2.0,有,無,18630000.0,143053.0,坡道平面,35.1,2950000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之15.81。,RPRPMLPKMHIGFCJ68CB,宏道新竹帝寶8區1號,L1棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,72.92,,山坡地保育區,丙種建築用地,1120407.0,土地7建物1車位2,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,235.4,4.0,2.0,2.0,有,無,27580000.0,122716.0,坡道平面,35.1,3000000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之29.32。,RPSPMLPKMHIGFCJ78CB,宏道新竹帝寶8區1號,F1棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,45.76,,山坡地保育區,丙種建築用地,1120401.0,土地7建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.21,3.0,2.0,2.0,有,無,17520000.0,126480.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之18.39。,RPTPMLPKMHIGFCJ88CB,宏道新竹帝寶8區1號,F2棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,47.8,,山坡地保育區,丙種建築用地,1120403.0,土地7建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.36,3.0,2.0,2.0,有,無,16940000.0,123708.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.21。,RPUPMLPKMHIGFCJ98CB,宏道新竹帝寶8區1號,L2棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.11,,山坡地保育區,丙種建築用地,1120401.0,土地7建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.18,2.0,2.0,2.0,有,無,15940000.0,142084.0,坡道平面,17.55,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.52。,RPVPMLPKMHIGFCJ09CB,宏道新竹帝寶8區1號,M5棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,39.56,,山坡地保育區,丙種建築用地,1120326.0,土地8建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.38,3.0,2.0,2.0,有,無,16570000.0,147211.0,坡道平面,17.67,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之15.9。,RPWPMLPKMHIGFCJ56CB,宏道新竹帝寶8區3號,H1棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,48.06,,山坡地保育區,丙種建築用地,1120325.0,土地8建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.45,3.0,2.0,2.0,有,無,16850000.0,123417.0,坡道平面,17.67,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.73。,RPXPMLPKMHIGFCJ66CB,宏道新竹帝寶8區3號,H2棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,48.06,,山坡地保育區,丙種建築用地,1120329.0,土地8建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.45,3.0,2.0,2.0,有,無,17590000.0,128947.0,坡道平面,17.67,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.32。,RPOQMLPKMHIGFCJ48CB,宏道新竹帝寶8區3號,H2棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,48.17,,山坡地保育區,丙種建築用地,1120325.0,土地8建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.76,3.0,2.0,2.0,有,無,17570000.0,128468.0,坡道平面,17.67,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.78。,RPQQMLPKMHIGFCJ68CB,宏道新竹帝寶8區3號,H3棟5F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,77.13,,山坡地保育區,丙種建築用地,1120408.0,土地8建物1車位2,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,235.59,4.0,2.0,2.0,有,無,29250000.0,130836.0,坡道平面,35.34,3050000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之31.67。,RPRQMLPKMHIGFCJ78CB,宏道新竹帝寶8區3號,B1棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,48.06,,山坡地保育區,丙種建築用地,1120410.0,土地8建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.45,3.0,2.0,2.0,有,無,18000000.0,132233.0,坡道平面,17.67,1500000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.32。,RPSQMLPKMHIGFCJ88CB,宏道新竹帝寶8區3號,H2棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.34,,山坡地保育區,丙種建築用地,1120331.0,土地8建物1車位1,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.98,2.0,2.0,2.0,有,無,15360000.0,147492.0,坡道平面,17.67,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.6。,RPTQMLPKMHIGFCJ98CB,宏道新竹帝寶8區3號,H5棟7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.34,,山坡地保育區,丙種建築用地,1120408.0,土地8建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.98,2.0,2.0,2.0,有,無,14950000.0,143145.0,坡道平面,17.67,1450000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.91。,RPUQMLPKMHIGFCJ09CB,宏道新竹帝寶8區3號,H5棟3F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,36.34,,山坡地保育區,丙種建築用地,1120330.0,土地8建物1車位1,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.98,2.0,2.0,2.0,有,無,15190000.0,144629.0,坡道平面,17.67,1550000.0,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之14.6。,RPVQMLPKMHIGFCJ56CB,宏道新竹帝寶8區3號,H5棟6F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
