鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路64巷9號旁,102.33,住,Unnamed: 5,Unnamed: 6,1120511,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,204.6,4,2,5,有,無,12200000,59629,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCP68CB,寬庭恆美,A棟15號,Unnamed: 30,來源資料夾,斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,1120813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),163.82,1,12460000,86393,坡道平面,35.8,1400000,RPQNMLNKQHIGFAP98CB,品風華,4FE棟3號,古坑鄉,雲林縣古坑鄉廣濟路,132.99,Unnamed: 4,鄉村區,乙種建築用地,1121111,土地4建物1車位0,171.18,4.1,10350000,60463,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLLKJIIGFAP18DB,荷翠,D棟5號
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,100.49,住,,,1120527.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.23,5.0,2.0,3.0,有,無,10700000.0,78544.0,,0.0,0.0,,RPQNMLSJOHIGFDP86CB,禾楓君悅-大學8期,B棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,120.24,住,,,1120527.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,149.92,5.0,2.0,3.0,有,無,11600000.0,77375.0,,0.0,0.0,,RPRNMLSJOHIGFDP96CB,禾楓君悅-大學8期,B棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,86.88,住,,,1120527.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,173.2,5.0,2.0,4.0,有,無,14200000.0,81986.0,,0.0,0.0,,RPSNMLSJOHIGFDP07CB,禾楓君悅-大學8期,A棟3A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,100.49,住,,,1120527.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.23,5.0,2.0,3.0,有,無,10700000.0,78544.0,,0.0,0.0,,RPTNMLSJOHIGFDP17CB,禾楓君悅-大學8期,B棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,92.31,住,,,1120527.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,184.17,5.0,2.0,4.0,有,無,15380000.0,83510.0,,0.0,0.0,,RPUNMLSJOHIGFDP27CB,禾楓君悅-大學8期,A棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土庫鎮,房地(土地+建物),雲林縣土庫鎮東南路,130.0,住,,,1120528.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,163.88,5.0,2.0,4.0,有,無,11500000.0,70173.0,,0.0,0.0,,RPVNMLSJOHIGFDP37CB,百富二期,E13棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物),雲林縣斗六市榴?八街,93.83,,工業區,丁種建築用地,1120521.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,163.02,4.0,2.0,4.0,有,無,10200000.0,62569.0,,0.0,0.0,,RPPNMLSJOHIGFAP09CB,幸福人生2022,D5棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市文生路,30.47,,鄉村區,乙種建築用地,1120604.0,土地1建物1車位1,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.95,3.0,2.0,2.0,有,無,7640000.0,62867.0,坡道平面,36.74,900000.0,,RPQNMLSJOHIGFAP56CB,聚星,V5棟3樓棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興西八路,27.47,住,,,1120522.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.9,2.0,1.0,2.0,有,無,7400000.0,64769.0,坡道平面,34.0,800000.0,,RPPNMLTJOHIGFDP86CB,仰雲安縵,B棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興西八路,27.47,住,,,1120522.0,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.9,2.0,1.0,2.0,有,無,7400000.0,64769.0,坡道平面,34.0,800000.0,,RPQNMLTJOHIGFDP96CB,仰雲安縵,B棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東二路,105.18,住,,,1120522.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,191.22,5.0,2.0,5.0,有,無,16180000.0,84615.0,,0.0,0.0,,RPRNMLTJOHIGFDP07CB,寬庭大學8,A棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東二路,99.49,住,,,1120525.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,211.15,4.0,2.0,5.0,有,無,16690000.0,79043.0,,0.0,0.0,,RPSNMLTJOHIGFDP17CB,寬庭大學9,A棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮永興南五街,120.22,住,,,1120609.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,185.48,5.0,2.0,4.0,有,無,13880000.0,74833.0,,0.0,0.0,,RPTNMLTJOHIGFDP27CB,寬庭大學8,B棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東二路,99.49,住,,,1120603.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,211.15,4.0,2.0,5.0,有,無,17050000.0,80748.0,,0.0,0.0,,RPUNMLTJOHIGFDP37CB,寬庭大學9,A棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東二路,161.44,住,,,1120603.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,215.33,4.0,2.0,5.0,有,無,16180000.0,75140.0,,0.0,0.0,,RPVNMLTJOHIGFDP47CB,寬庭大學9,A棟23號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮福德段54地號,17.29,,鄉村區,乙種建築用地,1120605.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,51.32,1.0,1.0,1.0,有,無,3788000.0,73811.0,,0.0,0.0,,RPWNMLTJOHIGFDP57CB,端木閣,B棟203號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路,30.16,住,,,1120606.0,土地2建物1車位0,五層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.49,3.0,1.0,2.0,有,無,5620000.0,68966.0,,0.0,0.0,,RPPNMLTJOHIGFBP76DB,一暘文心,6E號,1120801全部解約,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,154.03,,鄉村區,乙種建築用地,1120609.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,175.05,4.0,2.0,4.0,有,無,10700000.0,61125.0,,0.0,0.0,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLKKOHIGFAP48DB,荷翠二期,A棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路,102.33,住,,,1120610.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,204.6,4.0,2.0,5.0,有,無,12000000.0,58651.0,,0.0,0.0,,RPPNMLKKOHIGFCP58CB,寬庭恆美,A棟10號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮南昌西路,24.87,住,,,1120609.0,土地4建物1車位0,一層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.94,2.0,2.0,1.0,有,無,6600000.0,84681.0,,0.0,0.0,,RPPNMLMKOHIGFBP68CB,悅榕花園,F棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮南昌西路,24.87,住,,,1120606.0,土地4建物1車位1,九層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.51,2.0,2.0,1.0,有,無,7060000.0,75070.0,坡道平面,26.45,1200000.0,,RPQNMLMKOHIGFBP78CB,悅榕花園,G棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林內鄉,房地(土地+建物),雲林縣林內鄉民權路,73.15,,鄉村區,乙種建築用地,1120612.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,145.52,3.0,2.0,3.0,有,無,6600000.0,45355.0,,0.0,0.0,,RPQNMLMKOHIGFAP68CB,姮興光禾墅,A7棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興西二路,92.0,住,,,1120520.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,174.66,4.0,2.0,3.0,有,無,13800000.0,79011.0,,0.0,0.0,,RPPNMLMKOHIGFDP88CB,禾楓君悅-高鐵15期,A棟A7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,100.49,住,,,1120527.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,136.23,5.0,2.0,3.0,有,無,10700000.0,78544.0,,0.0,0.0,,RPQNMLMKOHIGFDP98CB,禾楓君悅-大學8期,B棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,115.06,住,,,1120528.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,162.68,4.0,2.0,4.0,有,無,12500000.0,76838.0,,0.0,0.0,,RPRNMLMKOHIGFDP09CB,禾楓君悅-大學8期,D棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,111.5,住,,,1120528.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,149.92,5.0,2.0,3.0,有,無,11380000.0,75907.0,,0.0,0.0,,RPSNMLMKOHIGFDP56CB,禾楓君悅-大學8期,B棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路,136.2,,一般農業區,甲種建築用地,1120610.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,171.09,5.0,2.0,4.0,有,無,9500000.0,55526.0,,0.0,0.0,,RPPNMLMKOHIGFAP68DB,天嵐映月,B棟13號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古坑鄉,房地(土地+建物),雲林縣古坑鄉中山路,118.93,,一般農業區,甲種建築用地,1120611.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,159.14,5.0,2.0,4.0,有,無,8650000.0,54355.0,,0.0,0.0,,RPQNMLMKOHIGFAP78DB,天嵐映月,B棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮芳草,103.3,,鄉村區,乙種建築用地,1120518.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,162.47,5.0,2.0,3.0,有,無,8620000.0,53056.0,,0.0,0.0,,RPQNMLMKOHIGFDP09DB,芳草好厝邊,A棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土庫鎮,房地(土地+建物),雲林縣土庫鎮中興路,134.65,住,,,1120603.0,土地1建物1車位0,全,3.0,透天厝,見使用執照,鋼筋混凝土造,,224.7,4.0,2.0,5.0,有,無,15300000.0,68091.0,,0.0,0.0,,RPRNMLMKOHIGFDP56DB,彩虹城NO.8,C棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市斗六六路與斗六五路交叉口,27.45,住,,,1120608.0,土地1建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.27,3.0,2.0,2.0,有,無,10750000.0,86333.0,坡道平面,22.81,1300000.0,,RPPNMLNKOHIGFAP78DB,青森綠川,F3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮墾地里20鄰建成路1128號14樓之9,14.14,住,,,1120610.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.18,2.0,2.0,2.0,有,無,9650000.0,75622.0,其他,26.44,1200000.0,,RPQNMLNKOHIGFDP09CB,真善美十五期四季朗朗,14樓棟A9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮墾地里20鄰建成路1128號14樓之10,14.14,住,,,1120527.0,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.18,2.0,2.0,2.0,有,無,9550000.0,75622.0,其他,26.44,1100000.0,,RPRNMLNKOHIGFDP56CB,真善美十五期四季朗朗,14樓棟A10號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮南昌西路,82.17,住,,,1120607.0,土地4建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,157.35,4.0,2.0,4.0,有,無,12880000.0,81856.0,,0.0,0.0,,RPPNMLNKOHIGFBP78CB,悅榕花園,C棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮六合街,29.75,住,,,1120610.0,土地3建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.02,2.0,2.0,2.0,有,無,6870000.0,80797.0,一樓平面,13.75,950000.0,,RPPNMLOKOHIGFBP88CB,六合馥寓,2F-B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市嘉東北路,24.67,,鄉村區,乙種建築用地,1120613.0,土地1建物1車位1,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.78,2.0,2.0,2.0,有,無,7270000.0,70150.0,坡道平面,22.4,1000000.0,,RPPNMLOKOHIGFAP78CB,沐韻II,4D號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮建成路,45.02,住,,,1120523.0,土地1建物1車位2,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,240.53,3.0,2.0,2.0,有,無,18900000.0,84715.0,坡道平面,46.94,2500000.0,,RPPNMLOKOHIGFDP09CB,宇荃．白金,A棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮建成路,45.02,住,,,1120523.0,土地1建物1車位2,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,240.53,3.0,2.0,2.0,有,無,19190000.0,86213.0,坡道平面,46.94,2500000.0,,RPQNMLOKOHIGFDP56CB,宇荃．白金,A棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮建成路,43.83,住,,,1120523.0,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.97,3.0,2.0,2.0,有,無,17430000.0,85305.0,坡道平面,23.47,1350000.0,,RPSNMLOKOHIGFDP76CB,宇荃．白金,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮虎興東九街門牌尚未申請,39.72,住,,,1120604.0,土地1建物1車位1,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,139.47,3.0,1.0,2.0,有,無,11000000.0,85612.0,坡道平面,25.0,1200000.0,,RPTNMLOKOHIGFDP86CB,臻品會館2期,1棟C號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土庫鎮,房地(土地+建物),雲林縣土庫鎮西平里信義街,119.29,,鄉村區,乙種建築用地,1120603.0,土地2建物1車位0,全,3.0,透天厝,住家用,見其他登記事項,,182.86,5.0,1.0,4.0,有,無,9000000.0,49218.0,,0.0,0.0,,RPPNMLOKOHIGFDP56DB,信義富築,B棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,168.48,,鄉村區,乙種建築用地,1120607.0,土地6建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,174.74,5.0,2.0,3.0,有,無,10540000.0,60318.0,,0.0,0.0,,RPPNMLOKOHIGFFP66CB,明成國泰,B棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,莿桐鄉,房地(土地+建物)+車位,雲林縣莿桐鄉西安路,54.66,住,,,1120531.0,土地2建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.15,3.0,2.0,2.0,有,無,6750000.0,51758.0,一樓平面,17.26,700000.0,,RPPNMLPKOHIGFAP88CB,富邑皇邸21號苑,3A棟03號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西螺鎮,房地(土地+建物),雲林縣西螺鎮大橋路,106.44,住,,,1120609.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,175.9,5.0,2.0,4.0,有,無,12000000.0,68221.0,,0.0,0.0,,RPPNMLPKOHIGFCP09CB,庭宇邸家,C棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西螺鎮,房地(土地+建物),雲林縣西螺鎮大橋路,124.44,住,,,1120607.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,183.35,5.0,2.0,4.0,有,無,12050000.0,65721.0,,0.0,0.0,,RPQNMLPKOHIGFCP56CB,庭宇邸家,B棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物),雲林縣斗六市榴?六街,82.24,,工業區,丁種建築用地,1120610.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,182.66,4.0,2.0,4.0,有,無,9800000.0,53652.0,,0.0,0.0,,RPPNMLQKOHIGFAP98CB,幸福人生2022,A2棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市文榮街,100.23,住,,,1120520.0,土地1建物1車位1,全,4.0,透天厝,住家用,鋼筋混凝土造,,249.36,5.0,3.0,5.0,有,無,25400000.0,101861.0,一樓平面,0.0,0.0,,RPRNMLQKOHIGFAP66DB,拓樸藝文,A1棟0號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北港鎮,房地(土地+建物),雲林縣北港鎮新學六路,22.61,住,,,1120529.0,土地1建物1車位0,八層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.09,2.0,1.0,1.0,有,無,4750000.0,59308.0,,0.0,0.0,,RPPNMLRKOHIGFEP86CB,禾楓君悅-北港綻,B棟B1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗六市,房地(土地+建物)+車位,雲林縣斗六市棒球十七街,57.34,住,,,1120609.0,土地1建物1車位2,九層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,227.9,3.0,2.0,2.0,有,無,20019000.0,104368.0,坡道平面,61.0,2600000.0,,RPRNMLRKOHIGFAP66CB,是大景,9B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮延平路二段,34.22,,特定農業區,甲種建築用地,1120605.0,土地1建物1車位0,三層,6.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,105.19,2.0,1.0,2.0,有,無,7600000.0,72250.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:含裝潢費；合建案建商與地主間之交易；,RPPNMLRKOHIGFBP56CB,他里霧,A棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,34.33,,特定農業區,甲種建築用地,1120616.0,土地1建物1車位0,二層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.2,3.0,1.0,2.0,有,無,7800000.0,72761.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:含裝潢費；合建案建商與地主間之交易；,RPRNMLRKOHIGFBP76CB,他里霧,A棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斗南鎮,房地(土地+建物),雲林縣斗南鎮延平路二段,34.22,,特定農業區,甲種建築用地,1120606.0,土地1建物1車位0,六層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.19,2.0,1.0,2.0,有,無,6750000.0,64170.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:合建案建商與地主間之交易；,RPSNMLRKOHIGFBP86CB,他里霧,A棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興東一街,118.0,住,,,1120528.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,162.68,4.0,2.0,4.0,有,無,12500000.0,76838.0,,0.0,0.0,,RPQNMLRKOHIGFDP86CB,禾楓君悅-大學8期,D棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
