鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,二崙鄉,房地(土地+建物),雲林縣二崙鄉中正路64巷9號旁,102.33,住,Unnamed: 5,Unnamed: 6,1120511,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,204.6,4,2,5,有,無,12200000,59629,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLMKNHIGFCP68CB,寬庭恆美,A棟15號,Unnamed: 30,來源資料夾,斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,16.38,商,1120813,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),163.82,1,12460000,86393,坡道平面,35.8,1400000,RPQNMLNKQHIGFAP98CB,品風華,4FE棟3號,古坑鄉,雲林縣古坑鄉廣濟路,132.99,Unnamed: 4,鄉村區,乙種建築用地,1121111,土地4建物1車位0,171.18,4.1,10350000,60463,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLLKJIIGFAP18DB,荷翠,D棟5號
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉興華村興化路門牌尚未申請,134.0,,鄉村區,乙種建築用地,1120217.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,186.8,4.0,2.0,4.0,有,無,9500000.0,50857.0,,0.0,0.0,,RPTNMLLLKHIGFFP09CB,福安三期,A棟6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六市,房地(土地+建物)+車位,雲林縣斗六市正義街與正義一街街口,23.72,住,,,1120213.0,土地1建物1車位1,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.49,3.0,2.0,2.0,有,無,10200000.0,81234.0,坡道平面,24.93,1300000.0,,RPPNMLLLKHIGFAP18CB,勝麗進行曲-禧悅區,B棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉埔子路,115.06,住,,,1120221.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,159.29,4.0,2.0,2.0,有,無,8300000.0,52106.0,,0.0,0.0,,RPPNMLMLKHIGFAP28CB,幸福天地六期,A棟13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉鹽園路,97.54,,鄉村區,乙種建築用地,1120211.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,180.0,4.0,2.0,4.0,有,無,8660000.0,48111.0,,0.0,0.0,,RPSNMLOLKHIGFCP98CB,青砌一期,A2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉鹽園路,100.08,,鄉村區,乙種建築用地,1120211.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,180.0,4.0,2.0,4.0,有,無,8800000.0,48889.0,,0.0,0.0,,RPTNMLOLKHIGFCP09CB,青砌一期,A3棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉鹽園路,97.52,,鄉村區,乙種建築用地,1120211.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,180.0,4.0,2.0,4.0,有,無,8660000.0,48111.0,,0.0,0.0,,RPUNMLOLKHIGFCP56CB,青砌一期,A6棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉鹽園路,100.07,,鄉村區,乙種建築用地,1120215.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,180.0,4.0,2.0,4.0,有,無,8760000.0,48667.0,,0.0,0.0,,RPVNMLOLKHIGFCP66CB,青砌一期,A5棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崙背鄉,房地(土地+建物),雲林縣崙背鄉鹽園路,109.12,,鄉村區,乙種建築用地,1120219.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,153.75,4.0,2.0,4.0,有,無,7900000.0,51382.0,,0.0,0.0,,RPWNMLOLKHIGFCP76CB,青砌一期,C6棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西螺鎮,房地(土地+建物),雲林縣西螺鎮東南路,110.05,住,,,1120211.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,183.41,5.0,2.0,4.0,有,無,11750000.0,64064.0,,0.0,0.0,,RPOOMLOLKHIGFCP68CB,鼎富三期,X45棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉圳寮段954-2地號等1筆,136.0,,鄉村區,乙種建築用地,1120223.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,156.27,4.0,2.0,4.0,有,無,7180000.0,45946.0,,0.0,0.0,,RPPNMLPLKHIGFFP09CB,圳寮寶莊,A棟2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
