鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中正區,房地(土地+建物),基隆市中正區信五路,21.15,商,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,Unnamed: 14,133.75,3,2,2.1,有,無,16990000,127028,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLPKNHIGFDC87DB,橙品32,C棟0號,Unnamed: 30,來源資料夾,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1120813,土地1建物1車位1,八層,22,住家用,116.04,1,1.1,10180000,97592,坡道平面,29.66,1750000,RPPNMLSLQHIGFDC48CB,夢悅城,F棟08號,基隆市中正區新豐街,26.07,住,1121111,七層,9,華廈(10層含以下有電梯),136.91,9900000,89473,41.35,1350000,RPTNMLNLJIIGFDC77CB,海豔,F1棟7號
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,住,,,1120304.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,218.61,3.0,2.0,3.0,有,無,13380000.0,65151.0,坡道平面,34.73,1400000.0,,RPRNMLSJLHIGFDC97CB,田園調布2-B2區,B棟B5-5~7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1120306.0,土地1建物1車位1,八層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.26,3.0,2.0,2.0,有,無,13380000.0,89573.0,坡道平面,26.98,1800000.0,,RPPNMLTJLHIGFDC87CB,萬隆青青二期,A5棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120211.0,土地1建物1車位1,五層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.62,2.0,2.0,1.0,有,無,9300000.0,81917.0,坡道平面,41.35,1250000.0,,RPPNMLKKLHIGFDC07CB,海豔,C5棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.75,商,,,1120217.0,土地1建物1車位2,七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.73,3.0,1.0,2.0,有,無,13760000.0,88971.0,坡道平面,44.23,2950000.0,,RPPNMLLKLHIGFDC17CB,夢悅城,A棟05號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.22,商,,,1120218.0,土地1建物1車位1,十五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.84,3.0,1.0,2.0,有,無,13180000.0,97563.0,坡道平面,29.66,1650000.0,,RPQNMLLKLHIGFDC27CB,夢悅城,D棟01號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.32,商,,,1120226.0,土地1建物1車位1,七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.38,2.0,1.0,1.0,有,無,9560000.0,96713.0,坡道平面,29.66,1850000.0,,RPRNMLLKLHIGFDC37CB,夢悅城,G棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120218.0,土地1建物1車位1,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.08,2.0,1.0,1.0,有,無,9990000.0,101147.0,坡道平面,29.66,1350000.0,,RPSNMLLKLHIGFDC47CB,夢悅城,D棟02號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,19.01,商,,,1120217.0,土地1建物1車位1,六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.32,3.0,1.0,2.0,有,無,12570000.0,87902.0,坡道平面,29.66,1700000.0,,RPTNMLLKLHIGFDC57CB,夢悅城,G棟10號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120215.0,土地1建物1車位1,十一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.8,2.0,1.0,1.0,有,無,10000000.0,99248.0,坡道平面,29.66,1550000.0,,RPUNMLLKLHIGFDC67CB,夢悅城,D棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.91,商,,,1120305.0,土地1建物1車位1,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.89,3.0,1.0,2.0,有,無,12000000.0,92987.0,坡道平面,29.66,1750000.0,,RPVNMLLKLHIGFDC77CB,夢悅城,G棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
