鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,中正區,房地(土地+建物),基隆市中正區信五路,21.15,商,Unnamed: 5,Unnamed: 6,1120513,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,Unnamed: 14,133.75,3,2,2.1,有,無,16990000,127028,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLPKNHIGFDC87DB,橙品32,C棟0號,Unnamed: 30,來源資料夾,中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,1120813,土地1建物1車位1,八層,22,住家用,116.04,1,1.1,10180000,97592,坡道平面,29.66,1750000,RPPNMLSLQHIGFDC48CB,夢悅城,F棟08號,基隆市中正區新豐街,26.07,住,1121111,七層,9,華廈(10層含以下有電梯),136.91,9900000,89473,41.35,1350000,RPTNMLNLJIIGFDC77CB,海豔,F1棟7號
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120401.0,土地1建物1車位1,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.82,2.0,2.0,1.0,有,無,9300000.0,83446.0,坡道平面,41.35,1250000.0,,RPPNMLKMMHIGFDC37CB,海豔,B5棟5號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120401.0,土地1建物1車位1,九層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.62,2.0,2.0,1.0,有,無,9520000.0,84156.0,坡道平面,41.35,1250000.0,,RPQNMLKMMHIGFDC47CB,海豔,C5棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,住,,,1120426.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,219.16,3.0,2.0,3.0,有,無,13580000.0,65499.0,坡道平面,34.73,1500000.0,,RPPNMLPJNHIGFDC67CB,田園調布2-B2區,B棟B2-5~7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,住,,,1120429.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,218.61,3.0,2.0,3.0,有,無,13650000.0,66076.0,坡道平面,34.73,1500000.0,,RPQNMLPJNHIGFDC77CB,田園調布2-B2區,D棟D1-5~7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,61.42,住,,,1120429.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,219.16,3.0,2.0,3.0,有,無,13350000.0,65879.0,升降平面,34.73,1200000.0,,RPRNMLPJNHIGFDC87CB,田園調布2-B2區,D棟D2-5~7F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信義區,房地(土地+建物)+車位,基隆市信義區東峰街48號對面,54.72,住,,,1120430.0,土地1建物1車位1,一層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,198.23,3.0,2.0,3.0,有,無,13700000.0,74618.0,坡道平面,34.73,1500000.0,,RPSNMLPJNHIGFDC97CB,田園調布2-B2區,B棟B5-1+2F號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,住,,,1120408.0,土地1建物1車位1,八層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.92,3.0,2.0,2.0,有,無,11500000.0,84598.0,坡道平面,41.35,1300000.0,,RPTNMLPJNHIGFDC08CB,海豔,E4棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120409.0,土地1建物1車位1,八層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.11,2.0,2.0,1.0,有,無,10050000.0,92339.0,坡道平面,41.35,1300000.0,,RPUNMLPJNHIGFDC18CB,海豔,F1棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120410.0,土地1建物1車位1,七層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.82,2.0,2.0,1.0,有,無,9650000.0,87074.0,坡道平面,41.35,1250000.0,,RPVNMLPJNHIGFDC28CB,海豔,B1棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.61,商,,,1120415.0,土地1建物1車位1,二十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.52,3.0,1.0,2.0,有,無,13920000.0,101522.0,坡道平面,29.66,1650000.0,,RPPNMLTJNHIGFDC08CB,夢悅城,D棟05號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.72,商,,,1120415.0,土地1建物1車位0,六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.31,2.0,1.0,1.0,有,無,7700000.0,93549.0,,0.0,0.0,,RPQNMLTJNHIGFDC18CB,夢悅城,F棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120422.0,土地1建物1車位1,十二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.07,2.0,1.0,1.0,有,無,10420000.0,99757.0,坡道平面,29.66,1800000.0,,RPRNMLTJNHIGFDC28CB,夢悅城,F棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,15.86,商,,,1120422.0,土地1建物1車位1,七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.64,3.0,1.0,2.0,有,無,12270000.0,102156.0,坡道平面,29.66,1750000.0,,RPSNMLTJNHIGFDC38CB,夢悅城,G棟01號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.24,商,,,1120415.0,土地1建物1車位0,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.41,2.0,1.0,1.0,有,無,8480000.0,98137.0,,0.0,0.0,,RPTNMLTJNHIGFDC48CB,夢悅城,C棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.1,商,,,1120418.0,土地1建物1車位1,十二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.88,4.0,1.0,2.0,有,無,13800000.0,88908.0,坡道平面,29.66,1600000.0,,RPUNMLTJNHIGFDC58CB,夢悅城,A棟03號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.5,商,,,1120415.0,土地1建物1車位0,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.14,2.0,1.0,1.0,有,無,8500000.0,96437.0,,0.0,0.0,,RPVNMLTJNHIGFDC68CB,夢悅城,E棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.61,商,,,1120423.0,土地1建物1車位1,十一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.65,3.0,1.0,2.0,有,無,12950000.0,90917.0,坡道平面,29.66,1950000.0,,RPWNMLTJNHIGFDC78CB,夢悅城,G棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120423.0,土地1建物1車位1,九層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.03,2.0,1.0,1.0,有,無,10700000.0,107181.0,坡道平面,29.66,1550000.0,,RPXNMLTJNHIGFDC88CB,夢悅城,E棟02號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,13.37,商,,,1120423.0,土地1建物1車位0,六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.6,2.0,1.0,1.0,有,無,8320000.0,96074.0,,0.0,0.0,,RPOOMLTJNHIGFDC08CB,夢悅城,D棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.32,商,,,1120415.0,土地1建物1車位1,十一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.38,2.0,1.0,1.0,有,無,9360000.0,97968.0,坡道平面,29.66,1550000.0,,RPPOMLTJNHIGFDC18CB,夢悅城,G棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.1,商,,,1120415.0,土地1建物1車位2,十一層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.54,4.0,1.0,2.0,有,無,15580000.0,89127.0,坡道平面,59.32,3350000.0,,RPQOMLTJNHIGFDC28CB,夢悅城,A棟03號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,商,,,1120416.0,土地1建物1車位1,十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.75,3.0,1.0,2.0,有,無,11950000.0,98501.0,坡道平面,29.66,1500000.0,,RPROMLTJNHIGFDC38CB,夢悅城,C棟01號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.22,商,,,1120415.0,土地1建物1車位1,五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.86,3.0,1.0,2.0,有,無,12600000.0,93909.0,坡道平面,29.66,1500000.0,,RPSOMLTJNHIGFDC48CB,夢悅城,D棟01號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.58,商,,,1120416.0,土地1建物1車位0,十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.09,2.0,1.0,1.0,有,無,7810000.0,95139.0,,0.0,0.0,,RPTOMLTJNHIGFDC58CB,夢悅城,C棟07號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120416.0,土地1建物1車位1,七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.07,2.0,1.0,1.0,有,無,10000000.0,97211.0,坡道平面,29.66,1600000.0,,RPUOMLTJNHIGFDC68CB,夢悅城,F棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.85,商,,,1120423.0,土地1建物1車位1,六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.24,2.0,1.0,1.0,有,無,9900000.0,96913.0,坡道平面,29.66,1800000.0,,RPVOMLTJNHIGFDC78CB,夢悅城,B棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120422.0,土地1建物1車位1,六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.07,2.0,1.0,1.0,有,無,10180000.0,96980.0,坡道平面,29.66,1800000.0,,RPWOMLTJNHIGFDC88CB,夢悅城,F棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,住,,,1120415.0,土地1建物1車位1,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.56,3.0,2.0,2.0,有,無,11800000.0,87347.0,坡道平面,41.35,1300000.0,,RPPNMLKKNHIGFDC27CB,海豔,D4棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120416.0,土地1建物1車位2,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.17,2.0,2.0,1.0,有,無,10550000.0,83446.0,坡道平面,82.7,2500000.0,車位總價中無法拆分個別車位價格,RPQNMLKKNHIGFDC37CB,海豔,B1棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,21.11,住,,,1120416.0,土地1建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.07,1.0,2.0,1.0,有,無,7680000.0,82733.0,坡道平面,41.35,1250000.0,,RPRNMLKKNHIGFDC47CB,海豔,E3棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120419.0,土地1建物1車位1,十二層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.82,2.0,2.0,1.0,有,無,9700000.0,86555.0,坡道平面,41.35,1350000.0,,RPPNMLLKNHIGFDC37CB,海豔,B5棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120422.0,土地1建物1車位1,七層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.29,2.0,2.0,1.0,有,無,9320000.0,83073.0,坡道平面,41.35,1350000.0,,RPQNMLLKNHIGFDC47CB,海豔,E1棟7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,住,,,1120422.0,土地1建物1車位1,八層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.44,3.0,2.0,2.0,有,無,12200000.0,91527.0,坡道平面,41.35,1300000.0,,RPRNMLLKNHIGFDC57CB,海豔,F2棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,21.11,住,,,1120423.0,土地1建物1車位1,九層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.78,1.0,2.0,1.0,有,無,7850000.0,84277.0,坡道平面,38.06,1300000.0,,RPSNMLLKNHIGFDC67CB,海豔,E3棟9號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,26.07,住,,,1120429.0,土地1建物1車位1,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.82,2.0,2.0,1.0,有,無,9400000.0,84482.0,坡道平面,41.35,1250000.0,,RPTNMLLKNHIGFDC77CB,海豔,B5棟8號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.58,商,,,1120419.0,土地1建物1車位0,六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.16,2.0,1.0,1.0,有,無,7800000.0,94937.0,,0.0,0.0,,RPPNMLMKNHIGFDC47CB,夢悅城,C棟07號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中正區,房地(土地+建物)+車位,基隆市中正區中正路,40.77,住,,,1120316.0,土地1建物1車位1,三層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,191.67,3.0,2.0,2.0,有,無,13260000.0,77481.0,坡道平面,37.31,1300000.0,,RPPNMLSKNHIGFDC28EB,御景硯,A1棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.61,商,,,1120429.0,土地1建物1車位1,十三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.81,3.0,1.0,2.0,有,無,12620000.0,90962.0,坡道平面,29.66,1600000.0,,RPPNMLLLNHIGFDC47CB,夢悅城,A棟05號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.22,商,,,1120427.0,土地1建物1車位1,十二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.0,3.0,1.0,2.0,有,無,12500000.0,90840.0,坡道平面,29.66,1750000.0,,RPQNMLLLNHIGFDC57CB,夢悅城,F棟05號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.39,商,,,1120427.0,土地1建物1車位1,七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.98,3.0,1.0,2.0,有,無,12000000.0,96877.0,坡道平面,29.66,1700000.0,,RPRNMLLLNHIGFDC67CB,夢悅城,C棟01號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120430.0,土地1建物1車位1,五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.8,2.0,1.0,1.0,有,無,9900000.0,96899.0,坡道平面,29.66,1650000.0,,RPSNMLLLNHIGFDC77CB,夢悅城,E棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.48,商,,,1120429.0,土地1建物1車位1,三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.34,3.0,1.0,2.0,有,無,12100000.0,86593.0,坡道平面,29.66,1650000.0,,RPTNMLLLNHIGFDC87CB,夢悅城,A棟05號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120430.0,土地1建物1車位1,四層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.12,2.0,1.0,1.0,有,無,9880000.0,98058.0,坡道平面,29.66,1500000.0,,RPUNMLLLNHIGFDC97CB,夢悅城,D棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,16.91,商,,,1120429.0,土地1建物1車位1,十三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.06,3.0,1.0,2.0,有,無,11880000.0,94881.0,坡道平面,29.66,1500000.0,,RPVNMLLLNHIGFDC08CB,夢悅城,G棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.72,商,,,1120430.0,土地1建物1車位0,五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.57,2.0,1.0,1.0,有,無,7750000.0,93860.0,,0.0,0.0,,RPWNMLLLNHIGFDC18CB,夢悅城,A棟06號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.32,商,,,1120426.0,土地1建物1車位0,九層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,79.72,2.0,1.0,1.0,有,無,7760000.0,97341.0,,0.0,0.0,,RPXNMLLLNHIGFDC28CB,夢悅城,G棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.58,商,,,1120427.0,土地1建物1車位1,七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.82,2.0,1.0,1.0,有,無,9250000.0,94328.0,坡道平面,29.66,1500000.0,,RPOOMLLLNHIGFDC47CB,夢悅城,C棟07號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.24,商,,,1120427.0,土地1建物1車位1,五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.07,2.0,1.0,1.0,有,無,10160000.0,96748.0,坡道平面,29.66,1800000.0,,RPPOMLLLNHIGFDC57CB,夢悅城,F棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,商,,,1120506.0,土地1建物1車位1,三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.19,2.0,1.0,1.0,有,無,9950000.0,95343.0,坡道平面,29.66,1700000.0,,RPPNMLPLNHIGFDC87CB,夢悅城,F棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,商,,,1120510.0,土地1建物1車位1,二層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.24,2.0,1.0,1.0,有,無,10610000.0,103488.0,坡道平面,29.66,1650000.0,,RPQNMLPLNHIGFDC97CB,夢悅城,F棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.22,商,,,1120506.0,土地1建物1車位1,五層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.04,3.0,1.0,2.0,有,無,12300000.0,89120.0,坡道平面,29.66,1750000.0,,RPRNMLPLNHIGFDC08CB,夢悅城,C棟05號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.37,商,,,1120507.0,土地1建物1車位1,八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.26,2.0,1.0,1.0,有,無,10130000.0,96767.0,坡道平面,29.66,1750000.0,,RPSNMLPLNHIGFDC18CB,夢悅城,D棟08號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,13.11,商,,,1120507.0,土地1建物1車位1,十三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.95,2.0,1.0,1.0,有,無,10080000.0,100012.0,坡道平面,29.66,1550000.0,,RPTNMLPLNHIGFDC28CB,夢悅城,D棟09號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
