鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民生路31號旁,14.91,商,Unnamed: 5,Unnamed: 6,1120515,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,Unnamed: 14,139.47,3,1,2,有,無,12850000,100475,坡道平面,28.0,1650000,Unnamed: 26,RPQNMLTKNHIGFAU17CB,三銳海景,A棟2號,Unnamed: 30,來源資料夾,吉安鄉,花蓮縣吉安鄉東海七街,26.56,住,1120811,十層,144.94,2.1,11030000,80123,24.75,1400000,RPSNMLLKQHIGFAU86CB,日出好學,B棟10號,房地(土地+建物),20.91,1121111,土地1建物1車位0,四層,94.64,2.2,7120000,75232,Unnamed: 23,0.0,0,RPPNMLNKJIIGFAU78CB,E棟4號
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市建德街,57.5,住,,,1120430.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,177.31,3.0,2.0,2.0,有,無,14200000.0,81715.0,一樓平面,18.22,1200000.0,交易總價含下列非屬預售屋價格之費用:含傢俱設備費；,RPTNMLNLNHIGFAU96CB,宜和四季,1棟A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市延平街68巷10號旁,15.46,住,,,1120427.0,土地5建物1車位0,九層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,67.15,2.0,2.0,1.0,有,無,6500000.0,96798.0,,0.0,0.0,,RPQNMLOLNHIGFAU76CB,巨禾無二 THE ONE,1棟C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市延平街68巷10號旁,16.45,住,,,1120430.0,土地5建物1車位0,九層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,71.44,2.0,2.0,1.0,有,無,7150000.0,100084.0,,0.0,0.0,,RPRNMLOLNHIGFAU86CB,巨禾無二 THE ONE,1棟A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市延平街68巷10號旁,21.25,住,,,1120508.0,土地5建物1車位1,六層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,102.23,3.0,2.0,2.0,有,無,9700000.0,96414.0,坡道機械,9.92,800000.0,,RPSNMLOLNHIGFAU96CB,巨禾無二 THE ONE,1棟A號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市中興路43巷,15.65,商,,,1120430.0,土地2建物1車位0,二層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.69,2.0,2.0,1.0,有,無,7050000.0,70719.0,,0.0,0.0,,RPRNMLPLNHIGFAU07DB,美崙山海灣,2棟C號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉廣豐一街,100.03,,特定農業區,甲種建築用地,1120507.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,171.0,4.0,2.0,5.0,有,無,13900000.0,81287.0,,0.0,0.0,,RPQNMLKMNHIGFAU09CB,恆大稻園,1棟D號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里五街,28.01,住,,,1120519.0,土地1建物1車位0,六層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.15,2.0,2.0,2.0,有,無,7500000.0,81389.0,,0.0,0.0,,RPTNMLTKNHIGFAU47CB,吉美登峰1,D棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街,13.75,住,,,1120518.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,39.06,1.0,1.0,1.0,有,無,3420000.0,87558.0,,0.0,0.0,,RPVNMLTKNHIGFAU67CB,文雲硯,1棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瑞穗鄉,房地(土地+建物),花蓮縣瑞穗鄉新生路,92.0,住,,,1120517.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,172.82,5.0,2.0,5.0,有,無,9100000.0,52656.0,,0.0,0.0,,RPPNMLTKNHIGFCU27CB,晶匯首邸,A棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,25.72,住,,,1120519.0,土地1建物1車位0,八層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.37,2.0,2.0,1.0,有,無,7020000.0,75185.0,,0.0,0.0,,RPSNMLMLNHIGFAU76CB,欣悅敦峰,C棟01號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉嘉里三街,23.85,住,,,1120516.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.93,2.0,2.0,2.0,有,無,6000000.0,69555.0,一樓平面,9.92,1200000.0,,RPTNMLMLNHIGFAU86CB,臻新城裔,4A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉新興一路,35.36,住,,,1120517.0,土地1建物1車位1,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.47,2.0,1.0,2.0,有,無,5100000.0,77963.0,其他,13.75,600000.0,,RPPNMLOLNHIGFAU76DB,太魯閣讚2.0,D棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市介林五街,13.75,住,,,1120518.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,39.06,1.0,1.0,1.0,有,無,3420000.0,87558.0,,0.0,0.0,,RPQNMLPLNHIGFAU86CB,文雲硯,4B棟4B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市林森路439巷,25.34,住,,,1120520.0,土地1建物1車位1,二層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.87,2.0,2.0,2.0,有,無,8200000.0,80887.0,坡道平面,20.33,1200000.0,,RPPNMLQLNHIGFAU86CB,木沐川,1棟2A號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉太昌路,24.29,,鄉村區,乙種建築用地,1120521.0,土地1建物1車位1,七層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.62,1.0,1.0,1.0,有,無,7170000.0,75725.0,坡道平面,33.82,900000.0,,RPQNMLQLNHIGFAU96CB,芳澤居,A棟7號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,36.73,住,,,1120516.0,土地1建物1車位1,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.54,3.0,2.0,2.0,有,無,10800000.0,79477.0,坡道平面,26.75,1200000.0,,RPPNMLRLNHIGFAU96CB,吉美登峰1,B棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,20.36,商,,,1120512.0,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.58,4.0,2.0,2.0,有,無,15000000.0,92046.0,坡道平面,25.0,1600000.0,,RPPNMLSLNHIGFAU07CB,三上御景,D棟1號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,28.01,住,,,1120527.0,土地1建物1車位1,五層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.9,2.0,2.0,2.0,有,無,8550000.0,79761.0,坡道平面,26.75,1200000.0,,RPPNMLTLNHIGFAU17CB,吉美登峰1,D棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,28.93,住,,,1120524.0,土地1建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.93,0.0,1.0,1.0,有,無,4700000.0,79756.0,,0.0,0.0,,RPQNMLTLNHIGFAU27CB,太魯閣讚2.0,D棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉中原路一段,33.0,住,,,1120511.0,土地2建物1車位1,五層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,155.01,3.0,2.0,2.0,有,無,10800000.0,73263.0,坡道平面,25.34,1300000.0,,RPPNMLKMNHIGFAU98CB,馥鈺,F棟5樓號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,34.09,住,,,1120527.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.54,2.0,1.0,2.0,有,無,4500000.0,62902.0,,0.0,0.0,,RPPNMLKMNHIGFAU09DB,太魯閣讚2.0,C棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市林森路439巷,24.36,住,,,1120530.0,土地1建物1車位1,六層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.38,2.0,2.0,2.0,有,無,8860000.0,89021.0,一樓平面,6.58,1400000.0,,RPQNMLLMNHIGFAU56CB,木沐川,1棟6B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市林森路439巷,31.19,住,,,1120530.0,土地1建物1車位1,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.11,3.0,2.0,2.0,有,無,10280000.0,84147.0,一樓平面,6.58,1400000.0,,RPRNMLLMNHIGFAU66CB,木沐川,1棟3D號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市富裕十街,15.49,住,,,1120522.0,土地1建物1車位0,五層,8.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,52.2,1.0,1.0,1.0,有,無,4600000.0,88123.0,,0.0,0.0,,RPSNMLLMNHIGFAU76CB,典藏拉菲爾,1棟5C號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,25.34,住,,,1120522.0,土地1建物1車位0,十層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.91,2.0,2.0,1.0,有,無,7780000.0,84648.0,,0.0,0.0,,RPQNMLLJOHIGFAU98CB,欣悅敦峰,C棟03號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,35.36,住,,,1120525.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.35,1.0,1.0,2.0,有,無,4500000.0,63069.0,,0.0,0.0,,RPPNMLLJOHIGFAU98DB,太魯閣讚2.0,D棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,35.36,住,,,1120525.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.67,1.0,1.0,2.0,有,無,4500000.0,62788.0,,0.0,0.0,,RPQNMLLJOHIGFAU09DB,太魯閣讚2.0,D棟6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,37.27,住,,,1120602.0,土地1建物1車位1,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.35,3.0,2.0,2.0,有,無,10800000.0,78303.0,坡道平面,26.75,1200000.0,,RPPNMLMJOHIGFAU98CB,吉美登峰1,A棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里三街,23.85,住,,,1120524.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.01,2.0,2.0,2.0,有,無,4700000.0,68106.0,,0.0,0.0,,RPPNMLQJOHIGFAU76CB,臻新城裔,2D號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣花蓮市中原路707號5樓之2,35.69,住,,,1120530.0,土地4建物1車位1,五層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.78,2.0,2.0,2.0,有,無,11500000.0,76133.0,坡道平面,16.49,1200000.0,,RPPNMLRJOHIGFAU86CB,中原特區,1棟5F-E2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉昌隆三街,32.73,住,,,1120605.0,土地1建物1車位1,一層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.28,3.0,2.0,2.0,有,無,12250000.0,93021.0,坡道平面,41.49,1200000.0,,RPPNMLSJOHIGFAU96CB,欣悅敦峰,B棟02號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉新興一路,34.09,住,,,1120604.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.72,1.0,1.0,2.0,有,無,5100000.0,77626.0,其他,13.75,600000.0,,RPQNMLSJOHIGFAU17DB,太魯閣讚2.0,C棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉新興一路,34.09,住,,,1120604.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.54,2.0,1.0,2.0,有,無,5100000.0,77868.0,其他,13.75,600000.0,,RPRNMLSJOHIGFAU27DB,太魯閣讚2.0,C棟8號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉新興一路,34.09,住,,,1120603.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.35,1.0,1.0,2.0,有,無,4800000.0,67274.0,其他,13.75,0.0,註:車位不計價金。,RPPNMLTJOHIGFAU17DB,太魯閣讚2.0,C棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,27.89,住,,,1120603.0,土地1建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,58.93,0.0,1.0,1.0,有,無,4800000.0,81453.0,,0.0,0.0,,RPRNMLTJOHIGFAU37DB,太魯閣讚2.0,C棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物),花蓮縣吉安鄉中正路2段,45.33,,特定農業區,甲種建築用地,1120601.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,129.6,3.0,2.0,4.0,有,無,9500000.0,73302.0,,0.0,0.0,,RPSNMLTJOHIGFAU47DB,以樂家園8,B棟4號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉新興一路,34.09,住,,,1120603.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.35,1.0,1.0,2.0,有,無,5100000.0,78125.0,其他,13.75,600000.0,,RPUNMLTJOHIGFAU67DB,太魯閣讚2.0,C棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,35.36,住,,,1120603.0,土地1建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.2,1.0,1.0,2.0,有,無,4800000.0,67416.0,,0.0,0.0,,RPVNMLTJOHIGFAU77DB,太魯閣讚2.0,D棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市中華路506號旁,19.98,住,,,1120602.0,土地1建物1車位0,二層,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,80.74,2.0,2.0,2.0,有,無,6680000.0,82735.0,,0.0,0.0,,RPPNMLLKOHIGFAU98CB,家福春天,B棟D號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,28.01,住,,,1120611.0,土地1建物1車位1,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.9,2.0,2.0,2.0,有,無,8500000.0,79219.0,坡道平面,26.75,1200000.0,,RPPNMLNKOHIGFAU56CB,吉美登峰1,D棟3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市榮正街,31.25,住,,,1120612.0,土地1建物1車位1,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.71,2.0,2.0,2.0,有,無,15320000.0,105995.0,一樓平面,26.44,1300000.0,,RPPNMLOKOHIGFAU66CB,國風雲鼎,A棟13樓號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,36.03,住,,,1120518.0,土地1建物1車位1,七層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,147.4,3.0,2.0,2.0,有,無,10730000.0,76867.0,坡道平面,24.72,1300000.0,,RPPNMLQKOHIGFAU86CB,天悅,B棟B3號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,36.9,住,,,1120527.0,土地1建物1車位2,十層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,175.07,3.0,2.0,2.0,有,無,12850000.0,83181.0,坡道平面,49.44,2400000.0,,RPSNMLQKOHIGFAU17CB,天悅,B棟B6號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,24.13,住,,,1120527.0,土地1建物1車位1,六層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,106.87,2.0,1.0,1.0,有,無,7490000.0,75350.0,坡道平面,24.72,1300000.0,,RPTNMLQKOHIGFAU27CB,天悅,B棟B5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,28.71,住,,,1120520.0,土地1建物1車位1,七層,10.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,122.46,2.0,2.0,2.0,有,無,8700000.0,76734.0,坡道平面,24.72,1200000.0,,RPUNMLQKOHIGFAU37CB,天悅,A棟A2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉新興一路,35.36,住,,,1120614.0,土地1建物1車位1,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.72,1.0,1.0,2.0,有,無,5150000.0,78489.0,其他,13.75,600000.0,,RPQNMLQKOHIGFAU07DB,太魯閣讚2.0,D棟2號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉中原路一段,33.0,住,,,1120602.0,土地2建物1車位1,四層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,155.01,3.0,2.0,2.0,有,無,10690000.0,72415.0,坡道平面,25.34,1300000.0,,RPPNMLRKOHIGFAU96CB,馥鈺,F棟4樓號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路與國民九街交叉路口,13.94,商,,,1120520.0,土地1建物1車位0,二層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.85,3.0,2.0,2.0,有,無,10690000.0,87731.0,,0.0,0.0,,RPPNMLSKOHIGFAU07CB,超綻,D棟6-02F號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,35.36,住,,,1120618.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.47,2.0,1.0,2.0,有,無,4800000.0,67161.0,,0.0,0.0,,RPRNMLTKOHIGFAU47DB,太魯閣讚2.0,D棟9號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市豐村,31.48,住,,,1120603.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.38,2.0,2.0,2.0,有,無,6480000.0,73320.0,,0.0,0.0,,RPPNMLKLOHIGFAU98CB,冠軍悅山,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市豐村,31.48,住,,,1120604.0,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.38,2.0,2.0,2.0,有,無,6430000.0,72754.0,,0.0,0.0,,RPQNMLLLOHIGFAU56CB,冠軍悅山,A棟5號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花蓮市,房地(土地+建物),花蓮縣花蓮市中華路506號旁,20.47,住,,,1120616.0,土地1建物1車位0,九層,9.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,82.72,2.0,2.0,1.0,有,無,7150000.0,86436.0,,0.0,0.0,,RPPNMLNLOHIGFAU66CB,家福春天,B棟B號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.91,住,,,1120619.0,土地1建物1車位2,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.09,2.0,2.0,2.0,有,無,10380000.0,80093.0,坡道平面,62.45,2800000.0,,RPQNMLNLOHIGFAU76CB,日出好學,A棟12號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,26.56,住,,,1120619.0,土地1建物1車位2,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.64,3.0,2.0,2.0,有,無,12630000.0,80123.0,坡道平面,62.45,3000000.0,合約書移轉面積為26.55平方公尺,RPRNMLNLOHIGFAU86CB,日出好學,B棟12號,,112_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
