鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,五結鄉,房地(土地+建物),宜蘭縣五結鄉傳藝路一段56巷,82.75,Unnamed: 4,特定農業區,甲種建築用地,1120513,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,139.36,4,2,5,有,無,9080000,65155,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLQKNHIGFAG97CB,鳳凰愛買第7期,Unnamed: 29,Unnamed: 30,來源資料夾,冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉鹿埔路524巷,51.13,1120813,土地1建物1車位1,四層,華廈(10層含以下有電梯),131.93,2.1,7450000,56469,一樓平面,RPRNMLOKQHIGFAG28CB,上好居
員山鄉,房地(土地+建物),宜蘭縣員山鄉永金二路,97.33,,特定農業區,甲種建築用地,1111119.0,土地3建物1車位0,二層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.94,3.0,2.0,2.0,有,無,6280000.0,56101.0,,0.0,0.0,,RPRNMLLLJIHGFBG47CB,香榭麗舍NO.6,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市自強新路60巷,18.44,住,,,1111123.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,51.9,1.0,1.0,1.0,有,無,4700000.0,90559.0,,0.0,0.0,,RPPNMLOLJIHGFBG57CB,園周綠第八期,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉永興路二段,50.29,,特定農業區,甲種建築用地,1111122.0,土地1建物1車位1,二層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.72,3.0,2.0,2.0,有,無,7000000.0,57033.0,一樓平面,13.75,500000.0,,RPPNMLOLJIHGFAG47CB,富登新7,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段292巷,74.82,,鄉村區,乙種建築用地,1111120.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,147.5,4.0,2.0,3.0,有,無,7100000.0,48136.0,,0.0,0.0,,RPQNMLOLJIHGFAG67DB,元邦景心,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段292巷,74.82,,鄉村區,乙種建築用地,1111117.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,151.75,4.0,2.0,4.0,有,無,7380000.0,48633.0,,0.0,0.0,,RPRNMLOLJIHGFAG77DB,元邦景心,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮城東路70號對面,49.76,住,,,1111112.0,土地4建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.95,2.0,2.0,1.0,有,無,5100000.0,48170.0,一樓平面,17.53,600000.0,,RPUNMLQLJIHGFAG18CB,一品院-電梯華廈,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮城東路70號對面,49.76,住,,,1111112.0,土地4建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.42,2.0,2.0,1.0,有,無,4550000.0,48705.0,,0.0,0.0,,RPVNMLQLJIHGFAG28CB,一品院-電梯華廈,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉三星路六段,89.35,住,,,1111126.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,156.42,4.0,2.0,4.0,有,無,8300000.0,53062.0,,0.0,0.0,,RPPNMLSLJIHGFAG87CB,勁賀,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮愛國路,19.19,住,,,1111116.0,土地2建物1車位0,八層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.52,2.0,1.0,1.0,有,無,6980000.0,101868.0,,0.0,0.0,,RPTNMLSLJIHGFAG28CB,曜昇日日昇,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮愛國路,23.66,住,,,1111124.0,土地2建物1車位1,二層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.51,2.0,2.0,1.0,有,無,9380000.0,92115.0,坡道平面,35.05,1600000.0,,RPUNMLSLJIHGFAG38CB,曜昇日日昇,,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
