鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,五結鄉,房地(土地+建物),宜蘭縣五結鄉傳藝路一段56巷,82.75,Unnamed: 4,特定農業區,甲種建築用地,1120513,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,Unnamed: 14,139.36,4,2,5,有,無,9080000,65155,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLQKNHIGFAG97CB,鳳凰愛買第7期,Unnamed: 29,Unnamed: 30,來源資料夾,冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉鹿埔路524巷,51.13,1120813,土地1建物1車位1,四層,華廈(10層含以下有電梯),131.93,2.1,7450000,56469,一樓平面,RPRNMLOKQHIGFAG28CB,上好居
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉義興街,25.71,住,,,1120311.0,土地1建物1車位1,七層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.42,2.0,2.0,1.0,有,無,7750000.0,78599.0,坡道平面,29.45,1150000.0,,RPRNMLSLLHIGFBG38CB,礁曦,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,29.53,住,,,1120326.0,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.67,3.0,2.0,2.0,有,無,12740000.0,101970.0,坡道平面,27.5,1200000.0,,RPSNMLSLLHIGFBG48CB,嵐丰,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮和平路旁,25.7,商,,,1120325.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.17,2.0,2.0,1.0,有,無,4860000.0,70772.0,一樓平面,25.39,700000.0,,RPQNMLSLLHIGFAG18CB,靚圓滿,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉福德路,34.08,農,,,1120322.0,土地1建物1車位1,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.03,2.0,2.0,2.0,有,無,6570000.0,72653.0,一樓平面,13.17,550000.0,,RPVNMLSLLHIGFAG68CB,朗朗居NO.2,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉福德路,35.51,農,,,1120322.0,土地1建物1車位1,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.51,2.0,2.0,2.0,有,無,6830000.0,72736.0,一樓平面,13.17,550000.0,,RPXNMLSLLHIGFAG88CB,朗朗居NO.2,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉福德路,32.94,農,,,1120324.0,土地1建物1車位0,二層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.1,2.0,2.0,2.0,有,無,5710000.0,71286.0,,0.0,0.0,,RPOOMLSLLHIGFAG08CB,朗朗居NO.2,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大興路107巷,41.15,農,,,1120306.0,土地1建物1車位1,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.56,2.0,2.0,2.0,有,無,9820000.0,86801.0,坡道平面,25.1,1100000.0,,RPPNMLTLLHIGFAG18CB,築松暖香生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉大興路107巷,55.08,農,,,1120317.0,土地1建物1車位0,一層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.56,3.0,2.0,2.0,有,無,14220000.0,105678.0,,0.0,0.0,總價包含約定專用空間,RPQNMLTLLHIGFAG28CB,築松暖香生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大興路107巷,41.15,農,,,1120317.0,土地1建物1車位1,三層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.56,2.0,2.0,2.0,有,無,10120000.0,88792.0,坡道平面,25.1,1200000.0,,RPRNMLTLLHIGFAG38CB,築松暖香生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉季水路,102.81,,一般農業區,甲種建築用地,1120304.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,154.54,3.0,2.0,4.0,有,無,8280000.0,53578.0,,0.0,0.0,,RPSNMLTLLHIGFAG48CB,海藍天,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮竹林街,44.97,,特定農業區,甲種建築用地,1120301.0,土地2建物1車位1,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.82,2.0,2.0,2.0,有,無,8150000.0,81309.0,一樓平面,14.9,920000.0,,RPTNMLTLLHIGFAG58CB,築林居,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮竹林街,50.76,,特定農業區,甲種建築用地,1120321.0,土地2建物1車位1,二層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.46,2.0,2.0,2.0,有,無,9000000.0,81981.0,一樓平面,14.9,920000.0,,RPUNMLTLLHIGFAG68CB,築林居,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路一段,28.39,,特定農業區,甲種建築用地,1120323.0,土地2建物1車位0,一層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.34,1.0,2.0,2.0,有,無,8980000.0,125876.0,,0.0,0.0,總價包含約定專用空間,RPVNMLTLLHIGFAG78CB,築水漫步生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮竹林街,50.76,,特定農業區,甲種建築用地,1120301.0,土地2建物1車位1,三層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.26,3.0,2.0,2.0,有,無,8600000.0,78226.0,一樓平面,10.7,890000.0,,RPWNMLTLLHIGFAG88CB,築林居,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉季水路,122.56,,一般農業區,甲種建築用地,1120304.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,158.13,3.0,2.0,4.0,有,無,8700000.0,55018.0,,0.0,0.0,,RPXNMLTLLHIGFAG98CB,海藍天,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,89.14,,特定農業區,甲種建築用地,1120325.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,167.5,4.0,2.0,3.0,有,無,8450000.0,50448.0,,0.0,0.0,,RPQOMLTLLHIGFAG38CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,88.85,,特定農業區,甲種建築用地,1120325.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,168.1,4.0,2.0,3.0,有,無,8500000.0,50565.0,,0.0,0.0,,RPROMLTLLHIGFAG48CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,87.08,,特定農業區,甲種建築用地,1120329.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,163.4,4.0,2.0,3.0,有,無,8450000.0,51714.0,,0.0,0.0,,RPSOMLTLLHIGFAG58CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,85.05,,特定農業區,甲種建築用地,1120327.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,163.4,4.0,2.0,3.0,有,無,8450000.0,51714.0,,0.0,0.0,,RPTOMLTLLHIGFAG68CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路一段,30.28,其他,,,1120323.0,土地1建物1車位1,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,146.56,2.0,2.0,2.0,有,無,15260000.0,112982.0,坡道平面,23.0,1300000.0,交易總價含下列非屬預售屋價格之費用:含裝潢費1780000元；,RPPNMLTLLHIGFBG28CB,築楓自在生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔一路,118.53,,特定農業區,甲種建築用地,1120321.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,171.92,4.0,2.0,3.0,有,無,9400000.0,54677.0,,0.0,0.0,,RPPNMLKMLHIGFAG47DB,靚禾苑,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段2巷,192.63,,特定農業區,甲種建築用地,1120307.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,157.29,4.0,2.0,5.0,有,無,9150000.0,58173.0,,0.0,0.0,,RPRNMLLMLHIGFBG87DB,國五美津Ⅲ,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉三吉一路123巷,46.52,,特定農業區,甲種建築用地,1120306.0,土地1建物1車位0,2層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.93,3.0,2.0,2.0,有,無,6740000.0,59159.0,,0.0,0.0,,RPPNMLLMLHIGFAG47CB,五結我家,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮愛國路,19.19,住,,,1120329.0,土地2建物1車位0,七層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.52,2.0,1.0,1.0,有,無,6900000.0,100701.0,,0.0,0.0,,RPPNMLLJMHIGFAG27CB,曜昇日日昇,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮愛國路,25.46,住,,,1120326.0,土地2建物1車位1,八層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.86,2.0,2.0,2.0,有,無,10500000.0,99053.0,坡道平面,32.0,1500000.0,,RPQNMLLJMHIGFAG37CB,曜昇日日昇,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉新南路二段230巷,97.7,,特定農業區,甲種建築用地,1120319.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,182.62,4.0,2.0,5.0,有,無,10900000.0,59687.0,,0.0,0.0,,RPPNMLMJMHIGFBG47CB,禾苑,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉新南路二段230巷,101.7,,特定農業區,甲種建築用地,1120327.0,土地3建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,182.62,4.0,2.0,5.0,有,無,11300000.0,61877.0,,0.0,0.0,,RPQNMLMJMHIGFBG57CB,禾苑,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路二段188巷,147.72,,特定農業區,農牧用地,1120401.0,土地4建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,153.21,4.0,2.0,4.0,有,無,9600000.0,62659.0,,0.0,0.0,含農地交易:價金38萬,RPRNMLMJMHIGFBG67CB,美城國五,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市雪峰路,41.52,,特定農業區,甲種建築用地,1120401.0,土地1建物1車位1,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.81,2.0,2.0,2.0,有,無,8700000.0,77953.0,一樓平面,13.75,900000.0,,RPPNMLNJMHIGFBG57CB,蘭陽翠庭,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市雪峰路,44.48,,特定農業區,甲種建築用地,1120326.0,土地1建物1車位1,四層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.94,3.0,2.0,2.0,有,無,8900000.0,74634.0,一樓平面,13.75,900000.0,,RPQNMLNJMHIGFBG67CB,蘭陽翠庭,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段2巷,198.98,,特定農業區,甲種建築用地,1120312.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,162.57,4.0,2.0,5.0,有,無,9550000.0,58744.0,,0.0,0.0,,RPQNMLOJMHIGFBG87DB,國五美津Ⅲ,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段2巷,198.75,,特定農業區,甲種建築用地,1120312.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,162.57,4.0,2.0,5.0,有,無,9550000.0,58744.0,,0.0,0.0,,RPRNMLOJMHIGFBG97DB,國五美津Ⅲ,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段2巷,233.69,,特定農業區,甲種建築用地,1120311.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,161.33,4.0,2.0,5.0,有,無,10380000.0,64340.0,,0.0,0.0,,RPSNMLOJMHIGFBG08DB,國五美津Ⅲ,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段2巷,191.53,,特定農業區,農牧用地,1120310.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,161.63,4.0,2.0,5.0,有,無,9980000.0,61746.0,,0.0,0.0,,RPTNMLOJMHIGFBG18DB,國五美津Ⅲ,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段2巷,315.73,,特定農業區,甲種建築用地,1120402.0,土地3建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,152.64,4.0,2.0,5.0,有,無,10700000.0,70100.0,,0.0,0.0,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOJMHIGFBG38DB,國五美津Ⅲ,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,142.4,,特定農業區,甲種建築用地,1120405.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,235.8,5.0,2.0,5.0,有,無,12800000.0,54283.0,,0.0,0.0,,RPRNMLPJMHIGFAG87CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,88.9,,特定農業區,甲種建築用地,1120331.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,168.1,4.0,2.0,3.0,有,無,8450000.0,50268.0,,0.0,0.0,,RPSNMLPJMHIGFAG97CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,89.35,,特定農業區,甲種建築用地,1120405.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,167.54,4.0,2.0,3.0,有,無,8450000.0,50436.0,,0.0,0.0,,RPTNMLPJMHIGFAG08CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇南路,25.4,住,,,1120318.0,土地1建物1車位1,五層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,85.6,2.0,2.0,1.0,有,無,4250000.0,58378.0,一樓平面,19.65,400000.0,,RPPNMLQJMHIGFAG87DB,晉讚賈天下,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮蘇南路,25.4,住,,,1120401.0,土地1建物1車位1,二層,5.0,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,85.6,2.0,2.0,1.0,有,無,4200000.0,57619.0,一樓平面,19.65,400000.0,,RPQNMLQJMHIGFAG97DB,晉讚賈天下,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮新榮路,26.1,住,,,1120406.0,土地2建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.65,2.0,2.0,1.0,有,無,3950000.0,53632.0,,0.0,0.0,,RPRNMLQJMHIGFAG08DB,麒美高昇,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段2巷,194.92,,特定農業區,甲種建築用地,1120312.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,162.81,4.0,2.0,5.0,有,無,9480000.0,58227.0,,0.0,0.0,,RPPNMLRJMHIGFBG08DB,國五美津Ⅲ,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮海山東路,16.97,住,,,1120407.0,土地1建物1車位1,三層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.47,1.0,1.0,1.0,有,無,4280000.0,57845.0,坡道平面,31.58,700000.0,,RPPNMLRJMHIGFAG87CB,The Aries 牡羊座,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路三段,36.41,住,,,1120330.0,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,167.04,3.0,2.0,2.0,有,無,16030000.0,105203.0,坡道平面,27.5,1350000.0,,RPUNMLRJMHIGFBG48CB,嵐丰,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路,190.84,,特定農業區,農牧用地,1120408.0,土地3建物1車位0,三層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.6,2.0,2.0,2.0,有,無,7100000.0,73499.0,,0.0,0.0,不動產交易總價含農地價格68萬元整,RPPNMLTJMHIGFBG18CB,樂活京璽,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路,189.73,,特定農業區,農牧用地,1120401.0,土地3建物1車位0,二層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.01,2.0,2.0,2.0,有,無,6720000.0,71482.0,,0.0,0.0,不動產交易總價含農地價格68萬元整,RPQNMLTJMHIGFBG28CB,樂活京璽,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉土圍路,187.08,,特定農業區,農牧用地,1120409.0,土地3建物1車位0,二層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.89,2.0,2.0,2.0,有,無,6390000.0,72705.0,,0.0,0.0,不動產交易總價含農地價格68萬元整,RPRNMLTJMHIGFBG38CB,樂活京璽,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頭城鎮,房地(土地+建物)+車位,宜蘭縣頭城鎮沙成路2巷,34.71,住,,,1120327.0,土地1建物1車位1,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.51,2.0,1.0,1.0,有,無,8000000.0,82963.0,一樓平面,20.93,900000.0,,RPPNMLKKMHIGFBG37CB,詠居,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路一段,34.63,其他,,,1120406.0,土地1建物1車位0,一層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,141.93,0.0,0.0,0.0,無,無,16980000.0,119636.0,,0.0,0.0,含一二樓兩層,RPRNMLKKMHIGFBG57CB,築楓自在生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市嵐峰路一段,45.5,其他,,,1120406.0,土地1建物1車位2,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,244.37,3.0,2.0,3.0,有,無,26480000.0,118869.0,坡道平面,46.0,2900000.0,交易總價含下列非屬預售屋價格之費用:含裝潢費3000000元；,RPSNMLKKMHIGFBG67CB,築楓自在生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,85.12,,特定農業區,甲種建築用地,1120409.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,163.46,4.0,2.0,3.0,有,無,8500000.0,52000.0,,0.0,0.0,,RPPOMLKKMHIGFAG37CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,80.2,,特定農業區,甲種建築用地,1120409.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,157.09,4.0,2.0,3.0,有,無,8400000.0,53473.0,,0.0,0.0,,RPQOMLKKMHIGFAG47CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路325巷,151.16,,特定農業區,甲種建築用地,1120411.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,235.8,5.0,2.0,5.0,有,無,12800000.0,54283.0,,0.0,0.0,,RPRNMLLKMHIGFAG57CB,梅花湖之星,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大興路107巷,44.24,農,,,1120403.0,土地1建物1車位1,一層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.1,2.0,2.0,2.0,有,無,11570000.0,96019.0,坡道平面,25.1,1200000.0,,RPSNMLLKMHIGFAG67CB,築松暖香生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大興路107巷,55.08,農,,,1120403.0,土地1建物1車位1,二層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.73,3.0,2.0,2.0,有,無,12520000.0,84082.0,坡道平面,25.1,1200000.0,,RPTNMLLKMHIGFAG77CB,築松暖香生活村,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉下福路,36.22,,鄉村區,乙種建築用地,1120315.0,土地2建物1車位1,三層,4.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.84,2.0,2.0,2.0,有,無,5580000.0,60124.0,一樓平面,18.18,550000.0,,RPWNMLLKMHIGFAG08CB,冬山河都心,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市中山路五段166巷,25.87,住,,,1120330.0,土地3建物1車位1,七層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.59,2.0,2.0,2.0,有,無,9780000.0,93220.0,坡道平面,26.55,1200000.0,,RPPNMLLKMHIGFBG47CB,長堤富筑,,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
