鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,Unnamed: 5,Unnamed: 6,1120512,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,Unnamed: 14,79.4,2,1,1.1,有,無,6730000,96784,坡道機械,16.58,650000,A06戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPSNMLPKNHIGFAV07CB,達永崌里東,A6號,Unnamed: 30,來源資料夾,臺東縣臺東市仁愛街29號旁,34.62,1120814,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,102.17,2.1,8800000,88465,一樓平面,14.0,1000000,車位編號:自設車位8,RPQNMLPKQHIGFAV27DB,麗築東京天后之星,5C號
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111203.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7210000.0,101548.0,坡道平面,33.16,980000.0,A09戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPWNMLKLKIHGFAV76CB,達永崌里東,A9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市樂利路77巷13號對面,49.94,住,,,1111215.0,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.85,3.0,2.0,2.0,有,無,7800000.0,65081.0,一樓平面,0.0,0.0,,RPPNMLMLKIHGFAV88CB,欣輝興安住宅興建11戶,1A號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111128.0,土地2建物1車位1,十層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7260000.0,102200.0,坡道平面,33.16,990000.0,A09戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPPNMLNLKIHGFAV98CB,達永崌里東,A9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,89.07,住,,,1111226.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,182.41,5.0,2.0,6.0,有,無,12750000.0,69897.0,,0.0,0.0,,RPPNMLSLKIHGFAV96DB,晉鋐豐榮,A1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,104.54,住,,,1111226.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,210.37,5.0,2.0,6.0,有,無,13750000.0,65361.0,,0.0,0.0,,RPRNMLSLKIHGFAV17DB,晉鋐豐榮,A3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,110.17,住,,,1111223.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,210.37,5.0,2.0,6.0,有,無,13750000.0,65361.0,,0.0,0.0,,RPSNMLSLKIHGFAV27DB,晉鋐豐榮,A4號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,90.57,住,,,1111223.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,182.41,5.0,2.0,6.0,有,無,12750000.0,69897.0,,0.0,0.0,,RPPNMLTLKIHGFAV07DB,晉鋐豐榮,A2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市南王段592-17,145.15,住,,,1111215.0,土地6建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,176.91,4.0,2.0,4.0,有,無,12800000.0,72353.0,,0.0,0.0,1.賣方同意贈送車庫遮雨棚採光罩，樣式由賣方決定。廚具費:100000元,RPPNMLKMKIHGFAV88DB,南王富御住宅,F棟F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,,,1111213.0,土地2建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.98,2.0,1.0,1.0,有,無,6650000.0,90099.0,坡道平面,33.16,990000.0,A06戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPPNMLLKJHIGFAV58CB,達永崌里東,A6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,23.15,住,,,1111214.0,土地2建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.24,2.0,1.0,1.0,有,無,7990000.0,85283.0,坡道平面,33.16,990000.0,,RPQNMLLKJHIGFAV68CB,達永崌里東,A12號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
