鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
竹北市,房地(土地+建物)+車位,新竹縣竹北市中央路,33.23,住,,,1111010,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,218.62,4,2,2,有,無,25670000,140479.0,坡道平面,63.65,3900000,,RPSNMLPLIIHGFBJ18CB,櫻花聚-聚學區,A3棟7樓號,109_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市中央路,33.23,住,,,1111001,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.73,4,2,2,有,無,25860000,141318.0,坡道平面,64.76,3960000,,RPTNMLPLIIHGFBJ28CB,櫻花聚-聚學區,A3棟9樓號,109_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市中央路,25.64,住,,,1111008,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.42,3,2,2,有,無,20060000,151450.0,坡道平面,32.38,1880000,,RPUNMLPLIIHGFBJ38CB,櫻花聚-聚學區,A2棟11樓號,109_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市中央路,25.64,住,,,1111010,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.6,3,2,2,有,無,19660000,148727.0,坡道平面,32.38,1780000,,RPVNMLPLIIHGFBJ48CB,櫻花聚-聚學區,A1棟10樓號,109_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市中央路,25.64,住,,,1111001,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.49,3,2,2,有,無,19740000,148228.0,坡道平面,31.27,1920000,,RPWNMLPLIIHGFBJ58CB,櫻花聚-聚學區,A1棟9樓號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,30.68,住,,,1111015,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.73,3,2,2,有,無,12950000,94086.0,坡道平面,25.97,1400000,,RPPNMLQLIIHGFDJ18CB,昕承,A棟A3-11F號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,31.11,住,,,1111015,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.6,3,2,2,有,無,14770000,94614.0,坡道平面,54.2,3000000,,RPQNMLQLIIHGFDJ28CB,昕承,B棟B3-11F號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,30.68,住,,,1111023,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.86,3,2,2,有,無,13110000,94575.0,坡道平面,27.1,1500000,,RPRNMLQLIIHGFDJ38CB,昕承,B棟B1-12F號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,31.11,住,,,1111023,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.37,3,2,2,有,無,13170000,94614.0,坡道平面,25.97,1400000,,RPSNMLQLIIHGFDJ48CB,昕承,B棟B3-12F號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,30.26,,一般農業區,甲種建築用地,1111017,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,140.03,3,2,2,有,無,9530000,74830.0,坡道平面,22.43,730000,,RPTNMLQLIIHGFDJ58CB,弘峻理享城,F3-03F號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,26.02,,一般農業區,甲種建築用地,1111020,土地1建物1車位1,一層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,123.66,0,0,1,有,無,9600000,87870.0,坡道平面,23.74,820000,,RPUNMLQLIIHGFDJ68CB,弘峻理享城,S3-01F號,109_01
湖口鄉,房地(土地+建物),新竹縣湖口鄉綠園段279-75地號,92.85,,特定農業區,甲種建築用地,1111026,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,125.43,4,2,3,有,無,11580000,92322.0,,0.0,0,,RPVNMLQLIIHGFDJ78CB,悅時代,H棟19號,109_01
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉竹九段1854-2地號,102.58,,鄉村區,乙種建築用地,1111007,土地2建物1車位1,全,5,透天厝,住家用,鋼筋混凝土造,,405.46,9,9,9,有,無,24500000,60425.0,一樓平面,0.0,0,,RPXNMLQLIIHGFDJ98CB,傳馥,B棟0號,109_01
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路,39.0,住,,,1111001,土地1建物1車位2,十三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,290.4,4,2,2,有,無,46900000,185090.0,坡道平面,57.0,3700000,,RPPNMLRLIIHGFBJ08CB,青靚,C棟13號,109_01
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路至善段40.41.42.43地號,19.25,住,,,1111005,土地4建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.03,2,2,2,有,無,10920000,94575.0,坡道平面,36.84,1350000,,RPPNMLRLIIHGFCJ18CB,至善高第,A5-6F號,109_01
