鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
鹿港鎮,土地,景福段950地號,425.48,住,,,1110624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14299572,33608.0,,0.0,0,抵費地出售政府機關標讓售；,RPQNMLNLJIHGFCN38DA,0.0,0.0,0.0,無,,109_01
埔鹽鄉,土地,成功段659-1地號,198.0,,特定農業區,交通用地,1110614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1148400,5800.0,,0.0,0,協議價購；,RPWNMLSLIIHGFHN27DA,0.0,0.0,0.0,無,,109_01
溪湖鎮,土地,湖南段745地號,3899.0,住,,,1110614,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,109000000,27956.0,,0.0,0,本案部分土地為公共設施保留地,RPSNMLSLJIHGFHN96DA,0.0,0.0,0.0,無,,109_01
彰化市,房地(土地+建物),彰化縣彰化市平順一街２巷４３號,73.6,,,,1110513,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110523.0,230.14,5,2,3,有,有,16600000,72130.0,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQOMLLJRHHGFAN58DA,196.81,0.0,8.29,無,,109_01
芳苑鄉,土地,新王功段273-3地號,4923.64,,一般農業區,農牧用地,1110530,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11816700,2400.0,,0.0,0,,RPROMLQJRHHGFGN17DA,0.0,0.0,0.0,無,,109_01
和美鎮,房地(土地+建物),彰化縣和美鎮犁盛里東祥路２４８號,72.23,,特定農業區,甲種建築用地,1110512,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,680314.0,90.8,4,2,2,有,無,5600000,61674.0,,0.0,0,其他增建為廚房跟二樓後方其他增建；,RPPNMLQLQHHGFBN09DA,90.8,0.0,0.0,無,905.0,109_01
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉中正路１００之３號,95.53,住,,,1110515,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110331.0,184.88,4,2,5,有,無,9300000,50303.0,,0.0,0,土地價款新台幣參佰玖拾萬陸仟元正、建物價款新台幣伍佰參拾玖萬肆仟元正,RPUNMLSJRHHGFHN67DA,175.57,0.0,9.31,無,,109_01
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路７２之３７號,102.23,,山坡地保育區,丙種建築用地,1110529,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110506.0,168.99,4,2,3,有,無,12200000,72194.0,,0.0,0,,RPTNMLPJRHHGFDN86DA,168.99,0.0,0.0,無,,109_01
彰化市,房地(土地+建物),彰化縣彰化市平順一街６號,113.56,,,,1110501,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1110523.0,289.24,5,2,5,有,有,27500000,95077.0,,0.0,0,,RPPOMLSJRHHGFAN56DA,247.53,0.0,16.67,有,,109_01
彰化市,房地(土地+建物),彰化縣彰化市中華西路５７１巷５號十樓,14.67,住,,,1110515,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,830831.0,108.44,3,2,2,有,有,5400000,49797.0,,0.0,0,,RPPOMLPKRHHGFAN98DA,85.65,3.75,8.27,有,,109_01
