鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
楠梓區,房地(土地+建物)+車位,高雄市楠梓區惠正街,11.62,住,,,1110817,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,92.08,2,1,1,有,無,5680000,61685.0,坡道平面,18.01,0,原買方讓渡總價金為陸佰零捌萬元整,RPPNMLSKQHHGFEE58CB,?揚天鵝堡,A8棟10號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,17.07,住,,,1110812,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.07,0,2,2,有,無,10770000,92475.0,坡道平面,15.53,1750000,,RPQNMLSKQHHGFGE88CB,藏美東京都,C棟7號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,23.28,住,,,1110813,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.61,2,2,2,有,無,15390000,102892.0,坡道平面,15.53,1800000,,RPUNMLSKQHHGFGE66CB,藏美東京都,A棟2號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,17.07,住,,,1110814,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.07,0,2,2,有,無,10650000,90219.0,坡道平面,15.53,1850000,,RPUOMLSKQHHGFGE76CB,藏美東京都,C棟7號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,20.21,住,,,1110813,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.46,2,2,2,有,無,13240000,99104.0,坡道平面,15.53,1850000,,RPUQMLSKQHHGFGE96CB,藏美東京都,C棟5號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,15.57,住,,,1110814,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.71,0,2,2,有,無,10380000,97331.0,坡道平面,15.53,1700000,,RPWQMLSKQHHGFGE17CB,藏美東京都,A棟3號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,17.07,住,,,1110813,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.07,0,2,2,有,無,10760000,91860.0,坡道平面,15.53,1800000,,RPPRMLSKQHHGFGE56CB,藏美東京都,C棟7號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,20.21,住,,,1110813,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.46,2,2,2,有,無,13050000,97451.0,坡道平面,15.53,1850000,,RPQRMLSKQHHGFGE66CB,藏美東京都,C棟1號,109_01
鳳山區,房地(土地+建物)+車位,高雄市鳳山區勝中路與勝愛街口,20.21,住,,,1110814,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.58,2,2,2,有,無,13210000,99713.0,坡道平面,16.65,1750000,,RPTSMLSKQHHGFGE07CB,藏美東京都,C棟5號,109_01
鳳山區,房地(土地+建物),高雄市鳳山區代德三街,106.9,住,,,1110814,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,,328.98,6,2,6,有,無,28500000,86631.0,,0.0,0,,RPOTMLSKQHHGFGE66CB,銳揚國囍,B棟3號,109_01
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路及大成街交叉路口,5.0,商,,,1110812,土地34建物1車位1,二十八層,37,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.32,3,2,2,有,無,20600000,155032.0,坡道平面,14.99,2100000,,RPQNMLTKQHHGFAE38CB,港灣1號院,B棟11-28F號,109_01
湖內區,房地(土地+建物)+車位,高雄市湖內區圍子內段3526地號,37.01,住,,,1110816,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.21,2,2,2,有,無,7360000,66645.0,一樓平面,25.78,1200000,,RPPNMLTKQHHGFJE56CB,藏龍八期,A1棟0號,109_01
湖內區,房地(土地+建物)+車位,高雄市湖內區圍子內段3526地號,35.51,住,,,1110816,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.47,2,2,2,有,無,7140000,66975.0,一樓平面,25.78,1200000,,RPQNMLTKQHHGFJE66CB,藏龍八期,A2棟0號,109_01
