鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
安南區,房地(土地+建物)+車位,臺南市安南區海佃路一段158巷,49.71,住,,,1110621,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,266.15,3,2,2,有,無,26790000,107380.0,坡道平面,29.7,1400000,,RPPNMLOKPHHGFBD67CB,府都WE建築,11A3號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區海佃路一段158巷,48.7,住,,,1110626,土地1建物1車位2,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,290.82,3,2,2,有,無,24890000,96318.0,坡道平面,59.4,2600000,,RPQNMLOKPHHGFBD77CB,府都WE建築,2A5號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區海佃路一段158巷,49.71,住,,,1110619,土地1建物1車位2,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,295.85,3,2,2,有,無,26050000,98329.0,坡道平面,59.4,2800000,,RPRNMLOKPHHGFBD87CB,府都WE建築,5A1號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區安富一街與富東路,24.06,住,,,1110630,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,168.62,3,2,2,有,無,13370000,87524.0,坡道平面,52.88,3240000,,RPPNMLPKPHHGFBD77CB,春福年年,A1棟09號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區安富一街與富東路,24.06,住,,,1110630,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,140.06,3,2,2,有,無,12100000,91153.0,坡道平面,24.32,1550000,,RPQNMLPKPHHGFBD87CB,春福年年,A1棟10號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區安富一街與富東路,24.61,住,,,1110630,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,144.82,3,2,2,有,無,12250000,90049.0,坡道平面,26.44,1590000,,RPRNMLPKPHHGFBD97CB,春福年年,A3棟07號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區安富一街與富東路,22.58,住,,,1110630,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,161.23,3,2,2,有,無,12630000,87587.0,坡道平面,52.88,3140000,,RPSNMLPKPHHGFBD08CB,春福年年,B1棟09號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區安富一街與富東路,23.08,住,,,1110630,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,163.55,3,2,2,有,無,12560000,87648.0,坡道平面,52.88,2860000,,RPTNMLPKPHHGFBD18CB,春福年年,B3棟08號,109_02
安南區,房地(土地+建物)+車位,臺南市安南區安富一街與富東路,24.61,住,,,1110630,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,144.82,3,2,2,有,無,12100000,90471.0,坡道平面,26.44,1390000,,RPVNMLPKPHHGFBD38CB,春福年年,E5棟07號,109_02
安南區,房地(土地+建物),臺南市安南區永續二十二街,87.53,住,,,1110712,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,209.02,3,2,5,有,無,19600000,93771.0,,0.0,0,,RPWNMLPKPHHGFBD48CB,邰欣地堡67期,S棟10號,109_02
