鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
布袋鎮,土地,嘉塭段226-4地號,9522.58,,特定專用區,養殖用地,1111102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,315.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKKJIHGFBQ48DA,0.0,0.0,0.0,無,,109_01
梅山鄉,土地,科子林段802-2地號,1188.33,,山坡地保育區,農牧用地,1111101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,145000,122.0,,0.0,0,,RPSNMLLJJIHGFEQ68DA,0.0,0.0,0.0,無,1.0,109_01
東石鄉,土地,栗子崙段東崙小段1241地號,3050.0,,一般農業區,農牧用地,1111107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1403000,460.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKKJIHGFBQ68EA,0.0,0.0,0.0,無,,109_01
民雄鄉,土地,新庄段1665-4地號,786.01,都市：其他:農,,,1111101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3817.0,,0.0,0,,RPPNMLLKJIHGFCQ28DA,0.0,0.0,0.0,無,,109_01
民雄鄉,土地,民北段1051-6地號,21.5,,,,1111104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,46512.0,,0.0,0,畸零地或有合併使用效益；,RPRNMLLKJIHGFCQ48DA,0.0,0.0,0.0,無,,109_01
中埔鄉,土地,灣潭子段19-43地號,1168.67,,山坡地保育區,農牧用地,1111103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,222.0,,0.0,0,,RPRNMLNJJIHGFDQ68DA,0.0,0.0,0.0,無,2.0,109_01
太保市,土地,太保段太保小段482地號,3183.0,農,,,1111103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,4084.0,,0.0,0,,RPSNMLKKJIHGFDQ58DA,0.0,0.0,0.0,無,,109_01
水上鄉,土地,北回段975地號,847.14,,特定農業區,特定目的事業用地,1111101,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8556114,10100.0,,0.0,0,協議價購；,RPXNMLKKJIHGFDQ09DA,0.0,0.0,0.0,無,,109_01
六腳鄉,土地,六斗尾段六斗小段54地號,253.0,,特定農業區,甲種建築用地,1111103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4744860,18754.0,,0.0,0,,RPRNMLKKJIHGFBQ28DA,0.0,0.0,0.0,無,3.0,109_01
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路１３９號二樓之１６,7.6,住,,,1111102,土地1建物1車位0,二層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,950828.0,31.23,1,0,1,有,有,1180000,37784.0,,0.0,0,,RPWNMLLKJIHGFBQ88DA,17.27,0.0,1.92,有,,109_01
布袋鎮,土地,建興段272-7地號,11.71,,鄉村區,乙種建築用地,1111111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,8540.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLKJIHGFBQ68DA,0.0,0.0,0.0,無,,109_01
太保市,房地(土地+建物)+車位,嘉義縣太保市春珠里保鐵一路二段８３號,21.9,住,,,1111103,土地1建物1車位2,一層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1060421.0,129.82999999999998,0,1,1,有,有,6360000,48987.0,坡道平面,59.74,0,,RPPOMLKKJIHGFDQ38DA,47.61,0.0,0.0,有,,109_01
太保市,土地,安仁段513地號,122.84,,鄉村區,乙種建築用地,1111104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1298500,10571.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLKKJIHGFDQ58DA,0.0,0.0,0.0,無,,109_01
太保市,土地,祥和段1006地號,3.67,,,,1111102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,136000,37057.0,,0.0,0,畸零地或有合併使用效益；包含公共設施保留地用地；,RPSNMLTJJIHGFDQ76DA,0.0,0.0,0.0,無,,109_01
中埔鄉,土地,深坑段238-20地號,1101.75,,山坡地保育區,農牧用地,1111102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,227.0,,0.0,0,,RPTNMLMJJIHGFDQ78DA,0.0,0.0,0.0,無,4.0,109_01
竹崎鄉,土地,灣北段10地號,308.23,,一般農業區,農牧用地,1111103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,811.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPTNMLOKJIHGFEQ66EA,0.0,0.0,0.0,無,5.0,109_01
太保市,土地,過溝段過溝小段1079-11地號,118.0,住,,,1111101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4105500,34792.0,,0.0,0,,RPROMLLKJIHGFDQ78EA,0.0,0.0,0.0,無,,109_01
鹿草鄉,土地,鹿北段67地號,68.81,都市：其他:道路用地,,,1111104,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,461266,6703.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLLKJIHGFDQ98EA,0.0,0.0,0.0,無,,109_01
竹崎鄉,土地,崎腳段174-4地號,386.8,,一般農業區,甲種建築用地,1111104,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3510000,9074.0,,0.0,0,,RPPNMLPKJIHGFEQ98EA,0.0,0.0,0.0,無,,109_01
六腳鄉,土地,港尾寮新段83地號,911.41,,鄉村區,乙種建築用地,1111107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,3072.0,,0.0,0,,RPTOMLOKJIHGFBQ98DA,0.0,0.0,0.0,無,6.0,109_01
六腳鄉,土地,大塗師段122地號,448.0,,鄉村區,乙種建築用地,1111105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,7366.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOOMLOKJIHGFBQ48DA,0.0,0.0,0.0,無,7.0,109_01
