鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮塔后段965地號、湖前段653-5地號,67.96,其他,,,1110831,土地2建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,157.72,3,2,3,有,無,10800000,68476,一樓平面,0.0,0,,RPSNMLRLRHHGFAW77CB,金湖印象,B棟4號,111_04
金湖鎮,房地(土地+建物),金門縣金湖鎮塔后段965地號、湖前段653-5地號,69.08,其他,,,1110831,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,160.38,4,2,4,有,無,10800000,67340,,0.0,0,,RPTNMLRLRHHGFAW87CB,金湖印象,B棟5號,111_04
金湖鎮,房地(土地+建物),金門縣金湖鎮塔后段965地號、湖前段653-5地號,39.36,其他,,,1110831,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.21,3,2,2,有,無,6850000,70466,,0.0,0,,RPUNMLRLRHHGFAW97CB,金湖印象,C1棟5號,111_04
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,31.02,其他,,,1111105,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.93,3,2,2,有,無,4398000,62005,,0.0,0,,RPPNMLSLJIHGFAW86CB,光前首澤,C棟0號,111_04
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段876地號,44.43,其他,,,1111211,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.66,3,2,2,有,無,6400000,62955,,0.0,0,,RPPNMLSLKIHGFAW96CB,光前首澤,C棟0號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.77,其他,,,1120117,土地3建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.39,3,2,2,有,無,7080000,74222,,0.0,0,含法定車位約定車位編號4號,RPPNMLPKKHIGFAW56CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C24F棟7號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.82,其他,,,1120117,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.49,3,2,2,有,無,6500000,71831,,0.0,0,含法定車位約定車位編號2號,RPQNMLPKKHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C43F棟2號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,,,1120117,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.2,3,2,2,有,無,6500000,72062,,0.0,0,含法定車位約定車位編號1號,RPRNMLPKKHIGFAW76CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C33F棟1號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,,,1120118,土地3建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.2,3,2,2,有,無,6980000,77384,,0.0,0,含法定車位約定車位編號6號,RPSNMLPKKHIGFAW86CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C35F棟4號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.82,其他,,,1120119,土地3建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.49,3,2,2,有,無,6960000,76915,,0.0,0,含法定車位約定車位編號3號,RPPNMLQKKHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C45F棟5號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.82,其他,,,1120127,土地3建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.39,3,2,2,有,無,7200000,75480,,0.0,0,含法定車位約定車位編號5號,RPQNMLQKKHIGFAW76CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C25F棟8號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.43,其他,,,1120204,土地3建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.46,3,2,2,有,無,7200000,76223,,0.0,0,含法定車位約定車位編號7號,RPRNMLQKKHIGFAW86CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C15F棟3號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.43,其他,,,1120204,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.46,3,2,2,有,無,6660000,70506,,0.0,0,,RPSNMLQKKHIGFAW96CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C13F棟6號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.82,其他,,,1120204,土地3建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.39,3,2,2,有,無,6700000,70238,,0.0,0,,RPTNMLQKKHIGFAW07CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C23F棟10號,111_05
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,44.43,住,,,1120209,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.66,3,2,2,有,無,6300000,61971,,0.0,0,,RPSNMLNLKHIGFAW76CB,光前首澤,C1棟0號,111_05
