鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
斗六市,房地(土地+建物),雲林縣斗六市文安街,19.5,住,,,1110223,土地2建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.5,2,1,2,有,無,5980000,64649.0,,0.0,0,,RPPNMLPLKHHGFAP48CB,啡璞A'more,A棟A5號,111_02
斗六市,房地(土地+建物),雲林縣斗六市文安街,34.52,住,,,1110224,土地2建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.93,3,1,2,有,無,6700000,63249.0,,0.0,0,,RPQNMLPLKHHGFAP58CB,啡璞Book,B棟B1號,111_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮光復路,110.6,住,,,1110219,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,239.78,4,2,5,有,無,22480000,93753.0,,0.0,0,,RPQNMLQLKHHGFDP09DB,人文首璽,C棟6號,111_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮光復路,123.65,住,,,1110225,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,239.95,4,2,5,有,無,23690000,98729.0,,0.0,0,,RPRNMLQLKHHGFDP56DB,人文首璽,C棟9號,111_02
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路,18.11,住,,,1110222,土地1建物1車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,,49.63,1,1,1,有,無,2950000,59440.0,,0.0,0,,RPPNMLQLKHHGFBP78DB,微風city,B棟1號,111_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,15.31,商,,,1110225,土地11建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.86,3,2,2,有,無,11530000,94632.0,坡道平面,32.7,1200000,,RPPNMLRLKHHGFDP98CB,鎧將雲鼎,A棟12F-C號,111_02
斗六市,房地(土地+建物),雲林縣斗六市科?一路,82.16,,工業區,丁種建築用地,1110216,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.66,4,2,5,有,無,7980000,55164.0,,0.0,0,,RPPNMLLJLHHGFAP97CB,綠邸三期,C棟10號,111_02
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路,81.52,住,,,1110228,土地2建物1車位0,全,3,店面(店鋪),住商用,鋼筋混凝土造,,197.01,4,2,4,有,無,12800000,64971.0,,0.0,0,,RPPNMLLJLHHGFBP18DB,微風city,C棟7號,111_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定,100.84,住,,,1110220,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,146.2,4,2,4,有,無,6980000,47743.0,,0.0,0,,RPPNMLLJLHHGFCP18CB,埔心荷雅,B棟15號,111_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定,100.84,住,,,1110227,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.49,4,2,4,有,無,6930000,46986.0,,0.0,0,,RPQNMLLJLHHGFCP28CB,埔心荷雅,B棟16號,111_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定,100.84,住,,,1110222,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.49,4,2,4,有,無,6980000,47325.0,,0.0,0,,RPRNMLLJLHHGFCP38CB,埔心荷雅,B棟17號,111_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮西興南路438巷,98.39,住,,,1110223,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,195.94,4,3,4,有,無,13000000,66347.0,,0.0,0,,RPPNMLNJLHHGFCP38CB,一品居,B棟3號,111_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮光復路,128.0,住,,,1110214,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,240.37,4,2,5,有,無,24000000,99846.0,,0.0,0,,RPQNMLNJLHHGFDP68DB,人文首璽,C棟10號,111_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲二路,119.88,住,,,1110226,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,215.54,4,3,5,有,無,14500000,67273.0,,0.0,0,,RPRNMLNJLHHGFDP78DB,清雲永聖,B棟10號,111_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲二路,122.55,住,,,1110302,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,215.54,4,3,5,有,無,14580000,67644.0,,0.0,0,,RPSNMLNJLHHGFDP88DB,清雲永聖,B棟13號,111_02
斗六市,房地(土地+建物),雲林縣斗六市中華路,13.71,住,,,1110211,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,59.81,1,1,1,有,無,4880000,81592.0,,0.0,0,,RPPNMLOJLHHGFAP28CB,銓威雲鼎,辦B棟0號,111_02
斗六市,房地(土地+建物)+車位,雲林縣斗六市科?一路,34.42,,工業區,丁種建築用地,1110212,土地2建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.7,3,2,2,有,無,7250000,55471.0,一樓平面,29.63,0,,RPSNMLRJLHHGFAP88CB,翡翠森林,A棟6FA5號,111_02
斗六市,房地(土地+建物),雲林縣斗六市科?一路,171.34,,工業區,丁種建築用地,1110227,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,196.2,3,3,4,有,無,10950000,55810.0,,0.0,0,,RPTNMLRJLHHGFAP98CB,綠邸三期,A棟3號,111_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮高南段410地號,56.99,住,,,1110225,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.05,3,1,2,有,無,7880000,59010.0,一樓平面,9.46,1000000,,RPRNMLRJLHHGFDP09CB,沐晴2期,A棟6號,111_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,15.31,商,,,1110216,土地11建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.86,3,2,2,有,無,10980000,88677.0,坡道平面,32.7,1300000,,RPUNMLRJLHHGFDP76CB,鎧將雲鼎,A棟6F-C號,111_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,10.97,商,,,1110216,土地11建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,110.89,2,2,1,有,無,8400000,92083.0,坡道平面,32.7,1200000,,RPVNMLRJLHHGFDP86CB,鎧將雲鼎,A棟10F-E號,111_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,10.97,商,,,1110217,土地11建物1車位1,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,110.89,2,2,1,有,無,7380000,79678.0,坡道平面,32.7,1150000,,RPXNMLRJLHHGFDP07CB,鎧將雲鼎,A棟4F-E號,111_02
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮忠孝路,10.5,商,,,1110223,土地11建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,74.89,2,2,1,有,無,6880000,91868.0,,0.0,0,,RPOOMLRJLHHGFDP88CB,鎧將雲鼎,B棟12F-G號,111_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮忠孝路,12.2,商,,,1110307,土地11建物1車位1,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,119.7,2,2,2,有,無,8190000,82069.0,坡道平面,32.7,1050000,,RPPOMLRJLHHGFDP98CB,鎧將雲鼎,B棟4F-I號,111_02
元長鄉,房地(土地+建物),雲林縣元長鄉鹿北村2鄰2之16號,141.62,,鄉村區,乙種建築用地,1110212,土地2建物1車位0,全,3,透天厝,住家用,見其他登記事項,,162.1,4,1,4,有,無,6800000,41949.0,,0.0,0,,RPVOMLRJLHHGFEP17DB,駿暘星悅,B棟5號,111_02
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定,118.05,住,,,1110306,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.36,4,2,2,有,無,8300000,46535.0,,0.0,0,,RPPNMLRJLHHGFCP78CB,埔心荷雅,C棟5號,111_02
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,132.99,,鄉村區,乙種建築用地,1110219,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,177.15,4,2,4,有,無,8980000,50692.0,,0.0,0,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLRJLHHGFAP68DB,荷翠二期,C棟3號,111_02
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,132.99,,鄉村區,乙種建築用地,1110226,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.93,4,2,4,有,無,9380000,54242.0,,0.0,0,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPQNMLRJLHHGFAP78DB,荷翠,E棟2號,111_02
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,132.99,,鄉村區,乙種建築用地,1110226,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,174.39,4,2,4,有,無,9450000,54189.0,,0.0,0,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPRNMLRJLHHGFAP88DB,荷翠,D棟3號,111_02
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,139.04,,鄉村區,乙種建築用地,1110227,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,174.8,4,2,4,有,無,9680000,55378.0,,0.0,0,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPPNMLSJLHHGFAP78DB,荷翠二期,A棟3號,111_02
古坑鄉,房地(土地+建物),雲林縣古坑鄉廣濟路,146.49,,鄉村區,乙種建築用地,1110306,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.5,4,2,4,有,無,9880000,55350.0,,0.0,0,古坑鄉高林北段564地號，本筆土地為提供道路使用附贈與予買方。,RPQNMLSJLHHGFAP88DB,荷翠二期,A棟9號,111_02
莿桐鄉,房地(土地+建物),雲林縣莿桐鄉南安路,96.9,住,,,1110301,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,174.4,5,2,2,有,無,8500000,48739.0,,0.0,0,,RPPNMLSJLHHGFAP68CB,聚馥二期,S33棟0號,111_02
斗六市,房地(土地+建物),雲林縣斗六市社口街,122.34,住,,,1110303,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,288.99,7,2,6,有,無,26800000,92737.0,,0.0,0,,RPPNMLTJLHHGFAP78CB,幸福季序,C棟C號,111_02
