鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
卑南鄉,土地,利家段203地號,417.0,,山坡地保育區,丙種建築用地,1111014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3780000,9065.0,,0.0,0,,RPVNMLPLIIHGFAV96DA,0.0,0.0,0.0,無,,111_04
台東市,房地(土地+建物),臺東縣臺東市大同路７６巷１７號,35.5,住,,,1111003,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,680108.0,40.03,5,2,5,有,無,2200000,54959.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLOLIIHGFAV88DA,40.03,0.0,0.0,無,45.0,111_04
台東市,土地,康樂段159地號,1059.0,,特定農業區,農牧用地,1111011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,1228.0,,0.0,0,,RPSNMLRLIIHGFAV86DA,0.0,0.0,0.0,無,46.0,111_04
台東市,土地,豐成段819地號,2550.0,,特定農業區,農牧用地,1111003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,3529.0,,0.0,0,農作物；含租約；,RPUNMLRLIIHGFAV07DA,0.0,0.0,0.0,無,,111_04
台東市,土地,台東段746-2地號,462.0,農,,,1111020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2597.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPVNMLRLIIHGFAV17DA,0.0,0.0,0.0,無,47.0,111_04
長濱鄉,土地,三間段大來小段862地號,5820.0,,風景區,農牧用地,1111006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,172.0,,0.0,0,農作物；,RPPNMLSLIIHGFBV76DA,0.0,0.0,0.0,無,,111_04
池上鄉,土地,大池段897地號,173.46,,鄉村區,乙種建築用地,1111021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1570000,9051.0,,0.0,0,,RPQNMLLLIIHGFCV88DA,0.0,0.0,0.0,無,,111_04
台東市,土地,豐年段954-62地號,39.0,都市：其他:道路用地,,,1111003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,531000,13615.0,,0.0,0,,RPUNMLRKIIHGFAV96DA,0.0,0.0,0.0,無,,111_04
卑南鄉,土地,利卡夢段550地號,194.38,,特定農業區,農牧用地,1111021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,1029.0,,0.0,0,,RPSNMLKLIIHGFAV78DA,0.0,0.0,0.0,無,,111_04
台東市,房地(土地+建物),臺東縣臺東市新站一街３０號,159.79,住,,,1111002,土地1建物1車位0,全,四層,透天厝,住家用,ＲＣ造,1050606.0,382.93,7,2,8,有,無,18700000,48834.0,,0.0,0,含傢俱設備費；其他增建；,RPXNMLRLIIHGFAV37DA,361.26,21.67,0.0,有,48.0,111_04
