鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,29.72,住,,,1110410,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.26,3,1,2,有,無,12120000,99240.0,坡道平面,36.75,1550000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPSOMLSLMHHGFDC38CB,新橫濱-上野區,A棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,29.72,住,,,1110408,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.26,3,1,2,有,無,11120000,90790.0,坡道平面,36.75,1450000,,RPTOMLSLMHHGFDC48CB,新橫濱-上野區,E棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.4,商,,,1110406,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.52,2,1,1,有,無,7980000,85784.0,坡道機械,13.57,950000,,RPUOMLSLMHHGFDC58CB,新橫濱-星野區,C棟07號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.4,商,,,1110406,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.09,2,1,1,有,無,9170000,92984.0,坡道平面,27.14,1550000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPVOMLSLMHHGFDC68CB,新橫濱-星野區,E棟07號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.53,商,,,1110410,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,1,2,有,無,11700000,84034.0,坡道平面,27.14,1500000,,RPWOMLSLMHHGFDC78CB,新橫濱-星野區,H棟05號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,29.72,住,,,1110404,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.89,3,1,2,有,無,10490000,90508.0,坡道機械,18.38,850000,,RPXOMLSLMHHGFDC88CB,新橫濱-上野區,E棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,38.0,住,,,1110406,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,172.99,4,1,2,有,無,12880000,85364.0,坡道平面,36.75,1250000,,RPOPMLSLMHHGFDC08CB,新橫濱-上野區,C棟03號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110410,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,9480000,95592.0,坡道平面,27.14,1500000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPPPMLSLMHHGFDC18CB,新橫濱-星野區,D棟09號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.01,商,,,1110407,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.49,4,1,2,有,無,13500000,87732.0,坡道平面,27.14,1450000,,RPQPMLSLMHHGFDC28CB,新橫濱-星野區,A棟03號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110406,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,8990000,90920.0,坡道平面,27.14,1400000,,RPRPMLSLMHHGFDC38CB,新橫濱-星野區,A棟09號,111_02
信義區,房地(土地+建物)+車位,基隆市信義區東峰街55巷對面,60.83,住,,,1110428,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,220.72,3,2,2,有,無,13620000,66456.0,坡道平面,36.84,1400000,,RPQNMLTLMHHGFDC18CB,田園調布2-B1區,C棟C5-5~7F號,111_02
信義區,房地(土地+建物)+車位,基隆市信義區東峰街55巷對面,66.41,住,,,1110401,土地1建物1車位2,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,257.56,3,2,2,有,無,13280000,64607.0,升降平面,73.68,1400000,原申報書:B1CD11104070005升降平面車位由建商贈送,RPRNMLNJNHHGFDC57CB,田園調布2-B1區,D棟D8-5~7F號,111_02
安樂區,房地(土地+建物),基隆市中山區中和路,24.97,住,,,1110503,土地1建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.78,2,1,1,有,無,8120000,87519.0,,0.0,0,,RPPNMLOJNHHGFDC47CB,宏貿臻璽,A棟3-6F號,111_02
安樂區,房地(土地+建物),基隆市中山區中和路,24.97,住,,,1110503,土地1建物0車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.78,2,1,1,有,無,8150000,87842.0,,0.0,0,,RPQNMLOJNHHGFDC57CB,宏貿臻璽,A棟3-7F號,111_02
安樂區,房地(土地+建物),基隆市安樂區基金二路3巷,29.89,住,,,1110408,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.64,2,2,1,有,無,6110000,64560.0,,0.0,0,,RPPNMLOJNHHGFDC57DB,禾傑臻品,B棟2號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,39.04,住,,,1110416,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,176.57,4,1,2,有,無,12990000,83250.0,坡道平面,36.75,1350000,,RPPNMLQJNHHGFDC67CB,新橫濱-上野區,E棟03號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,20.49,商,,,1110415,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.36,4,1,2,有,無,12630000,83669.0,坡道平面,27.14,1400000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPQNMLQJNHHGFDC77CB,新橫濱-星野區,F棟03號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,29.72,住,,,1110415,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.26,3,1,2,有,無,11980000,99333.0,坡道平面,36.75,1400000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPRNMLQJNHHGFDC87CB,新橫濱-上野區,A棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.4,商,,,1110415,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.09,2,1,1,有,無,8550000,86638.0,坡道平面,27.14,1450000,,RPSNMLQJNHHGFDC97CB,新橫濱-星野區,F棟07號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110416,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,9500000,95831.0,坡道平面,27.14,1500000,,RPTNMLQJNHHGFDC08CB,新橫濱-星野區,G棟09號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.01,商,,,1110415,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.45,4,1,2,有,無,13000000,83870.0,坡道平面,27.14,1400000,,RPUNMLQJNHHGFDC18CB,新橫濱-星野區,A棟03號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,20.88,商,,,1110415,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.5,4,1,2,有,無,14110000,91803.0,坡道平面,27.14,1500000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPVNMLQJNHHGFDC28CB,新橫濱-星野區,E棟03號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.53,商,,,1110415,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.53,3,1,2,有,無,12630000,92512.0,坡道平面,27.14,1400000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPWNMLQJNHHGFDC38CB,新橫濱-星野區,E棟05號,111_02
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.4,商,,,1110414,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.95,2,1,1,有,無,7080000,86394.0,,0.0,0,,RPXNMLQJNHHGFDC48CB,新橫濱-星野區,C棟07號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.4,商,,,1110415,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.41,2,1,1,有,無,9390000,96469.0,坡道平面,27.14,1550000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPOOMLQJNHHGFDC67CB,新橫濱-星野區,F棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,39.52,住,,,1110414,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,178.35,4,1,2,有,無,14060000,89407.0,坡道平面,36.75,1400000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPPOMLQJNHHGFDC77CB,新橫濱-上野區,C棟07號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.79,商,,,1110411,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.03,2,1,1,有,無,9340000,96436.0,坡道平面,27.14,1250000,,RPQOMLQJNHHGFDC87CB,新橫濱-星野區,H棟09號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,20.88,商,,,1110415,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.5,4,1,2,有,無,13060000,84886.0,坡道平面,27.14,1400000,,RPROMLQJNHHGFDC97CB,新橫濱-星野區,E棟03號,111_02
中山區,房地(土地+建物),基隆市中山區復興路204號之附近,29.72,住,,,1110416,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.51,3,1,2,有,無,9900000,92949.0,,0.0,0,,RPSOMLQJNHHGFDC08CB,新橫濱-上野區,A棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,34.58,住,,,1110412,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.56,3,1,2,有,無,12940000,91996.0,坡道平面,36.75,1550000,,RPTOMLQJNHHGFDC18CB,新橫濱-上野區,B棟01號,111_02
中山區,房地(土地+建物),基隆市中山區復興路204號之附近,24.22,住,,,1110415,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.67,2,1,1,有,無,7610000,87804.0,,0.0,0,,RPUOMLQJNHHGFDC28CB,新橫濱-上野區,E棟08號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110415,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.87,2,1,1,有,無,9620000,99359.0,坡道平面,27.14,1400000,,RPVOMLQJNHHGFDC38CB,新橫濱-星野區,H棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110415,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,9220000,91878.0,坡道平面,27.14,1550000,,RPWOMLQJNHHGFDC48CB,新橫濱-星野區,F棟09號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.53,商,,,1110412,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,1,2,有,無,11850000,85269.0,坡道平面,27.14,1500000,,RPXOMLQJNHHGFDC58CB,新橫濱-星野區,H棟05號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,18.4,商,,,1110411,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.18,3,1,2,有,無,12200000,88814.0,坡道平面,27.14,1450000,,RPOPMLQJNHHGFDC77CB,新橫濱-星野區,E棟05號,111_02
中山區,房地(土地+建物),基隆市中山區復興路261號之對面,12.66,商,,,1110414,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.59,2,1,1,有,無,7110000,86088.0,,0.0,0,,RPPPMLQJNHHGFDC87CB,新橫濱-星野區,E棟06號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110415,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,9360000,93555.0,坡道平面,27.14,1550000,,RPQPMLQJNHHGFDC97CB,新橫濱-星野區,E棟09號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110415,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,10080000,102180.0,坡道平面,27.14,1550000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPRPMLQJNHHGFDC08CB,新橫濱-星野區,G棟09號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.53,商,,,1110411,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.63,2,1,1,有,無,9200000,92132.0,坡道平面,27.14,1600000,,RPSPMLQJNHHGFDC18CB,新橫濱-星野區,C棟02號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,15.53,商,,,1110412,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.61,3,1,2,有,無,10820000,91850.0,坡道平面,27.14,1500000,,RPTPMLQJNHHGFDC28CB,新橫濱-星野區,G棟01號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110414,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,8950000,90441.0,坡道平面,27.14,1400000,,RPUPMLQJNHHGFDC38CB,新橫濱-星野區,B棟09號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,21.01,商,,,1110416,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.84,4,1,2,有,無,13830000,88816.0,坡道平面,27.14,1600000,,RPWPMLQJNHHGFDC58CB,新橫濱-星野區,H棟03號,111_02
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.66,商,,,1110412,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.62,2,1,1,有,無,9600000,98227.0,坡道平面,27.14,1400000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPXPMLQJNHHGFDC68CB,新橫濱-星野區,C棟09號,111_02
