鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民權新路４５７號五樓,20.93,住,,,1110505,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,871102.0,128.01,3,1,2,有,有,7200000,56246.0,升降機械,0.0,0,,RPVOMLNLNHHGFBG48DA,79.28,0.0,9.38,有,,111_02
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東港路一段１８６巷２２弄５號,61.0,農,,,1110502,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,670328.0,76.0,3,3,2,有,無,4800000,63158.0,,0.0,0,增建一樓空地頂樓加蓋；其他增建；,RPPOMLOLNHHGFBG97DA,76.0,0.0,0.0,無,9.0,111_02
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路三段４６巷４２號,2278.0,,特定農業區,農牧用地,1110501,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1110321.0,429.62,5,2,6,有,無,29000000,67502.0,,0.0,0,私契簽訂時有未保存建物現在已完成保存登記:397建號土地總價:2610萬元整建物總價:290萬元整,RPXOMLOLNHHGFBG78DA,377.04,0.0,52.58,無,,111_02
五結鄉,房地(土地+建物),宜蘭縣五結鄉季水路８７之９號,175.62,,風景區,丙種建築用地,1110510,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1061005.0,316.85,6,2,7,有,無,26380000,83257.0,,0.0,0,,RPQNMLOLNHHGFAG97EA,297.69,0.0,19.16,有,10.0,111_02
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路２００號七樓之十一,11.54,住,,,1110510,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870812.0,75.4,1,1,1,有,有,5000000,66313.0,,0.0,0,車位：隨到隨停陽台外推；,RPPPMLNLNHHGFBG97DA,40.97,1.77,7.2,有,11.0,111_02
宜蘭市,土地,梅洲段640地號,460.0,,特定農業區,農牧用地,1110509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2208000,4800.0,,0.0,0,,RPSPMLRKNHHGFBG58DA,0.0,0.0,0.0,無,,111_02
員山鄉,房地(土地+建物),宜蘭縣員山鄉溫泉路９５之３號四樓之五,22.88,住,,,1110502,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071101.0,64.02000000000001,2,2,2,有,無,4950000,77320.0,,0.0,0,,RPPNMLOJNHHGFBG67DA,37.17,2.82,5.11,有,12.0,111_02
大同鄉,土地,破鐺坑二段6-5地號,2502.31,,森林區,農牧用地,1110503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7808000,3120.0,,0.0,0,,RPQNMLQLNHHGFAG08DA,0.0,0.0,0.0,無,,111_02
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉珍珠一路２８５巷３５號,382.72,,特定農業區,甲種建築用地,1110504,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,990402.0,453.58,5,3,6,有,有,16660000,36730.0,,0.0,0,,RPQPMLOLNHHGFAG08DA,423.89,0.0,29.69,有,,111_02
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮禮運路６２號六樓之５,4.85,住,,,1110506,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860401.0,43.21,1,1,1,有,有,2400000,55543.0,,0.0,0,陽台外推；,RPRPMLOLNHHGFAG18DA,26.1,0.0,6.93,有,13.0,111_02
蘇澳鎮,土地,蘇市段543-1地號,4.19,都市：其他:道路用地,,,1110518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,47733.0,,0.0,0,包含公共設施保留地用地；,RPSPMLOLNHHGFAG28DA,0.0,0.0,0.0,無,,111_02
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段３８７號,52.74,,鄉村區,乙種建築用地,1110509,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,701022.0,97.2,0,0,3,有,無,2200000,22634.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLPLNHHGFAG28DA,97.2,0.0,0.0,無,14.0,111_02
五結鄉,土地,利福段715地號,45.62,,一般農業區,農牧用地,1110511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130000,2850.0,,0.0,0,親友間買賣親友、員工、共有人或其他特殊關係間之交易；,RPSOMLOLNHHGFAG18DA,0.0,0.0,0.0,無,,111_02
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇東路６之１２號二樓,23.48,商,,,1110505,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780307.0,97.5,3,2,2,有,無,1800000,18462.0,,0.0,0,,RPSNMLTJNHHGFAG38DA,87.18,0.0,10.32,無,,111_02
