鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮大溪路一段619巷,92.76,,鄉村區,乙種建築用地,1110926,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,175.2,4,3,5,有,無,11100000,63356,,0.0,0,,RPRNMLPKIIHGFHN98CB,陶璽湖東特區,C棟7號,111_04
秀水鄉,房地(土地+建物),彰化縣秀水鄉近花秀路36之1號旁,95.44,其他,,,1111009,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,180.5,5,3,4,有,無,14300000,79224,,0.0,0,土地尚未分割，移轉時土地含持分面積以地政機關分割後之地號面積為準；建物以地政保存後面積為準。,RPPNMLPKIIHGFAN08CB,陶璽華龍特區,A棟4號,111_04
花壇鄉,房地(土地+建物),彰化縣花壇鄉楓腳巷73號,82.61,,鄉村區,乙種建築用地,1110927,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,170.84,4,3,3,有,無,9300000,54437,,0.0,0,建物以地政保存後面積為準。,RPQNMLPKIIHGFAN18CB,陶璽,A棟1號,111_04
田中鎮,房地(土地+建物),彰化縣田中鎮員集路三段,22.42,,鄉村區,乙種建築用地,1111007,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.34,2,2,1,有,無,4820000,65721,,0.0,0,,RPPNMLPKIIHGFEN48CB,弘景心世代,3F-G號,111_04
田中鎮,房地(土地+建物),彰化縣田中鎮員集路三段,22.2,,鄉村區,乙種建築用地,1111012,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.56,2,2,1,有,無,4830000,66566,,0.0,0,,RPQNMLPKIIHGFEN58CB,弘景心世代,4F-B號,111_04
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,15.29,住,,,1111013,土地1建物1車位1,地上001層、夾層001層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,81.19,0,1,1,有,無,10220000,141534,坡道機械,16.4,1050000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPPNMLQKIIHGFDN48CB,昌祐時代,住03號,111_04
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,住,,,1111013,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.61,3,2,2,有,無,11800000,89469,坡道平面,26.81,1350000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPQNMLQKIIHGFDN58CB,昌祐時代,H棟10F號,111_04
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,25.85,,鄉村區,乙種建築用地,1111008,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.66,2,2,1,有,無,8930000,88997,坡道平面,36.05,1400000,,RPPNMLQKIIHGFHN88CB,心里程,L棟3號,111_04
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,37.57,,鄉村區,乙種建築用地,1111011,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.25,3,2,2,有,無,12880000,92919,坡道平面,41.24,1450000,,RPQNMLQKIIHGFHN98CB,心里程,A棟11號,111_04
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉茄苳路一段179巷,37.01,住,,,1110921,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.83,3,1,2,有,無,6680000,77828,一樓平面,13.75,0,,RPPNMLRKIIHGFDN58CB,勝方豪門Ⅵ期,I棟4號,111_04
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮海埔段236地號,24.88,,鄉村區,乙種建築用地,1111017,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.13,3,2,1,有,無,6460000,78656,,0.0,0,,RPPNMLRKIIHGFCN48CB,鹿江風華,B棟5號,111_04
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮頂草路4段233巷,128.78,,特定農業區,甲種建築用地,1111017,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,184.4,5,2,5,有,無,12620000,68438,,0.0,0,,RPPNMLSKIIHGFCN58CB,永吉傳承第二期,D棟0號,111_04
田中鎮,房地(土地+建物)+車位,彰化縣田中鎮員集路三段,21.73,,鄉村區,乙種建築用地,1110926,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.74,2,2,1,有,無,5320000,67849,升降機械,14.7,500000,,RPPNMLTKIIHGFEN88CB,弘景心世代,8F-C號,111_04
田中鎮,房地(土地+建物)+車位,彰化縣田中鎮員集路三段,22.24,,鄉村區,乙種建築用地,1111014,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.48,2,2,1,有,無,5420000,67601,升降機械,14.7,500000,,RPQNMLTKIIHGFEN98CB,弘景心世代,8F-A號,111_04
員林市,房地(土地+建物),彰化縣員林市山腳路三段,97.55,住,,,1110923,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.12,4,3,3,有,無,9880000,64525,,0.0,0,,RPPNMLTKIIHGFDN78CB,寬薪3,B棟6號,111_04
員林市,房地(土地+建物),彰化縣員林市山腳路三段,100.13,住,,,1111011,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.16,4,3,3,有,無,9880000,64508,,0.0,0,,RPQNMLTKIIHGFDN88CB,寬薪3,B棟12號,111_04
秀水鄉,房地(土地+建物)+車位,彰化縣秀水鄉村西巷旁,105.51,,鄉村區,乙種建築用地,1111011,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,206.97,5,2,5,有,無,11200000,54114,一樓平面,0.0,0,,RPRNMLTKIIHGFAN68CB,長虹金城,A棟3號,111_04
秀水鄉,房地(土地+建物)+車位,彰化縣秀水鄉村西巷旁,105.51,,鄉村區,乙種建築用地,1111012,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,206.97,5,2,5,有,無,11500000,55564,一樓平面,0.0,0,,RPSNMLTKIIHGFAN78CB,長虹金城,A棟9號,111_04
秀水鄉,房地(土地+建物)+車位,彰化縣秀水鄉村西巷旁,128.51,,鄉村區,乙種建築用地,1111009,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,229.69,5,2,3,有,無,11500000,50067,一樓平面,0.0,0,,RPTNMLTKIIHGFAN88CB,長虹金城,A棟10號,111_04
秀水鄉,房地(土地+建物)+車位,彰化縣秀水鄉村西巷旁,109.01,,鄉村區,乙種建築用地,1111014,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,206.97,5,2,5,有,無,11250000,54356,一樓平面,0.0,0,,RPUNMLTKIIHGFAN98CB,長虹金城,B棟3號,111_04
秀水鄉,房地(土地+建物)+車位,彰化縣秀水鄉村西巷旁,105.51,,鄉村區,乙種建築用地,1111016,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,206.97,5,2,5,有,無,11200000,54114,一樓平面,0.0,0,,RPVNMLTKIIHGFAN09CB,長虹金城,A棟8號,111_04
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉金城街,40.0,,鄉村區,乙種建築用地,1111014,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.38,3,2,2,有,無,7550000,62718,升降機械,0.0,350000,1、本地號465表示為合併後使用地號，合併後總土地面積為2198平方米。2、本案件未坐落於原地號464土地內，故未表示。,RPWNMLTKIIHGFAN56CB,金墩菁城,C棟6F-C3號,111_04
芬園鄉,房地(土地+建物),彰化縣芬園鄉成功路,103.28,住,,,1110922,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,154.95,4,2,5,有,無,15500000,100032,,0.0,0,,RPXNMLTKIIHGFAN66CB,百居薰園,B棟3號,111_04
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路,26.0,住,,,1111005,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.16,2,2,2,有,無,6360000,71648,塔式車位,7.86,750000,,RPPNMLTKIIHGFHN56CB,賀里漾,B棟5號,111_04
埔心鄉,房地(土地+建物),彰化縣埔心鄉仁和路,93.5,,特定農業區,甲種建築用地,1110920,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,123.77,3,2,3,有,無,7680000,62051,,0.0,0,,RPQNMLTKIIHGFHN66CB,富貴莊院,A棟2號,111_04
埔心鄉,房地(土地+建物),彰化縣埔心鄉仁和路,95.77,,特定農業區,甲種建築用地,1110924,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,123.77,3,2,3,有,無,7500000,60596,,0.0,0,,RPRNMLTKIIHGFHN76CB,富貴莊院,A棟6號,111_04
埔心鄉,房地(土地+建物),彰化縣埔心鄉仁和路,97.04,,特定農業區,甲種建築用地,1110927,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,123.77,3,2,3,有,無,7680000,62051,,0.0,0,,RPSNMLTKIIHGFHN86CB,富貴莊院,A棟9號,111_04
埔心鄉,房地(土地+建物),彰化縣埔心鄉仁和路,94.69,,特定農業區,甲種建築用地,1110929,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,123.77,3,2,3,有,無,7600000,61404,,0.0,0,,RPTNMLTKIIHGFHN96CB,富貴莊院,A棟8號,111_04
