區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中區,-20,5,49,52,-26,-12,9,-86,-69,46,-7,26
東區,24,37,18,-51,-65,-26,-47,9,-31,-10,-84,-5
南區,100,31,-4,-11,56,87,141,31,42,-20,-50,55
西區,71,-24,104,-30,-19,-93,-87,-198,-62,-16,-11,22
北區,-90,-46,-129,-43,49,-18,105,-6,114,-2,-83,4
西屯區,286,64,112,76,28,65,164,95,118,168,148,28
南屯區,229,188,109,205,213,153,173,258,149,54,417,250
北屯區,598,225,269,243,247,173,324,525,462,219,170,227
豐原區,9,34,29,-18,-63,-92,17,-64,-74,-16,-63,14
東勢區,0,-36,2,-24,-44,-22,-7,-49,-53,-10,-5,-12
大甲區,-24,-46,-88,-91,-43,-29,-130,-168,-153,-77,-26,-28
清水區,55,63,55,42,22,54,120,111,68,10,4,61
沙鹿區,79,52,40,24,52,41,5,21,24,-14,55,-15
梧棲區,109,94,63,66,66,32,48,29,64,27,-7,10
后里區,45,-23,-38,-13,-30,13,-9,-26,-4,1,24,-12
神岡區,2,2,-44,18,-20,24,11,-36,-36,0,8,-4
潭子區,71,70,-12,-37,2,175,-48,36,-3,-38,-42,-15
大雅區,40,13,46,-55,-90,-32,-22,-103,-64,43,-11,-47
新社區,-1,-11,-23,-8,-18,-12,-21,-40,-18,-5,-1,-3
石岡區,-20,-5,-18,-7,-22,0,-3,-26,-20,6,-4,-23
外埔區,29,-3,7,-1,-6,-48,-2,5,30,-24,-13,-10
大安區,-25,3,-12,-15,-6,-18,-31,-10,-11,7,-4,-6
烏日區,92,54,34,-107,-21,-54,-54,-6,77,8,31,27
大肚區,-42,30,-1,14,-50,-20,-9,-28,-51,-9,-56,-44
龍井區,-42,-84,-32,-24,1,-6,55,-55,-14,16,0,37
霧峰區,0,-32,8,-40,-38,-15,-25,-51,-74,24,11,-9
太平區,324,134,100,204,128,134,81,166,18,38,58,107
大里區,112,-5,10,89,0,25,-11,-19,-39,-8,-15,-80
和平區,-3,-30,-21,-23,19,10,-14,-18,5,7,6,-14
總計,"2,008",754,633,435,322,489,733,297,395,425,450,541
