區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中區,15,-42,4,11,4,-29,-1,-11,-59,-24,-8,14
東區,-16,51,-13,-28,-4,-35,10,-69,-4,24,94,42
南區,35,-4,3,19,-91,23,-20,62,-84,-34,-24,165
西區,34,14,59,-94,-160,16,-166,-88,-133,-15,2,-32
北區,34,-192,-127,-79,-112,-48,-30,-27,-84,43,-57,-12
西屯區,94,63,-1,-23,-52,9,71,53,-47,26,182,483
南屯區,269,201,210,129,225,19,57,88,206,178,241,259
北屯區,120,206,361,192,238,174,149,227,257,135,294,656
豐原區,-33,-40,26,-109,-30,-54,-116,-74,-174,-19,-139,-50
東勢區,-42,-35,5,-24,-40,-33,-27,-59,-34,-57,-22,-23
大甲區,-32,-81,-70,-64,-68,-15,-71,-127,-135,-6,-19,-1
清水區,-12,-17,79,87,34,-6,53,36,12,46,90,58
沙鹿區,39,67,39,-27,-14,58,-4,-55,38,-2,9,33
梧棲區,-18,52,17,44,82,43,-14,15,13,17,35,2
后里區,-33,-14,-21,-30,-43,-11,-40,-37,-41,-14,-27,-3
神岡區,20,11,-42,-27,-68,10,8,-18,-40,-7,-6,-39
潭子區,4,-6,-34,41,-79,-17,-16,20,-41,-4,33,-46
大雅區,-50,-29,27,-37,-20,2,-11,-56,-38,12,-8,-78
新社區,7,15,-12,-12,-18,-12,-27,11,-10,-20,-19,-1
石岡區,-6,-7,-24,1,-1,4,6,-11,-7,6,10,11
外埔區,-25,-34,-30,-14,-17,0,-35,-21,-29,-14,-23,-24
大安區,-9,7,-10,-29,-34,-9,-3,-15,0,-28,-26,-14
烏日區,32,59,-6,31,8,3,111,-15,256,84,89,125
大肚區,3,-98,-38,-31,0,-19,-47,-11,-69,36,-12,50
龍井區,-2,89,-5,30,-36,-1,-46,-37,-62,16,-38,81
霧峰區,-24,-33,-19,4,-74,-10,18,-58,-28,-6,-6,-64
太平區,138,192,98,108,21,65,81,84,7,97,39,-22
大里區,-2,-39,48,-81,26,-77,35,106,13,2,85,-16
和平區,6,-4,-30,11,6,-12,-7,1,2,-4,6,-7
總計,546,352,494,-1,-317,38,-82,-86,-315,468,775,"1,547"
