區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中區,33,3,121,45,6,-6,-38,0,3,49,33,30
東區,212,102,177,117,115,94,169,172,81,90,96,113
南區,242,117,176,102,155,95,245,138,142,101,97,-8
西區,398,199,294,191,133,186,35,-30,5,87,27,100
北區,275,118,247,138,146,96,292,175,82,60,14,82
西屯區,561,361,476,337,248,311,392,188,125,160,192,221
南屯區,517,299,437,272,349,481,404,385,217,215,331,279
北屯區,"1,064",944,863,636,784,770,869,546,670,426,400,418
豐原區,282,106,141,128,65,30,148,-12,-84,77,3,45
東勢區,16,13,-3,10,-16,8,-43,5,-14,34,-3,-26
大甲區,148,51,74,15,-68,29,18,-59,-70,8,1,33
清水區,209,171,101,129,140,113,93,98,82,10,11,6
沙鹿區,198,219,190,83,173,55,147,251,167,125,123,48
梧棲區,95,53,69,56,144,167,172,122,39,85,100,83
后里區,74,27,45,21,-19,31,5,16,-35,18,-12,-21
神岡區,88,7,-47,53,-31,50,41,39,-13,15,-5,6
潭子區,141,-14,13,26,17,56,76,23,-27,30,-7,-9
大雅區,154,22,131,35,-4,-6,152,18,-43,7,-58,-1
新社區,-4,6,-1,-9,-4,23,24,-7,-32,-12,14,6
石岡區,16,-19,-2,22,8,9,3,-9,-5,-8,15,12
外埔區,14,-58,-15,7,8,-13,45,29,2,-26,-12,22
大安區,-12,-30,11,12,-5,-1,6,-13,-12,-10,-7,-20
烏日區,225,178,224,212,234,162,229,173,157,95,64,158
大肚區,35,-13,-35,13,-33,6,45,-4,-52,-3,-5,-8
龍井區,130,66,89,13,-13,61,33,60,54,35,10,69
霧峰區,25,9,9,-12,51,13,25,-83,-57,-31,17,-30
太平區,319,291,240,167,107,152,288,261,200,67,134,123
大里區,314,108,93,97,113,142,93,68,-5,38,-28,92
和平區,8,-22,9,-1,-1,-21,5,-21,-9,-3,-21,15
總計,"5,777","3,314","4,127","2,915","2,802","3,093","3,973","2,529","1,568","1,739","1,524","1,838"
