區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中區,33,40,59,20,35,-11,3,11,16,18,19,10
東區,115,115,143,138,129,145,166,93,72,19,43,-6
南區,56,76,87,-12,-29,-4,43,69,-21,149,45,41
西區,176,141,101,113,-16,55,91,-23,-80,37,127,71
北區,-28,8,-46,-38,-29,46,6,-96,-139,128,99,64
西屯區,203,183,168,-37,87,125,54,3,-57,182,224,366
南屯區,189,144,279,106,327,222,205,170,260,213,329,390
北屯區,638,596,564,380,474,385,442,618,553,686,706,703
豐原區,28,-11,37,80,-53,-30,-50,-51,-132,-48,-53,-70
東勢區,-65,-7,-10,-16,-26,-3,35,14,29,26,7,-30
大甲區,12,33,-24,-19,-99,2,-39,-49,-130,-36,-40,41
清水區,18,9,23,124,87,38,41,61,52,129,102,33
沙鹿區,145,70,154,44,95,137,140,143,161,82,70,100
梧棲區,112,137,112,75,164,137,225,178,192,146,152,106
后里區,-57,-17,-1,14,1,13,-12,-2,-65,-38,-14,3
神岡區,-6,-22,-31,-14,-46,9,-14,-1,-28,-57,-7,-16
潭子區,25,44,0,18,-29,-40,82,124,153,60,79,29
大雅區,-36,16,-8,-5,-52,10,-7,-85,-47,-54,-89,-68
新社區,3,-20,17,-1,14,-21,-49,-43,8,3,-4,6
石岡區,24,-13,-13,-29,-13,-4,-13,-22,-46,1,6,-13
外埔區,2,-61,-41,12,15,-1,6,-6,-24,-19,-14,-27
大安區,-10,-25,-4,-6,-18,-15,-19,-7,-22,-5,-25,-40
烏日區,81,135,-1,83,132,59,76,135,101,136,55,149
大肚區,-4,13,36,-25,-13,6,52,-45,-53,51,-14,-79
龍井區,77,23,40,100,85,-11,70,-11,72,99,57,61
霧峰區,32,-44,-76,-48,-21,-11,17,21,-78,-26,-2,-18
太平區,232,82,137,81,102,78,109,74,231,367,318,195
大里區,15,59,-6,-17,3,-84,-33,-23,-105,-38,43,-12
和平區,4,-11,-22,-19,-4,-4,-13,17,-8,-30,1,0
總計,"2,014","1,693","1,674","1,102","1,302","1,228","1,614","1,267",865,"2,181","2,220","1,989"
