"區域別","總計"
"中區","19,338"
"東區","74,944"
"南區","120,182"
"西區","115,767"
"北區","147,529"
"西屯區","218,788"
"南屯區","162,100"
"北屯區","260,117"
"豐原區","166,472"
"東勢區","51,473"
"大甲區","77,575"
"清水區","85,969"
"沙鹿區","87,905"
"梧棲區","56,666"
"后里區","54,119"
"神岡區","64,941"
"潭子區","105,280"
"大雅區","92,721"
"新社區","25,243"
"石岡區","15,391"
"外埔區","31,796"
"大安區","19,631"
"烏日區","71,550"
"大肚區","56,388"
"龍井區","76,169"
"霧峰區","64,495"
"太平區","181,807"
"大里區","206,536"
"和平區","10,817"
"總計","2,721,709"
