區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
彰化市,8,-75,-102,-114,-155,-102,-175,-226,-274,-88,-130,-171
鹿港鎮,-23,-74,-72,-44,-41,-29,-31,-72,-84,-41,-35,-54
和美鎮,-55,-48,-87,-79,-59,-85,60,-56,-68,-45,-77,-112
北斗鎮,-13,4,-22,40,-7,-14,1,-9,-1,-17,-12,-20
員林鎮,43,-32,14,8,-72,13,-71,-98,-282,-51,-368,-239
溪湖鎮,-24,-4,-29,-52,-36,-61,-41,-27,-72,-58,-36,-67
田中鎮,-21,-63,-15,-32,-35,-17,-54,-57,-38,-26,-45,-71
二林鎮,-50,-29,-51,12,-10,-25,-9,-27,-24,-18,-51,-1
線西鄉,-17,-9,-24,-6,-11,6,-7,-29,-1,8,-23,-7
芬園鄉,-7,-36,-31,-2,-14,10,0,-9,-4,-9,-23,-59
伸港鄉,37,-11,-12,11,29,1,12,32,5,5,-11,0
福興鄉,-55,0,-57,-32,-12,-26,-23,-47,-18,-35,-44,-60
秀水鄉,-7,4,-21,-14,-17,-9,-28,-52,-30,-13,-39,-44
花壇鄉,-59,-44,-35,-18,-8,-45,-3,6,-54,-1,-87,-65
大村鄉,-14,-21,-9,12,6,27,24,56,279,89,497,297
埔鹽鄉,-25,-45,-2,-14,-14,-11,-9,7,-42,4,-37,-49
埔心鄉,12,-21,-62,-34,-3,-15,26,9,-36,-19,-62,-71
永靖鄉,-56,-53,3,-19,-16,-27,-62,-15,-44,-13,-9,-28
社頭鄉,-14,0,-41,-5,-3,-13,0,-10,-8,-25,-21,-44
二水鄉,-14,9,-20,-34,1,1,5,-17,-6,5,-18,-19
田尾鄉,-17,-5,-45,-30,-5,-25,-35,-19,-32,-58,-25,-10
埤頭鄉,2,-30,-23,-48,-42,-10,-36,-61,-22,7,-28,-47
芳苑鄉,-17,-7,-14,-25,-4,-14,4,-15,-61,2,-30,-53
大城鄉,-13,-10,-41,-15,-12,8,-4,-9,-12,-12,-25,-5
竹塘鄉,5,-13,-22,-6,-12,8,-5,4,-9,-16,8,4
溪州鄉,-26,-49,-7,-24,-30,3,5,-38,7,3,-11,-5
總計,-420,-662,-827,-564,-582,-451,-456,-779,-931,-422,-742,"-1,000"
