區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
彰化市,-149,-185,-169,-93,-211,-153,-134,-181,-80,9,-73,-81
鹿港鎮,-14,-12,-64,0,-66,-15,-17,-18,-79,16,-30,3
和美鎮,-44,-57,-106,-92,-49,-35,-80,9,-8,-22,-6,-70
北斗鎮,-43,-8,-31,-16,-28,-11,-18,8,-7,12,3,-29
員林鎮,-58,-69,35,-33,-39,-7,-42,-28,63,1,3,58
溪湖鎮,-31,-2,-36,-59,-52,-24,-77,-8,-61,-13,-31,-32
田中鎮,8,-21,-28,-34,-46,1,-40,-50,-25,12,-12,-33
二林鎮,-24,7,-57,-19,-34,-24,-26,-2,-14,-41,-53,-103
線西鄉,-10,-1,5,-13,1,-23,-11,-13,-13,-15,-2,-13
芬園鄉,-27,-7,-84,1,8,-8,22,-14,-21,4,0,-35
伸港鄉,-20,-9,-10,-24,18,16,-5,12,13,27,14,9
福興鄉,-46,-41,-39,-23,-13,-12,11,-22,-19,-27,-36,-88
秀水鄉,33,-48,-48,-49,-7,-30,18,-7,-15,0,-16,-13
花壇鄉,-49,-6,-11,-4,-25,-3,23,32,-34,-37,-27,-63
大村鄉,-21,-9,-23,-16,-39,24,22,12,-25,-17,16,4
埔鹽鄉,-19,-13,4,-18,7,9,5,-10,2,-27,-24,-32
埔心鄉,-53,-5,-28,-21,1,14,-1,-9,23,1,-11,2
永靖鄉,-11,-64,-15,-8,-47,-19,-12,-19,-43,-16,-24,-65
社頭鄉,-22,-18,-73,6,-56,-23,-4,-64,-9,-41,-27,-38
二水鄉,-29,-4,-9,14,-9,9,4,-24,-14,2,-28,-11
田尾鄉,29,-9,6,10,2,0,-40,-47,-31,7,-3,-13
埤頭鄉,-4,29,12,-17,-36,-36,12,-23,-25,-19,-9,-6
芳苑鄉,-17,-20,-14,-7,-17,-6,2,-6,-20,-1,-9,-40
大城鄉,-19,-2,-15,-15,-3,7,-14,-7,-13,-6,-16,-28
竹塘鄉,-28,-22,-8,21,-7,-10,-2,-19,-23,-25,-10,-9
溪州鄉,-66,-29,-43,-17,10,8,-4,-54,-6,-1,0,-30
總計,-734,-625,-849,-526,-737,-351,-408,-552,-484,-217,-411,-756
