區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
彰化市,-272,-266,-415,-485,-233,103,-155,-87,-203,83,58,111
鹿港鎮,-54,-37,-74,-266,-33,21,-13,-7,-72,20,11,17
和美鎮,-87,-99,-131,-175,-54,-32,-78,-80,-15,-33,-25,0
北斗鎮,-10,-23,-3,-37,-17,11,17,28,-2,-8,6,2
員林鎮,-69,-67,-273,-262,41,67,24,9,55,-24,18,137
溪湖鎮,-31,-79,-59,-75,28,3,-11,-14,-45,11,27,6
田中鎮,-29,-31,-69,-121,16,7,17,-8,-37,-7,12,4
二林鎮,-70,-46,-81,-65,36,13,-24,-27,-54,-46,-56,-21
線西鄉,-20,-26,-20,-49,-5,27,3,-6,-28,0,-4,-11
芬園鄉,-25,-22,-72,-58,-12,20,1,2,-16,12,-28,-38
伸港鄉,16,-9,-27,-45,10,27,7,-16,13,-2,19,9
福興鄉,-80,-62,-129,-88,-28,-25,-17,-39,-21,-3,4,-4
秀水鄉,-43,-60,-105,-48,-29,11,-1,-28,-43,-2,-42,22
花壇鄉,-52,-62,-116,-131,-14,16,-13,-18,-42,-28,12,-31
大村鄉,23,0,-5,19,72,118,28,40,25,79,64,81
埔鹽鄉,-17,-32,-51,-48,6,-10,-42,12,-23,-9,7,-11
埔心鄉,16,-14,-60,-68,-7,17,12,5,8,-4,-21,-18
永靖鄉,-26,-22,-50,-52,-17,-9,-15,-50,-28,6,-11,-22
社頭鄉,-45,-50,-80,-41,-10,4,-34,8,-46,-16,-20,14
二水鄉,-26,1,-43,-3,8,3,14,-19,2,13,8,-20
田尾鄉,-37,-51,-86,-60,12,1,28,5,-28,-18,-2,-25
埤頭鄉,-40,-26,-51,-60,-28,14,-15,-11,-55,13,-5,0
芳苑鄉,-18,-36,-48,-40,1,13,-13,-14,-23,-3,8,-39
大城鄉,-23,4,-35,19,-10,9,-3,-26,-9,7,-6,-21
竹塘鄉,-2,-2,-9,-15,-10,-15,-18,-23,17,-2,2,-19
溪州鄉,-30,-20,-35,-46,17,-12,4,-19,8,7,-4,-16
總計,"-1,051","-1,137","-2,127","-2,300",-260,402,-297,-383,-662,46,32,107
