區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
彰化市,-1,-73,-23,-139,-146,-93,-178,-168,-156,-55,2,27
鹿港鎮,22,-71,37,25,-12,9,34,-39,1,-34,-35,34
和美鎮,-17,-6,-30,-7,68,-25,-38,-17,-38,-15,-15,-7
北斗鎮,9,-3,-21,4,-1,2,5,-46,-11,9,-19,24
員林鎮,-17,-7,-43,-80,-46,-69,-9,-13,-76,-13,23,-16
溪湖鎮,-8,-17,9,-45,-56,8,-15,-17,-29,-20,-20,-27
田中鎮,-21,-27,-27,-35,-6,5,3,-11,-41,0,-12,-29
二林鎮,-13,-16,-85,-62,-45,-30,-37,-53,-32,-9,-3,-40
線西鄉,-3,-24,-11,-12,-3,-24,-36,-9,-25,20,3,-3
芬園鄉,-30,12,-47,-20,-22,-14,9,-1,0,-27,-9,-9
伸港鄉,19,2,-15,-31,-34,12,37,43,31,31,10,-17
福興鄉,-19,2,-88,-46,-30,-31,-84,-10,-27,-20,-12,0
秀水鄉,-3,-30,6,-24,12,8,0,-37,-16,-2,1,-18
花壇鄉,-40,2,-21,-33,-12,-41,10,-21,-16,10,0,3
大村鄉,2,-33,-26,21,-29,-13,13,-1,31,-11,-15,18
埔鹽鄉,-22,-9,-17,-41,-16,-47,-41,-18,-11,-25,-1,-15
埔心鄉,-60,27,10,-34,15,-11,-25,-31,-15,-17,-2,-18
永靖鄉,-22,-9,-38,-16,1,0,-30,-49,-27,-20,-21,-18
社頭鄉,-19,-10,-36,-44,-29,-7,-45,-13,-24,-1,-33,2
二水鄉,-11,-27,-21,-11,-31,-6,-16,-22,-9,1,-5,2
田尾鄉,-24,-16,-10,-35,-45,-10,-9,-20,-6,-15,2,-15
埤頭鄉,-8,-5,-38,-39,-31,-2,-43,-17,-10,-10,-23,12
芳苑鄉,-46,-28,-49,-60,-31,-10,-6,-33,-23,-21,-18,23
大城鄉,-12,5,-46,-25,-27,-29,-8,-11,-11,-23,0,-9
竹塘鄉,-15,-12,-32,-5,-13,-28,-26,-31,-15,-2,1,0
溪州鄉,-37,-18,-36,-27,-2,-26,7,-11,-15,12,-7,-13
總計,-396,-391,-698,-821,-571,-472,-528,-656,-570,-257,-208,-109
