區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
彰化市,-36,7,-47,-40,-138,-51,-135,-263,-240,-123,-148,-124
鹿港鎮,28,-3,-47,37,59,-7,10,-51,-11,-37,-29,-75
和美鎮,-5,-37,-23,-14,20,0,4,-60,-69,-83,-51,-80
北斗鎮,-15,6,11,5,1,-7,9,6,-34,-24,-8,-29
員林鎮,52,-7,69,2,-57,18,-68,-81,-187,-79,-67,-50
溪湖鎮,3,18,-35,-7,-28,-25,0,-49,-32,-52,-26,2
田中鎮,-16,-6,-25,-5,-24,0,-13,-44,-21,-37,-50,-27
二林鎮,-29,9,-11,-2,-57,-24,-11,-63,-47,-53,-33,-13
線西鄉,-7,-10,-17,-4,-5,-9,16,-20,-7,-24,-22,-13
芬園鄉,8,-7,-21,-18,-10,-18,-11,-4,-27,-23,-18,-6
伸港鄉,54,10,-3,-17,6,-17,13,48,-11,20,3,26
福興鄉,-22,-15,3,-23,-35,-49,-62,-34,-44,-11,-6,17
秀水鄉,-4,-13,-5,9,-11,-13,-11,-10,-36,-40,-35,7
花壇鄉,75,20,-80,1,-2,-2,30,10,22,-2,-49,-26
大村鄉,-17,48,5,22,-6,10,39,27,19,-24,5,-23
埔鹽鄉,-33,-49,25,-17,-10,9,1,-27,-51,-30,-13,-34
埔心鄉,-51,3,-23,-19,17,-2,1,19,-9,-3,20,-33
永靖鄉,6,-25,-31,27,-34,0,-12,-55,-63,-33,4,-29
社頭鄉,-21,-14,-15,-41,-23,-62,-4,-31,-30,-56,-23,-10
二水鄉,0,0,-2,-4,6,2,-8,-18,-13,-3,-9,-24
田尾鄉,1,1,18,-2,7,6,10,-18,-4,6,-35,-4
埤頭鄉,3,-7,-15,2,10,3,-40,19,-60,-1,-7,-12
芳苑鄉,-29,-49,-38,-23,-38,-1,8,7,-33,-4,-6,-27
大城鄉,-1,-9,-29,-13,-5,-13,5,-15,-20,-2,-14,-10
竹塘鄉,-12,-2,-16,-2,-6,-2,-4,-6,-18,-11,-8,11
溪州鄉,4,-9,-20,6,-21,-10,3,-24,-5,-24,-20,-3
總計,-64,-140,-372,-140,-384,-264,-230,-737,"-1,031",-753,-645,-589
