區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
花蓮市,59,-25,-21,56,-33,-12,25,-73,-35,47,39,4
鳳林鎮,19,12,-3,6,-11,-12,0,-22,-13,-6,-9,4
玉里鎮,-1,8,-14,-20,3,-33,1,2,-6,-17,-4,1
新城鄉,49,18,14,-22,18,47,31,35,-26,-4,2,-3
吉安鄉,121,-2,113,80,90,40,22,100,-2,28,33,28
壽豐鄉,2,20,-7,5,-13,-17,19,0,-28,-19,-36,-22
光復鄉,13,-25,-34,-25,-13,-27,-16,14,2,-5,6,-12
豐濱鄉,0,-3,-14,-2,4,-17,-7,-4,2,-3,0,-11
瑞穗鄉,-9,7,15,1,-24,-17,-8,-27,2,-8,-18,-8
富里鄉,1,14,-8,-6,-9,-7,6,12,4,23,-8,9
秀林鄉,39,28,32,5,-17,21,4,16,27,-4,41,-11
萬榮鄉,0,-17,-5,2,-7,-16,1,3,2,-7,6,-10
卓溪鄉,-5,-3,-12,2,-5,-18,-6,-3,-9,3,-8,-15
總計,288,32,56,82,-17,-68,72,53,-80,28,44,-46
