區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
花蓮市,-3,11,-23,31,-43,-71,-17,9,-33,-66,-6,20
鳳林鎮,-17,-1,0,12,-14,-4,-6,4,-9,-6,-13,-1
玉里鎮,-15,-16,1,-9,-3,-12,-23,-4,-21,-10,8,19
新城鄉,6,8,-39,35,11,16,32,43,16,-10,-2,7
吉安鄉,67,13,8,-5,-62,27,13,29,80,98,23,-8
壽豐鄉,22,0,3,-17,11,-12,16,6,-26,-12,3,10
光復鄉,-8,-13,-13,-1,-6,-14,6,2,-6,13,-3,0
豐濱鄉,-10,-2,-8,2,-2,5,2,-6,5,13,-4,-12
瑞穗鄉,1,-11,-16,-8,-15,2,2,-7,0,-13,6,-21
富里鄉,-9,-12,-12,-8,-6,1,-3,20,-9,2,2,-7
秀林鄉,-35,-23,5,-27,-36,-2,6,13,40,24,-11,-24
萬榮鄉,4,20,-2,-17,1,4,-7,16,9,16,-13,-5
卓溪鄉,-6,3,-3,-5,-15,2,3,5,-2,-1,-3,-9
總計,-3,-23,-99,-17,-179,-58,24,130,44,48,-13,-31
