區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
花蓮市,-27,-7,-26,0,-79,3,-77,-68,-127,-123,-36,-65
鳳林鎮,-12,3,24,8,-12,-4,4,-18,4,1,-12,-2
玉里鎮,-12,-25,-10,-5,4,-20,-4,7,-10,-19,-25,22
新城鄉,-10,-24,11,7,7,2,17,29,9,3,-10,20
吉安鄉,32,43,-26,6,67,61,46,77,47,3,39,25
壽豐鄉,-11,-24,-20,-17,2,8,-3,48,4,3,24,27
光復鄉,-21,-10,9,-6,-15,-1,4,-2,-26,-2,-27,5
豐濱鄉,7,-1,0,-13,-9,5,-4,-10,-4,0,-14,-6
瑞穗鄉,-21,23,-19,-3,-11,-13,-13,-10,-32,4,-5,-6
富里鄉,-3,22,14,6,-5,-10,13,0,-4,0,3,-7
秀林鄉,8,28,-8,-27,13,28,25,-6,53,-7,-23,-3
萬榮鄉,1,10,-1,5,8,6,5,0,9,-3,7,-8
卓溪鄉,6,17,3,-10,-28,-1,-8,42,-5,4,-7,5
總計,-63,55,-49,-49,-58,64,5,89,-82,-136,-86,7
