區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
花蓮市,-43,-79,-111,-21,3,-68,-147,-88,-71,-46,-33,65
鳳林鎮,18,17,3,6,20,-10,4,11,7,-6,2,-3
玉里鎮,-16,4,9,-16,-21,3,-7,-2,-4,-32,-19,2
新城鄉,26,-20,16,9,24,-3,10,13,-4,-36,-6,-60
吉安鄉,7,43,39,20,27,38,48,24,-97,-2,10,-69
壽豐鄉,-7,-15,16,-14,-10,-10,-11,-4,-9,-4,1,-19
光復鄉,3,2,-2,14,-12,-3,-5,-7,-11,-13,-19,-10
豐濱鄉,-7,-9,-7,-9,-18,1,-15,-1,7,-1,8,-9
瑞穗鄉,-6,-25,-6,-11,16,-8,11,-3,-13,8,-16,5
富里鄉,-2,-14,-3,-13,-22,-9,4,-1,-2,-12,10,-1
秀林鄉,-13,5,-15,14,-11,-6,-29,34,69,50,43,-4
萬榮鄉,-8,-8,4,0,-20,-16,-5,9,-15,-13,-5,-2
卓溪鄉,-6,20,-6,0,-12,-3,-2,16,1,-7,-7,4
總計,-54,-79,-63,-21,-36,-94,-144,1,-142,-114,-31,-101
