區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
花蓮市,34,-69,35,-22,-14,-120,-174,-66,-152,-35,-25,-43
鳳林鎮,-13,11,-1,1,-19,-17,-4,-19,-5,20,-3,10
玉里鎮,-8,-31,-8,-4,-14,-33,-35,-5,8,-39,-13,-9
新城鄉,-5,-20,-21,17,-57,-3,-21,14,6,19,-20,26
吉安鄉,10,44,8,18,30,185,125,48,121,-28,73,8
壽豐鄉,9,-13,-15,-15,8,-6,48,-20,21,22,-8,7
光復鄉,-5,-10,-56,-13,-14,12,14,-4,-15,3,-25,-2
豐濱鄉,-21,0,-12,-22,-5,-15,-15,-17,-3,2,2,-10
瑞穗鄉,-31,4,-28,-8,6,3,-16,-15,-23,9,10,0
富里鄉,-19,-6,-27,-11,-9,-1,-11,-14,-21,4,-18,-8
秀林鄉,7,1,-11,0,-3,0,7,12,34,58,13,0
萬榮鄉,0,-14,-1,-14,-24,13,-7,-19,-7,-25,7,-7
卓溪鄉,-19,-14,-22,-28,-24,-6,-15,7,-19,-3,-11,-3
總計,-61,-117,-159,-101,-139,12,-104,-98,-55,7,-18,-31
