"區域別","總計"
"花蓮市","106,393"
"鳳林鎮","11,216"
"玉里鎮","25,359"
"新城鄉","20,277"
"吉安鄉","82,589"
"壽豐鄉","18,231"
"光復鄉","13,381"
"豐濱鄉","4,684"
"瑞穗鄉","12,066"
"富里鄉","10,817"
"秀林鄉","15,509"
"萬榮鄉","6,525"
"卓溪鄉","6,193"
"總計","333,240"
