鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮成功路,26.08,住,,,1130331,土地3建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.91,3,2,2,有,無,11800000,90586,坡道平面,26.31,1600000,,RPUNMLMLMHJGFBM88CB,昌祐敦和,N棟6號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市華陽路82巷,83.43,其他,,,1130331,土地3建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,160.89,4,3,5,有,無,15390000,95655,一樓平面,0.0,0,,RPPNMLMLMHJGFAM38DB,玖岩豐華,B25棟0號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市華陽路82巷,58.43,其他,,,1130414,土地3建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,148.53,4,3,5,有,無,13880000,93449,一樓平面,0.0,0,,RPQNMLMLMHJGFAM48DB,玖岩豐華,C2棟0號,,113_02
草屯鎮,房地(土地+建物)+車位,南投縣草屯鎮北投路,27.76,,鄉村區,乙種建築用地,1130422,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,141.95,3,2,2,有,無,10130000,84135,坡道平面,37.0,1300000,,RPPNMLMLMHJGFBM48DB,群合IDO,D棟11號,,113_02
埔里鎮,房地(土地+建物)+車位,南投縣埔里鎮北平街,20.15,商,,,1130420,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.76,3,2,2,有,無,12200000,91015,坡道平面,25.0,1300000,,RPPNMLMLMHJGFCM58DB,寬心璽玥,F棟8號,,113_02
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉愛鄉路,25.47,,鄉村區,乙種建築用地,1130416,土地2建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.47,1,0,1,有,無,10750000,103776,坡道平面,25.89,1350000,,RPPNMLNLMHJGFDM68CB,杉也先生,A3棟5F號,,113_02
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉愛鄉路,21.07,,鄉村區,乙種建築用地,1130413,土地2建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.78,1,0,1,有,無,9080000,103886,坡道平面,25.89,1300000,,RPQNMLNLMHJGFDM78CB,杉也先生,A5棟7F號,,113_02
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉愛鄉路,19.76,,鄉村區,乙種建築用地,1130408,土地2建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.15,1,0,1,有,無,8780000,105750,一樓平面,25.89,1350000,,RPRNMLNLMHJGFDM88CB,杉也先生,A12棟8F號,,113_02
鹿谷鄉,房地(土地+建物)+車位,南投縣鹿谷鄉愛鄉路,19.76,,鄉村區,乙種建築用地,1130415,土地2建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.15,1,0,1,有,無,8830000,105750,一樓平面,25.89,1400000,,RPSNMLNLMHJGFDM98CB,杉也先生,A13棟8F號,,113_02
南投市,房地(土地+建物)+車位,南投縣南投市彰南路二段630巷,26.7,住,,,1130328,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,93.92,2,1,2,有,無,7950000,91639,坡道平面,19.17,1100000,,RPPNMLNLMHJGFAM48DB,福崗晴園,F棟3號,,113_02
