鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.77,商,,,1130806,土地2建物1車位1,八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.92,2,2,1,有,無,10400000,116236.0,坡道機械,10.19,900000,,RPPOMLTKQHJGFBD58CB,南科卓越城,B棟B01-08F號,,113_03
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.77,商,,,1130807,土地2建物1車位1,二十六層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.42,2,2,1,有,無,12280000,127004.0,坡道平面,19.69,1900000,,RPQOMLTKQHJGFBD68CB,南科卓越城,B棟B01-26F號,,113_03
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.61,商,,,1130808,土地2建物1車位1,二十四層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.96,2,2,1,有,無,10700000,109381.0,坡道平面,21.05,1850000,,RPROMLTKQHJGFBD78CB,南科卓越城,C棟C03-24F號,,113_03
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,10.23,商,,,1130808,土地2建物1車位1,十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.63,2,2,1,有,無,11650000,122308.0,坡道機械,10.19,1200000,,RPSOMLTKQHJGFBD88CB,南科卓越城,C棟C10-10F號,,113_03
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,10.39,商,,,1130808,土地2建物1車位1,二十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.13,2,2,1,有,無,13180000,127814.0,坡道平面,21.05,2050000,,RPTOMLTKQHJGFBD98CB,南科卓越城,C棟C12-25F號,,113_03
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,12.71,商,,,1130809,土地2建物1車位1,二十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.59,3,2,2,有,無,14740000,121926.0,坡道平面,21.05,1750000,,RPUOMLTKQHJGFBD09CB,南科卓越城,D棟D12-25F號,,113_03
安南區,房地(土地+建物)+車位,臺南市安南區館前一路與館前南路交叉口,9.61,商,,,1130802,土地2建物1車位1,二十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.88,2,2,1,有,無,11310000,117249.0,坡道平面,21.05,1950000,,RPVOMLTKQHJGFBD56CB,南科卓越城,E棟E07-25F號,,113_03
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,15.01,住,,,1130731,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.91,2,2,2,有,無,12500000,126261.0,坡道平面,21.67,1990000,,RPPNMLTKQHJGFCD58CB,研森,B棟3號,,113_03
東區,房地(土地+建物)+車位,臺南市東區崇賢二路,15.01,住,,,1130724,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.91,2,2,2,有,無,12980000,132989.0,坡道平面,21.67,1910000,,RPQNMLTKQHJGFCD68CB,研森,B棟3號,,113_03
東區,房地(土地+建物)+車位,臺南市東區裕農路350巷,24.54,住,,,1130727,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,155.06,2,2,2,有,無,19530000,147537.0,坡道平面,36.92,2100000,,RPRNMLTKQHJGFCD78CB,裕璽,V棟11-V號,,113_03
東區,房地(土地+建物)+車位,臺南市東區裕農路350巷,24.54,住,,,1130727,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,155.06,2,2,2,有,無,19360000,146098.0,坡道平面,36.92,2100000,,RPSNMLTKQHJGFCD88CB,裕璽,V棟12-V號,,113_03
東區,房地(土地+建物)+車位,臺南市東區裕農路350巷,22.22,住,,,1130727,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.8,2,2,2,有,無,16470000,136321.0,坡道平面,36.92,1900000,,RPTNMLTKQHJGFCD98CB,裕璽,E棟3-E號,,113_03
東區,房地(土地+建物)+車位,臺南市東區裕農路350巷,26.64,住,,,1130727,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,165.1,2,2,2,有,無,20190000,141910.0,坡道平面,36.92,2000000,,RPUNMLTKQHJGFCD09CB,裕璽,O棟6-O號,,113_03
官田區,房地(土地+建物),臺南市官田區大同街34號旁,41.65,住,,,1130808,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.25,2,2,2,有,無,6080000,69685.0,,0.0,0,,RPPNMLTKQHJGFFD88CB,佳定-佳璽成佳,A2棟4號,,113_03
官田區,房地(土地+建物),臺南市官田區大同街34號旁,41.65,住,,,1130808,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.25,2,2,2,有,無,6090000,69799.0,,0.0,0,,RPQNMLTKQHJGFFD98CB,佳定-佳璽成佳,A3棟4號,,113_03
