鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,33.19,,特定農業區,甲種建築用地,1130714,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.35,3,2,2,有,無,12140000,96393,坡道平面,26.45,1450000,,RPQNMLNLPHJGFBQ66CB,幸福168,7A1號,,113_03
中埔鄉,房地(土地+建物),嘉義縣中埔鄉富收村庄內,148.4,,鄉村區,乙種建築用地,1130701,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,148.42,3,2,3,有,無,13200000,88937,,0.0,0,,RPPNMLNLPHJGFDQ76CB,觀武意墅No.13,C1棟0號,,113_03
民雄鄉,房地(土地+建物),嘉義縣民雄鄉山中村牛斗山209號旁,26.45,,鄉村區,乙種建築用地,1130630,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.49,2,2,2,有,無,5840000,72556,,0.0,0,,RPPNMLRLPHJGFCQ07CB,豐收6期,3F-E號,,113_03
中埔鄉,房地(土地+建物),嘉義縣中埔鄉中庄仔段61地號等18筆福興路幸福十街交叉口,20.09,住,,,1130710,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.78,2,2,2,有,無,5700000,84096,,0.0,0,,RPPNMLRLPHJGFDQ17CB,元森和睦,1棟4A7號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,28.79,,特定農業區,甲種建築用地,1130714,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.63,2,2,2,有,無,10680000,96486,坡道平面,26.45,1400000,,RPPNMLKMPHJGFBQ98CB,幸福168,11B2號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,25.94,,特定農業區,甲種建築用地,1130717,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.14,2,2,2,有,無,9770000,97704,坡道平面,26.45,1300000,,RPRNMLKMPHJGFBQ56CB,幸福168,10B1號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,25.69,,特定農業區,甲種建築用地,1130714,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.29,2,2,2,有,無,9240000,92498,坡道平面,26.45,1300000,,RPSNMLKMPHJGFBQ66CB,幸福168,3B1號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,24.98,,特定農業區,甲種建築用地,1130717,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.92,2,2,2,有,無,10710000,112735,坡道平面,26.45,1300000,,RPTNMLKMPHJGFBQ76CB,幸福168,2A2號,,113_03
朴子市,房地(土地+建物)+車位,嘉義縣朴子市嘉47-1鄉道,28.63,,特定農業區,甲種建築用地,1130718,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.1,2,2,2,有,無,10290000,93988,坡道平面,26.45,1300000,,RPVNMLKMPHJGFBQ96CB,幸福168,3B2號,,113_03
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,118.37,,鄉村區,乙種建築用地,1130720,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.98,4,3,4,有,無,10580000,60120,,0.0,0,,RPPNMLKMPHJGFCQ09CB,新社團三期,A棟10號,,113_03
