鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
社頭鄉,房地(土地+建物),彰化縣社頭鄉高鐵北三路,125.13,住,,,1121114,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,219.29,5,0,5,有,無,18150000,82767,,0.0,0,,RPRNMLMLJIIGFEN78DB,典長呈美,C棟2號,,113_01
社頭鄉,房地(土地+建物),彰化縣社頭鄉雙義路,120.38,住,,,1121114,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,171.86,5,0,5,有,無,16000000,93099,,0.0,0,,RPSNMLMLJIIGFEN88DB,典長呈美,B棟1號,,113_01
二林鎮,房地(土地+建物)+車位,彰化縣二林鎮四維街VS樂群街,16.59,住,,,1121117,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,91.49,2,2,2,有,無,6620000,71125,一樓平面,13.88,1100000,,RPPNMLNLJIIGFGN78CB,左岸玫瑰-2,B棟6號,,113_01
大村鄉,房地(土地+建物),彰化縣大村鄉茄苳路一段,102.22,農,,,1121119,土地13建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,154.18,4,2,4,有,無,11900000,77183,,0.0,0,270-23~270-64地號共450萬元；274、274-2地號共26萬元,RPPNMLNLJIIGFDN58DB,大村A2,A棟11號,,113_01
福興鄉,房地(土地+建物),彰化縣福興鄉彰鹿路六段314巷,106.15,,特定農業區,甲種建築用地,1121122,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,150.0,4,3,3,有,無,12200000,81333,,0.0,0,,RPPNMLOLJIIGFCN48CB,丰鹿拾光,C棟6號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市員水路一段580巷166弄巷底,37.71,,鄉村區,乙種建築用地,1121114,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.59,3,2,2,有,無,10150000,81546,一樓平面,22.61,1100000,,RPPNMLOLJIIGFDN58CB,滬億瑞禾,A棟5F-A1號,,113_01
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮德安巷,28.42,商,,,1121111,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,168.01,3,2,2,有,無,13890000,86796,坡道平面,24.11,1400000,,RPPNMLOLJIIGFFN78CB,北斗之星,11A棟1號,,113_01
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮員鹿路三段,33.99,商,,,1121112,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.04,3,2,2,有,無,8600000,76758,一樓平面,10.46,0,,RPPNMLOLJIIGFHN98CB,臨璞My Home,1棟6A號,,113_01
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮員鹿路三段,33.99,商,,,1121119,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.04,3,2,3,有,無,8600000,76758,一樓平面,9.6,0,,RPQNMLOLJIIGFHN09CB,臨璞My Home,1棟3A號,,113_01
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,21.73,,一般農業區,甲種建築用地,1121115,土地2建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.96,2,1,1,有,無,8170000,89267,坡道平面,31.0,1300000,,RPPNMLPLJIIGFCN58CB,富旺艾美莊園,D棟2號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,18.62,住,,,1121120,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,111.04,2,2,1,有,無,9690000,96640,坡道平面,26.81,1550000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPPNMLQLJIIGFDN78CB,昌祐時代,E棟13F號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,15.29,住,,,1121114,土地1建物1車位1,地上001層、夾層001層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,82.32,0,1,1,有,無,10080000,136984,坡道機械,16.4,1050000,,RPQNMLQLJIIGFDN88CB,昌祐時代,住15號,,113_01
員林市,房地(土地+建物)+車位,彰化縣員林市三多五街、三多東街、三多六街,25.85,住,,,1121123,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,143.61,3,2,2,有,無,12450000,94178,坡道平面,26.81,1450000,坐落土地:彰化縣員林市僑愛段1269、1292、1293地號等3筆土地，經合併後為僑愛段1269地號1筆土地。,RPRNMLQLJIIGFDN98CB,昌祐時代,A棟12F號,,113_01
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,25.31,,鄉村區,乙種建築用地,1121114,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.29,2,2,1,有,無,9600000,96328,坡道平面,41.24,1600000,,RPPNMLQLJIIGFHN56CB,心里程,J棟8號,,113_01
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,37.45,,鄉村區,乙種建築用地,1121119,土地1建物1車位2,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,205.48,3,2,2,有,無,14600000,93496,坡道平面,82.48,3100000,,RPQNMLQLJIIGFHN66CB,心里程,B棟4號,,113_01
彰化市,房地(土地+建物)+車位,彰化縣彰化市茄苳路一段,25.39,住,,,1121116,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.02,3,2,2,有,無,13980000,101406,坡道平面,28.95,1500000,,RPRNMLRLJIIGFAN78CB,櫻花金馬之櫻,A棟5號,,113_01
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮廖厝巷,17.14,,一般農業區,甲種建築用地,1121113,土地2建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.54,2,1,1,有,無,7460000,101751,坡道平面,31.0,1300000,,RPPNMLRLJIIGFCN78CB,富旺艾美莊園,C棟12號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮長春路,108.61,住,,,1121111,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,237.21,4,3,5,有,無,16000000,67451,,0.0,0,,RPPNMLRLJIIGFGN56CB,榮耀呈家,E棟1號,,113_01
二林鎮,房地(土地+建物),彰化縣二林鎮吉昌一街,96.81,住,,,1121117,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,209.11,4,3,5,有,無,14580000,69724,,0.0,0,,RPQNMLRLJIIGFGN66CB,榮耀呈家,A棟2號,,113_01
花壇鄉,房地(土地+建物),彰化縣花壇鄉金城街,64.25,,鄉村區,乙種建築用地,1121127,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,191.33,4,3,5,有,無,13500000,70559,,0.0,0,,RPQNMLSLJIIGFAN78CB,金墩菁城,A棟A1號,,113_01
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉金城街,44.47,,鄉村區,乙種建築用地,1121127,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.81,3,2,2,有,無,8250000,66633,升降機械,13.75,250000,,RPRNMLSLJIIGFAN88CB,金墩菁城,C棟3F-C1號,,113_01
