鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_main building area,附屬建物面積_auxiliary building area,陽台面積_balcony area,電梯_elevator,移轉編號_transaction number,來源資料夾_
信義區,車位,基隆市信義區教孝街７１號等地下壹層,3.07,住,,,1131105,土地2建物1車位1,地下一層,十五層,其他,防空避難室兼停車場,鋼筋混凝土造,820618.0,38.1,0,0,0,無,有,830000,,坡道平面,38.11,830000,僅車位交易；,RPVNMLPKJIJGFDC18DA,0.0,0.0,0.0,有,1.0,113_04
中正區,車位,基隆市中正區義一路１２２之５號,0.17,商,,,1131112,土地1建物1車位1,一層,十四層,其他,商業用,鋼筋混凝土造,910712.0,34.79,0,0,0,無,有,2000000,,坡道平面,34.75,2000000,僅車位交易；,RPQNMLPKJIJGFDC67DA,0.0,0.0,0.0,有,2.0,113_04
七堵區,房地(土地+建物),基隆市七堵區八德路１９之２２號,58.02,住,,,1131102,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,630221.0,54.9,3,1,1,有,無,3400000,61931.0,,0.0,0,鐵皮屋頂增建。其他增建；,RPPOMLPKJIJGFDC67DA,54.9,0.0,0.0,無,,113_04
信義區,土地,東信段三小段28地號,48.13,,,,1131110,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,12466.0,,0.0,0,,RPQOMLTKJIJGFDC18DA,0.0,0.0,0.0,無,,113_04
信義區,土地,東信段三小段28地號,24.94,,,,1131110,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,322200,12919.0,,0.0,0,,RPROMLTKJIJGFDC28DA,0.0,0.0,0.0,無,3.0,113_04
七堵區,土地,長安段567-1地號,16.34,,鄉村區,乙種建築用地,1131108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,36720.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLJIJGFDC17DA,0.0,0.0,0.0,無,,113_04
中正區,房地(土地+建物),基隆市中正區新豐街１６１巷９３號２樓,31.04,住,,,1131104,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720427.0,90.56,2,2,1,有,無,1900000,20981.0,,0.0,0,,RPPNMLOKJIJGFDC47DA,74.67,0.0,9.24,無,4.0,113_04
安樂區,房地(土地+建物),基隆市安樂區麥金路１９９號底一層之２,2.5,住,,,1131112,土地8建物1車位0,地下一層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,860718.0,30.07,0,0,0,無,有,1250000,41570.0,,0.0,0,,RPTNMLLLJIJGFDC67DA,15.01,0.0,0.0,有,,113_04
中正區,土地,日新段二小段3-9地號,15.42,商,,,1131101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6760000,438392.0,,0.0,0,中正區日新段二小段3-9地號交易價格:566萬元；中正區日新段二小段3-10地號交易價格:110萬元,RPPNMLLLJIJGFDC37EA,0.0,0.0,0.0,無,,113_04
中正區,房地(土地+建物),基隆市中正區新豐街３０３巷１６弄１２號,88.7,住,,,1131104,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,780703.0,132.14,3,2,4,有,無,14000000,105948.0,,0.0,0,1樓頂樓加蓋；其他增建；,RPWOMLPKJIJGFDC38DA,96.56,29.55,6.03,無,,113_04
信義區,房地(土地+建物),基隆市信義區東信路３５巷９４之３號,41.75,住,,,1131107,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701127.0,92.31,3,2,1,有,無,2500000,27083.0,,0.0,0,頂樓加蓋；,RPROMLLLJIJGFDC57DA,92.31,0.0,0.0,無,,113_04
安樂區,房地(土地+建物),基隆市安樂區樂利三街２５９之４號,25.47,住,,,1131101,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690611.0,82.55,3,1,1,有,無,2400000,29073.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPSOMLLLJIJGFDC67DA,82.55,0.0,0.0,無,,113_04
安樂區,房地(土地+建物),基隆市安樂區安和一街１２０號１３樓,14.17,住,,,1131101,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850718.0,80.74000000000001,3,2,2,有,有,4000000,49536.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMKJIJGFDC47DA,48.79,0.0,6.55,有,5.0,113_04
中山區,房地(土地+建物),基隆市中山區安一路３４巷２３號５樓,21.17,住,,,1131106,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750430.0,73.13,5,3,2,有,無,3950000,54013.0,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTKJIJGFDC78DA,66.03,0.0,7.1,無,6.0,113_04
七堵區,房地(土地+建物)+車位,基隆市七堵區綠葉街３０巷１０號,84.58,,山坡地保育區,丙種建築用地,1131111,土地1建物1車位2,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010120.0,244.3,3,3,3,有,有,16000000,65493.0,坡道平面,0.0,0,,RPTNMLMLJIJGFDC77DA,101.97,0.0,9.49,有,,113_04
安樂區,房地(土地+建物),基隆市安樂區安和一街６巷１００之１號,33.88,住,,,1131115,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690729.0,72.41,3,2,1,有,無,4200000,58003.0,,0.0,0,,RPTNMLPLJIJGFDC08DA,72.41,0.0,0.0,無,,113_04
信義區,建物,基隆市信義區深澳坑路１３２號二樓,0.0,,,,1131105,土地0建物1車位0,二層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1070515.0,176.09,4,2,2,有,無,2400000,13629.0,,0.0,0,建物坐落地號：培德段716地號；親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPLJIJGFDC77EA,95.44,4.83,11.04,有,,113_04
安樂區,房地(土地+建物),基隆市安樂區樂利二街６２巷２０６號１１樓,5.84,住,,,1131114,土地2建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880114.0,35.16,1,1,1,有,有,3100000,88168.0,,0.0,0,,RPPNMLQKJIJGFDC67DA,22.12,0.0,3.69,有,,113_04
中正區,房地(土地+建物),基隆市中正區義二路９７之５號,24.83,商,,,1131115,土地3建物1車位0,六層,六層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660407.0,120.02,4,2,2,有,無,5500000,45826.0,,0.0,0,頂樓加蓋；,RPUQMLSKJIJGFDC68DA,115.02,0.0,5.0,無,,113_04
七堵區,房地(土地+建物),基隆市七堵區大華一路６１巷２之３號,38.08,住,,,1131103,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681127.0,94.06,3,1,2,有,無,4350000,46247.0,,0.0,0,,RPVNMLPLJIJGFDC28DA,94.06,0.0,0.0,無,7.0,113_04
