鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
頭份市,房地(土地+建物)+車位,苗栗縣頭份市八德二路,29.07,住,,,1130106,土地2建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.72,3,2,2,有,無,13810000,97356.0,坡道平面,26.25,1400000,交易總價內含機車位1個,RPPOMLTJJHJGFFK88CB,亮漾地中海,A5棟4F號,,113_01
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉仁愛路,43.6,住,,,1121225,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,171.98,3,2,2,有,無,9980000,58030.0,坡道平面,25.0,0,,RPPNMLKKJHJGFBK57CB,館學院,B棟7號,,113_01
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉仁愛路,36.31,住,,,1130107,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.52,3,2,2,有,無,8700000,58975.0,坡道平面,25.0,0,,RPQNMLKKJHJGFBK67CB,館學院,B棟3號,,113_01
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉仁愛路,37.48,住,,,1121221,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.47,3,2,2,有,無,9500000,62719.0,坡道平面,25.0,0,,RPRNMLKKJHJGFBK77CB,館學院,C棟6號,,113_01
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉仁愛路,39.82,住,,,1121225,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.29,3,2,2,有,無,9250000,58070.0,坡道平面,25.0,0,,RPSNMLKKJHJGFBK87CB,館學院,A棟7號,,113_01
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅二路旁,107.88,住,,,1121215,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.71,5,5,2,有,無,16000000,91059.0,,0.0,0,,RPPNMLKKJHJGFDK77CB,昕城大和,A棟9號,,113_01
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅二路旁,136.35,住,,,1121216,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.71,5,5,2,有,無,16400000,93336.0,,0.0,0,,RPQNMLKKJHJGFDK87CB,昕城大和,A棟10號,,113_01
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅二路旁,80.37,住,,,1121216,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.48,5,5,2,有,無,17380000,100765.0,,0.0,0,,RPRNMLKKJHJGFDK97CB,昕城大和,B棟2號,,113_01
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅二路旁,105.97,住,,,1121217,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,175.71,5,5,2,有,無,16280000,92653.0,,0.0,0,,RPSNMLKKJHJGFDK08CB,昕城大和,B棟7號,,113_01
竹南鎮,房地(土地+建物),苗栗縣竹南鎮科專七路,79.46,住,,,1130106,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,216.0,3,2,4,有,無,24300000,112500.0,,0.0,0,,RPTNMLKKJHJGFDK18CB,陞揚築美社區,C棟6號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮龍泉街,39.09,住,,,1130109,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.98,3,2,2,有,無,9980000,82408.0,一樓平面,22.01,1000000,,RPUNMLKKJHJGFDK28CB,布魯克林,B5號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮龍泉街,38.94,住,,,1130108,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.68,3,2,2,有,無,9870000,81623.0,一樓平面,22.01,1000000,,RPVNMLKKJHJGFDK38CB,布魯克林,A4號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮龍泉街,38.94,住,,,1130105,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.68,3,2,2,有,無,9880000,81715.0,一樓平面,22.01,1000000,,RPWNMLKKJHJGFDK48CB,布魯克林,A5號,,113_01
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮龍泉街,39.16,住,,,1121228,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.26,3,2,2,有,無,9880000,81281.0,一樓平面,22.01,1000000,,RPXNMLKKJHJGFDK58CB,布魯克林,B4號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,28.82,住,,,1130102,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.66,3,2,2,有,無,15100000,106799.0,坡道平面,31.85,1450000,,RPPNMLKKJHJGFFK97CB,昌隆廣場-上賀,A1棟09F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,18.34,住,,,1130102,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.92,2,2,1,有,無,10650000,111954.0,坡道平面,31.85,1350000,,RPQNMLKKJHJGFFK08CB,昌隆廣場-上賀,A5棟04F號,,113_01
頭份市,房地(土地+建物)+車位,苗栗縣頭份市昌隆一街,29.34,住,,,1130102,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.54,3,2,2,有,無,15030000,103910.0,坡道平面,31.85,1450000,,RPRNMLKKJHJGFFK18CB,昌隆廣場-上賀,B2棟04F號,,113_01
