鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
屏東市,房地(土地+建物)+車位,屏東縣屏東市公裕街169巷,31.04,住,,,1130612,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,88.58,2,2,2,有,無,6880000,77670.0,一樓平面,0.0,0,,RPQNMLRLOHJGFAT17CB,禾風3期,D棟A3-5F號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市公裕街169巷,31.04,住,,,1130612,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,88.58,2,2,2,有,無,6980000,78799.0,一樓平面,0.0,0,,RPRNMLRLOHJGFAT27CB,禾風3期,A棟A3-3F號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市公裕街169巷,45.23,住,,,1130615,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,129.09,3,2,2,有,無,9050000,70106.0,一樓平面,0.0,0,,RPUNMLRLOHJGFAT57CB,禾風3期,A棟A2-2F號,,113_03
潮州鎮,房地(土地+建物),屏東縣潮州鎮長壽街,95.02,住,,,1130529,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,204.58,6,2,5,有,無,17700000,86519.0,,0.0,0,,RPPNMLRLOHJGFCT27CB,維也納2.0,B棟5號,,113_03
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉光明路292巷,28.45,住,,,1130626,土地2建物1車位1,八層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,102.79,3,2,2,有,無,7700000,71957.0,升降機械,5.51,700000,,RPQNMLRLOHJGFCT37CB,皇家欣天地3期 森鄰,D棟5號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,27.1,,鄉村區,乙種建築用地,1130625,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.03,3,2,2,有,無,9480000,79977.0,坡道平面,13.75,1300000,,RPPNMLSLOHJGFAT17CB,屏東印象,E2棟3樓號,,113_03
東港鎮,房地(土地+建物),屏東縣東港鎮延平路,16.5,商,,,1130615,土地2建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,71.38,2,2,2,有,無,5180000,72569.0,,0.0,0,,RPPNMLSLOHJGFDT47CB,東港ONE,B3棟4樓號,,113_03
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,29.15,,鄉村區,乙種建築用地,1130629,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.45,3,2,2,有,無,8550000,66697.0,坡道平面,13.75,1100000,,RPPNMLLJPHJGFAT98CB,萬丹印象,D棟2號,,113_03
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,23.12,,鄉村區,乙種建築用地,1130630,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,102.35,3,2,2,有,無,6900000,65463.0,坡道平面,13.75,1100000,,RPQNMLLJPHJGFAT09CB,萬丹印象,G棟2號,,113_03
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮明禮路,52.27,住,,,1130629,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,155.85,3,2,2,有,無,13680000,87777.0,一樓平面,15.2,0,,RPPNMLLJPHJGFDT76DB,青品澤,A1棟4樓號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞中街瑞華街口H21棟4樓,27.5,住,,,1130702,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.27,2,1,1,有,無,10190000,94507.0,坡道平面,16.61,2000000,,RPPNMLMJPHJGFAT09CB,甲山林花園帝寶,H棟21號,,113_03
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,26.12,,鄉村區,乙種建築用地,1130630,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.34,3,2,2,有,無,9480000,80941.0,坡道平面,13.75,1500000,,RPQNMLMJPHJGFAT56CB,屏東印象,A2棟7樓號,,113_03
屏東市,房地(土地+建物),屏東縣屏東市廣東路456巷,27.05,住,,,1130613,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.02,2,2,2,有,無,5980000,86642.0,,0.0,0,,RPSNMLMJPHJGFAT76CB,馥裕家,2A2棟0號,,113_03
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉德美路,48.56,住,,,1130610,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.27,3,2,2,有,無,8800000,68289.0,一樓平面,14.05,1000000,,RPPNMLNJPHJGFCT76CB,成聚大悅八期,A棟2號,,113_03
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉德美路,48.76,住,,,1130606,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.69,3,2,2,有,無,8600000,66294.0,一樓平面,14.05,1000000,,RPQNMLNJPHJGFCT86CB,成聚大悅八期,A棟3號,,113_03
