鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,解約情形_termination type,來源資料夾_
西螺鎮,房地(土地+建物),雲林縣西螺鎮文昌路,23.71,住,,,1130324,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,61.99,1,1,1,有,無,4350000,70173.0,,0.0,0,,RPQNMLSJMHJGFCP66CB,宇賀闊朗,D棟5號,,113_02
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮文昌路,41.52,住,,,1130324,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.06,2,2,2,有,無,8550000,68184.0,一樓平面,16.53,1150000,,RPRNMLSJMHJGFCP76CB,宇賀闊朗,E棟5號,,113_02
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮文昌路,44.16,住,,,1130322,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.96,3,2,2,有,無,8800000,67573.0,一樓平面,16.53,1000000,,RPSNMLSJMHJGFCP86CB,宇賀闊朗,A棟4號,,113_02
土庫鎮,房地(土地+建物),雲林縣土庫鎮復興段106-33地號,126.35,住,,,1130403,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,198.3,4,2,5,有,無,13880000,69995.0,,0.0,0,,RPPNMLSJMHJGFDP66CB,彩虹城NO.8,C棟1號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,24.43,住,,,1130310,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.48,2,1,1,有,無,9570000,78681.0,坡道平面,19.83,1100000,,RPQNMLSJMHJGFDP76CB,禾楓君悅-農博綻,A棟特號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,38.47,住,,,1130310,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.45,3,1,2,有,無,14510000,78596.0,坡道平面,19.83,1100000,,RPRNMLSJMHJGFDP86CB,禾楓君悅-農博綻,A棟1號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,24.43,住,,,1130310,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.48,2,1,1,有,無,9560000,78588.0,坡道平面,19.83,1100000,,RPSNMLSJMHJGFDP96CB,禾楓君悅-農博綻,A棟特號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮永興南九路,32.75,住,,,1130313,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.91,3,1,2,有,無,12170000,75613.0,坡道平面,19.83,1200000,,RPTNMLSJMHJGFDP07CB,禾楓君悅-農博綻,A棟7號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮科園路及虎興西三街交叉路口,62.82,住,,,1130313,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.92,3,2,2,有,無,9230000,68083.0,一樓平面,11.57,900000,,RPUNMLSJMHJGFDP17CB,禾楓君悅-高鐵綻7期,B棟B7號,,113_02
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮科園路及虎興西三街交叉路口,45.26,住,,,1130313,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.77,2,1,1,有,無,6990000,69048.0,一樓平面,11.57,900000,,RPVNMLSJMHJGFDP27CB,禾楓君悅-高鐵綻7期,B棟B1號,,113_02
