區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
太保市,30,26,23,15,11,-16,10,15,-4,15,22,24
朴子市,-29,-3,6,53,36,-33,-11,-2,-26,-14,4,43
布袋鎮,-25,-23,-1,-17,-48,-12,-18,-8,-15,-17,-37,-24
大林鎮,-11,22,29,23,6,23,22,-21,12,-32,2,17
民雄鄉,-2,22,6,-5,-19,11,-8,7,41,-4,15,55
溪口鄉,-2,-26,-15,-13,-12,-8,13,-16,-6,-8,-13,-23
新港鄉,-18,-22,10,-1,-29,11,-8,-9,-22,-61,-34,-24
六腳鄉,-11,-1,-22,1,-29,-8,-18,9,-7,3,4,-5
東石鄉,-14,-25,-19,-9,-11,-22,-6,-15,-42,0,-15,-55
義竹鄉,-23,-7,-35,-14,-10,-1,-29,-10,-32,-25,-23,-29
鹿草鄉,-1,17,-12,-1,-19,-3,-15,3,-16,-7,-12,-6
水上鄉,17,-16,-4,-21,-10,13,23,-1,41,-16,-8,38
中埔鄉,-31,-22,-44,-22,-43,6,-28,-17,6,-25,-25,-2
竹崎鄉,-50,5,8,-7,7,-28,-17,-26,-39,-27,-37,-8
梅山鄉,-2,-14,-3,-23,-2,10,-16,-4,-26,-32,-20,-7
番路鄉,-16,-8,-4,-20,-11,3,0,0,-10,-4,-14,-7
大埔鄉,-4,0,-22,-5,-3,-5,-9,-12,-6,-7,-8,-3
阿里山鄉,-3,-9,-6,-1,3,-7,-5,10,-17,-6,-6,14
總計,-195,-84,-105,-67,-183,-66,-120,-97,-168,-267,-205,-2
