區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
太保市,-11,51,57,15,51,32,44,81,20,10,22,75
朴子市,-55,-4,7,-23,-35,-14,-45,22,-4,0,20,59
布袋鎮,-26,-44,-51,-27,2,-6,9,17,-12,-4,-5,-15
大林鎮,6,3,-27,-2,-15,-11,8,-48,14,15,18,19
民雄鄉,-42,-17,-28,-122,-26,33,6,36,38,67,8,24
溪口鄉,-18,3,1,-13,-4,-15,17,-13,-14,-11,-5,-23
新港鄉,-8,-7,-50,15,0,-12,5,-28,-24,-3,1,-15
六腳鄉,-1,-10,-54,-45,-28,-4,29,3,11,11,-11,-8
東石鄉,1,13,24,-38,-1,23,27,11,-21,6,-29,-37
義竹鄉,-18,-9,-4,-1,-6,32,43,-13,6,17,-18,1
鹿草鄉,-17,-7,-2,5,13,3,6,3,4,-5,-16,-22
水上鄉,-24,-70,-40,-95,-10,6,45,-32,-11,10,-9,-1
中埔鄉,-48,-21,-123,-55,9,-15,-7,35,18,-25,-28,-44
竹崎鄉,-48,-9,-76,-35,-24,2,31,7,-19,11,-4,20
梅山鄉,-13,-12,-15,-20,-16,1,-10,26,-13,2,9,-12
番路鄉,-9,-7,17,12,26,12,8,-5,-4,5,-10,-26
大埔鄉,-7,-6,-2,0,-4,-1,9,-5,1,2,-5,-10
阿里山鄉,-11,15,-2,-5,5,-6,11,-5,-4,-3,4,0
總計,-349,-138,-368,-434,-63,60,236,92,-14,105,-58,-15
