區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
太保市,47,9,9,-2,-12,41,67,2,8,4,23,20
朴子市,5,1,18,47,-6,-11,-34,-20,-68,-39,1,-1
布袋鎮,-44,-28,-16,-45,-17,-18,-6,-7,-20,0,13,7
大林鎮,20,13,16,-7,6,2,-23,-30,-30,30,-20,-11
民雄鄉,-7,14,36,12,-4,30,46,15,26,-14,53,1
溪口鄉,-29,-27,-49,-4,-20,-9,-5,-13,-14,6,-12,2
新港鄉,-22,-8,10,7,9,-8,-30,2,-32,-20,2,-11
六腳鄉,-44,-11,-42,-26,-6,-1,3,-16,-6,12,-13,-24
東石鄉,-33,-42,-23,-22,-20,-2,-23,-25,7,33,9,-21
義竹鄉,-16,-19,-13,-24,-2,-23,-31,-9,-27,-3,-6,6
鹿草鄉,-11,-27,-15,-8,-12,9,-1,1,-10,-6,-10,-3
水上鄉,3,24,19,10,-23,2,27,22,25,-29,16,-7
中埔鄉,-23,-18,-29,6,-21,-29,1,12,24,-4,-7,-4
竹崎鄉,-37,-31,-21,-10,-38,-25,9,-30,-3,-3,-33,-15
梅山鄉,-30,-8,-29,-35,-5,-30,-16,-3,2,-20,3,-12
番路鄉,-8,-6,-23,-23,-1,-16,-7,10,-14,-2,-10,2
大埔鄉,3,-2,-5,-3,-6,4,-2,-2,0,-3,3,3
阿里山鄉,-12,-12,-4,-2,-2,-9,-6,-12,-2,-1,3,6
總計,-238,-178,-161,-129,-180,-93,-31,-103,-134,-59,15,-62
